""	"GO:0003824"	"GO:0097159"	"GO:1901363"	"GO:0005102"	"GO:0005126"	"GO:0005488"	"GO:0005515"	"GO:0043167"	"GO:0043168"	"GO:0003674"	"GO:0003676"	"GO:0003677"
"GO:0003824"	"0.681"	"0.62565306122449"	"0.62565306122449"	"0.62565306122449"	"0.90252380952381"	"0.62565306122449"	"0.814846153846154"	"0.9035"	"0.9035"	"0.8448"	"0.62565306122449"	"0.62565306122449"
"GO:0097159"	"0.62565306122449"	"0"	"0"	"0.62565306122449"	"0.62565306122449"	"0.0528"	"0.122571428571429"	"0.62565306122449"	"0.62565306122449"	"0.53295"	"0"	"0"
"GO:1901363"	"0.62565306122449"	"0"	"0"	"0.62565306122449"	"0.62565306122449"	"0.0528"	"0.122571428571429"	"0.62565306122449"	"0.62565306122449"	"0.53295"	"0"	"0"
"GO:0005102"	"0.62565306122449"	"0.62565306122449"	"0.62565306122449"	"0.6625"	"0.889377049180328"	"0.814846153846154"	"0.89791935483871"	"0.53295"	"0.53295"	"0.85855"	"0.62565306122449"	"0.62565306122449"
"GO:0005126"	"0.90252380952381"	"0.62565306122449"	"0.62565306122449"	"0.889377049180328"	"0.885"	"0.85855"	"0.9035"	"0.62565306122449"	"0.62565306122449"	"0.85855"	"0.62565306122449"	"0.62565306122449"
"GO:0005488"	"0.62565306122449"	"0.0528"	"0.0528"	"0.814846153846154"	"0.85855"	"0.4125"	"0.62565306122449"	"0.62565306122449"	"0.62565306122449"	"0.818150943396226"	"0.0528"	"0.0528"
"GO:0005515"	"0.814846153846154"	"0.122571428571429"	"0.122571428571429"	"0.89791935483871"	"0.9035"	"0.62565306122449"	"0.5285"	"0.62565306122449"	"0.62565306122449"	"0.80652"	"0.122571428571429"	"0.122571428571429"
"GO:0043167"	"0.9035"	"0.62565306122449"	"0.62565306122449"	"0.53295"	"0.62565306122449"	"0.62565306122449"	"0.62565306122449"	"0.6805"	"0.831722222222222"	"0.85855"	"0.62565306122449"	"0.62565306122449"
"GO:0043168"	"0.9035"	"0.62565306122449"	"0.62565306122449"	"0.53295"	"0.62565306122449"	"0.62565306122449"	"0.62565306122449"	"0.831722222222222"	"0.6805"	"0.85855"	"0.62565306122449"	"0.62565306122449"
"GO:0003674"	"0.8448"	"0.53295"	"0.53295"	"0.85855"	"0.85855"	"0.818150943396226"	"0.80652"	"0.85855"	"0.85855"	"0.564"	"0.53295"	"0.53295"
"GO:0003676"	"0.62565306122449"	"0"	"0"	"0.62565306122449"	"0.62565306122449"	"0.0528"	"0.122571428571429"	"0.62565306122449"	"0.62565306122449"	"0.53295"	"0"	"0"
"GO:0003677"	"0.62565306122449"	"0"	"0"	"0.62565306122449"	"0.62565306122449"	"0.0528"	"0.122571428571429"	"0.62565306122449"	"0.62565306122449"	"0.53295"	"0"	"0"
