"term_id"	"nAnno"	"nGroup"	"nOverlap"	"zscore"	"pvalue"	"adjp"	"term_name"	"term_namespace"	"term_distance"	"members"
"GO:0016765"	90	13	3	1.94	0.018	0.86	"transferase activity, transferring alkyl or aryl (other than methyl) groups"	"molecular_function"	" 3"	"81995,49764,54665"
"GO:0046943"	125	13	3	1.31	0.053	0.86	"carboxylic acid transmembrane transporter activity"	"molecular_function"	" 5"	"103637,81995,54665"
"GO:0019829"	160	13	3	0.848	0.11	0.86	"cation-transporting ATPase activity"	"molecular_function"	" 6"	"103637,81995,102860"
"GO:0016757"	227	13	4	0.874	0.12	0.86	"transferase activity, transferring glycosyl groups"	"molecular_function"	" 3"	"53927,54665,51726,102860"
"GO:0015077"	227	13	4	0.874	0.12	0.86	"monovalent inorganic cation transmembrane transporter activity"	"molecular_function"	" 7"	"103637,81995,54665,102860"
"GO:0042625"	192	13	3	0.508	0.19	0.86	"ATPase activity, coupled to transmembrane movement of ions"	"molecular_function"	" 5"	"103637,81995,102860"
"GO:0016835"	279	13	4	0.415	0.22	0.86	"carbon-oxygen lyase activity"	"molecular_function"	" 3"	"53927,54665,64158,51726"
"GO:0019207"	213	13	3	0.311	0.24	0.86	"kinase regulator activity"	"molecular_function"	" 2"	"53927,103637,54665"
"GO:0005488"	887	13	11	0.256	0.29	0.86	"binding"	"molecular_function"	" 1"	"47648,53927,101238,103637,81995,49764,54665,54285,64158,51726,102860"
"GO:0016820"	231	13	3	0.155	0.29	0.86	"hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances"	"molecular_function"	" 3"	"103637,81995,102860"
"GO:0015399"	231	13	3	0.155	0.29	0.86	"primary active transmembrane transporter activity"	"molecular_function"	" 4"	"103637,81995,102860"
"GO:0015405"	231	13	3	0.155	0.29	0.86	"P-P-bond-hydrolysis-driven transmembrane transporter activity"	"molecular_function"	" 5"	"103637,81995,102860"
"GO:0042626"	231	13	3	0.155	0.29	0.86	"ATPase activity, coupled to transmembrane movement of substances"	"molecular_function"	" 5"	"103637,81995,102860"
"GO:0022839"	232	13	3	0.146	0.3	0.86	"ion gated channel activity"	"molecular_function"	" 5"	"81995,49764,54665"
"GO:0016829"	390	13	5	0.185	0.31	0.86	"lyase activity"	"molecular_function"	" 2"	"53927,101238,54665,64158,51726"
"GO:0022836"	244	13	3	0.0475	0.33	0.86	"gated channel activity"	"molecular_function"	" 5"	"81995,49764,54665"
"GO:0005342"	249	13	3	0.00734	0.35	0.86	"organic acid transmembrane transporter activity"	"molecular_function"	" 4"	"103637,81995,54665"
"GO:0005216"	254	13	3	-0.0322	0.36	0.86	"ion channel activity"	"molecular_function"	" 5"	"81995,49764,54665"
"GO:0008509"	330	13	4	0.0235	0.36	0.86	"anion transmembrane transporter activity"	"molecular_function"	" 5"	"103637,81995,49764,54665"
"GO:0008514"	254	13	3	-0.0322	0.36	0.86	"organic anion transmembrane transporter activity"	"molecular_function"	" 6"	"103637,81995,54665"
"GO:0016836"	257	13	3	-0.0557	0.37	0.86	"hydro-lyase activity"	"molecular_function"	" 4"	"53927,54665,64158"
"GO:0016301"	337	13	4	-0.0273	0.38	0.86	"kinase activity"	"molecular_function"	" 4"	"47648,81995,54665,54285"
"GO:0022890"	338	13	4	-0.0345	0.38	0.86	"inorganic cation transmembrane transporter activity"	"molecular_function"	" 6"	"103637,81995,54665,102860"
