"term_id"	"nAnno"	"nGroup"	"nOverlap"	"zscore"	"pvalue"	"adjp"	"term_name"	"term_namespace"	"term_distance"	"members"
"GO:0007275"	1066	43	43	2.01	0	0	"multicellular organismal development"	"biological_process"	" 2"	"57392,109805,48552,46984,55044,58002,58006,100957,54076,49594,54098,160088,57055,159141,50904,110035,54117,89811,111479,47266,47686,82931,57546,57944,82936,89890,57953,57581,57190,57593,47353,109640,57630,161256,75399,64546,82671,57288,69125,88633,118220,81327,63600"
"GO:0048513"	972	43	43	2.96	0	0	"organ development"	"biological_process"	" 3"	"57392,109805,48552,46984,55044,58002,58006,100957,54076,49594,54098,160088,57055,159141,50904,110035,54117,89811,111479,47266,47686,82931,57546,57944,82936,89890,57953,57581,57190,57593,47353,109640,57630,161256,75399,64546,82671,57288,69125,88633,118220,81327,63600"
"GO:0048731"	1039	43	43	2.31	0	0	"system development"	"biological_process"	" 3"	"57392,109805,48552,46984,55044,58002,58006,100957,54076,49594,54098,160088,57055,159141,50904,110035,54117,89811,111479,47266,47686,82931,57546,57944,82936,89890,57953,57581,57190,57593,47353,109640,57630,161256,75399,64546,82671,57288,69125,88633,118220,81327,63600"
"GO:0034138"	558	43	36	4.78	1.4e-07	7.7e-05	"toll-like receptor 3 signaling pathway"	"biological_process"	"12"	"109805,48552,46984,55044,100957,54076,54098,160088,57055,159141,50904,110035,54117,89811,111479,47266,47686,82931,57546,57944,82936,57953,57581,57190,57593,47353,109640,57630,161256,75399,64546,82671,69125,88633,118220,63600"
"GO:0002224"	564	43	36	4.71	2e-07	7.9e-05	"toll-like receptor signaling pathway"	"biological_process"	"11"	"109805,48552,46984,55044,100957,54076,54098,160088,57055,159141,50904,110035,54117,89811,111479,47266,47686,82931,57546,57944,82936,57953,57581,57190,57593,47353,109640,57630,161256,75399,64546,82671,69125,88633,118220,63600"
"GO:0002758"	568	43	36	4.66	2.5e-07	7.9e-05	"innate immune response-activating signal transduction"	"biological_process"	" 8"	"109805,48552,46984,55044,100957,54076,54098,160088,57055,159141,50904,110035,54117,89811,111479,47266,47686,82931,57546,57944,82936,57953,57581,57190,57593,47353,109640,57630,161256,75399,64546,82671,69125,88633,118220,63600"
"GO:0002221"	568	43	36	4.66	2.5e-07	7.9e-05	"pattern recognition receptor signaling pathway"	"biological_process"	"10"	"109805,48552,46984,55044,100957,54076,54098,160088,57055,159141,50904,110035,54117,89811,111479,47266,47686,82931,57546,57944,82936,57953,57581,57190,57593,47353,109640,57630,161256,75399,64546,82671,69125,88633,118220,63600"
"GO:0030587"	612	43	37	4.47	4.5e-07	8e-05	"sorocarp development"	"biological_process"	" 3"	"109805,48552,46984,55044,100957,54076,54098,160088,57055,159141,50904,110035,54117,89811,111479,47266,47686,82931,57546,57944,82936,89890,57953,57581,57190,57593,47353,109640,57630,161256,75399,64546,82671,69125,88633,118220,63600"
"GO:0031288"	612	43	37	4.47	4.5e-07	8e-05	"sorocarp morphogenesis"	"biological_process"	" 3"	"109805,48552,46984,55044,100957,54076,54098,160088,57055,159141,50904,110035,54117,89811,111479,47266,47686,82931,57546,57944,82936,89890,57953,57581,57190,57593,47353,109640,57630,161256,75399,64546,82671,69125,88633,118220,63600"
"GO:0055084"	612	43	37	4.47	4.5e-07	8e-05	"fruiting body development in response to starvation"	"biological_process"	" 6"	"109805,48552,46984,55044,100957,54076,54098,160088,57055,159141,50904,110035,54117,89811,111479,47266,47686,82931,57546,57944,82936,89890,57953,57581,57190,57593,47353,109640,57630,161256,75399,64546,82671,69125,88633,118220,63600"
