"term_id"	"nAnno"	"nGroup"	"nOverlap"	"zscore"	"pvalue"	"adjp"	"term_name"	"term_namespace"	"term_distance"	"members"
"GO:0008935"	14	34	4	5.25	5.2e-05	0.0073	"1,4-dihydroxy-2-naphthoyl-CoA synthase activity"	"molecular_function"	" 5"	"48552,47266,57593,54117"
"GO:0004824"	48	34	7	4.4	1e-04	0.0073	"lysine-tRNA ligase activity"	"molecular_function"	" 6"	"82671,54076,57593,57288,57944,58006,54117"
"GO:0070569"	633	34	30	3.11	0.00017	0.0073	"uridylyltransferase activity"	"molecular_function"	" 5"	"109640,57055,49594,111479,69125,82931,82936,48552,88633,82671,55044,47266,159141,100957,109805,89811,57581,54076,57593,63600,54098,57288,47686,57944,47353,75399,58006,54117,57630,47045"
"GO:0003977"	633	34	30	3.11	0.00017	0.0073	"UDP-N-acetylglucosamine diphosphorylase activity"	"molecular_function"	" 6"	"109640,57055,49594,111479,69125,82931,82936,48552,88633,82671,55044,47266,159141,100957,109805,89811,57581,54076,57593,63600,54098,57288,47686,57944,47353,75399,58006,54117,57630,47045"
"GO:0016880"	55	34	7	3.95	0.00028	0.009	"acid-ammonia (or amide) ligase activity"	"molecular_function"	" 4"	"82671,54076,57593,57288,57944,58006,54117"
"GO:0004566"	56	34	7	3.89	0.00032	0.009	"beta-glucuronidase activity"	"molecular_function"	" 5"	"82671,54076,57593,57288,57944,58006,54117"
"GO:0004309"	384	34	22	3.24	0.00038	0.009	"exopolyphosphatase activity"	"molecular_function"	" 6"	"57055,49594,111479,69125,82931,82936,48552,88633,55044,47266,100957,109805,57581,54076,57593,54098,47686,47353,75399,54117,57630,47045"
"GO:0016787"	804	34	33	2.54	0.00041	0.009	"hydrolase activity"	"molecular_function"	" 2"	"110035,109640,57055,49594,111479,69125,118220,82931,82936,48552,88633,82671,55044,47266,159141,81327,100957,109805,89811,57581,54076,57593,63600,54098,57288,47686,57944,47353,75399,58006,54117,57630,47045"
"GO:0017150"	16	34	3	3.43	0.0015	0.029	"tRNA dihydrouridine synthase activity"	"molecular_function"	" 4"	"48552,47266,57593"
"GO:0016833"	29	34	4	3.15	0.0022	0.038	"oxo-acid-lyase activity"	"molecular_function"	" 4"	"48552,47266,57593,54117"
"GO:0004812"	122	34	9	2.61	0.0048	0.077	"aminoacyl-tRNA ligase activity"	"molecular_function"	" 5"	"82671,54076,57593,57288,57944,58006,54117,57630,47045"
"GO:0016876"	127	34	9	2.48	0.0065	0.093	"ligase activity, forming aminoacyl-tRNA and related compounds"	"molecular_function"	" 4"	"82671,54076,57593,57288,57944,58006,54117,57630,47045"
"GO:0016875"	128	34	9	2.45	0.0069	0.093	"ligase activity, forming carbon-oxygen bonds"	"molecular_function"	" 3"	"82671,54076,57593,57288,57944,58006,54117,57630,47045"
"GO:0004175"	56	34	5	2.37	0.009	0.11	"endopeptidase activity"	"molecular_function"	" 5"	"57581,54076,54098,57944,57630"
"GO:0015370"	32	34	3	1.91	0.02	0.23	"solute:sodium symporter activity"	"molecular_function"	" 7"	"69125,57593,57944"
"GO:0004032"	107	34	7	1.92	0.021	0.23	"alditol:NADP+ 1-oxidoreductase activity"	"molecular_function"	" 7"	"69125,48552,159141,100957,89811,63600,47353"
"GO:0008106"	109	34	7	1.86	0.024	0.24	"alcohol dehydrogenase (NADP+) activity"	"molecular_function"	" 6"	"69125,48552,159141,100957,89811,63600,47353"
"GO:0004033"	110	34	7	1.84	0.025	0.24	"aldo-keto reductase (NADP) activity"	"molecular_function"	" 5"	"69125,48552,159141,100957,89811,63600,47353"
"GO:0004222"	35	34	3	1.73	0.027	0.25	"metalloendopeptidase activity"	"molecular_function"	" 6"	"57581,57944,57630"
"GO:0016891"	94	34	6	1.69	0.032	0.28	"endoribonuclease activity, producing 5'-phosphomonoesters"	"molecular_function"	" 7"	"54076,57593,57288,57944,58006,54117"
"GO:0004521"	96	34	6	1.64	0.036	0.3	"endoribonuclease activity"	"molecular_function"	" 6"	"54076,57593,57288,57944,58006,54117"
"GO:0004553"	242	34	12	1.56	0.043	0.34	"hydrolase activity, hydrolyzing O-glycosyl compounds"	"molecular_function"	" 4"	"69125,118220,82671,81327,100957,54076,57593,57288,57944,58006,54117,57630"
"GO:0016893"	101	34	6	1.5	0.046	0.35	"endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomo"	"molecular_function"	" 6"	"54076,57593,57288,57944,58006,54117"
"GO:0008757"	197	34	10	1.47	0.051	0.37	"S-adenosylmethionine-dependent methyltransferase activity"	"molecular_function"	" 5"	"57055,69125,48552,47266,54076,57593,47686,54117,57630,47045"
"GO:0005088"	46	34	3	1.21	0.065	0.45	"Ras guanyl-nucleotide exchange factor activity"	"molecular_function"	" 5"	"69125,82671,57630"
"GO:0048018"	47	34	3	1.17	0.069	0.45	"receptor agonist activity"	"molecular_function"	" 3"	"118220,81327,57630"
"GO:0000983"	48	34	3	1.13	0.074	0.45	"RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity"	"molecular_function"	" 4"	"82931,54098,75399"
"GO:0004060"	48	34	3	1.13	0.074	0.45	"arylamine N-acetyltransferase activity"	"molecular_function"	" 7"	"118220,81327,57630"
"GO:0016765"	90	34	5	1.2	0.075	0.45	"transferase activity, transferring alkyl or aryl (other than methyl) groups"	"molecular_function"	" 3"	"69125,82936,88633,54117,57630"
"GO:0016798"	264	34	12	1.22	0.081	0.45	"hydrolase activity, acting on glycosyl bonds"	"molecular_function"	" 3"	"69125,118220,82671,81327,100957,54076,57593,57288,57944,58006,54117,57630"
"GO:0030546"	50	34	3	1.05	0.083	0.45	"receptor activator activity"	"molecular_function"	" 2"	"118220,81327,57630"
"GO:0004519"	115	34	6	1.16	0.083	0.45	"endonuclease activity"	"molecular_function"	" 5"	"54076,57593,57288,57944,58006,54117"
"GO:0004659"	51	34	3	1.02	0.088	0.47	"prenyltransferase activity"	"molecular_function"	" 4"	"82936,88633,57630"
"GO:0008080"	95	34	5	1.07	0.092	0.47	"N-acetyltransferase activity"	"molecular_function"	" 6"	"118220,82931,81327,75399,57630"
"GO:0008168"	244	34	11	1.12	0.095	0.47	"methyltransferase activity"	"molecular_function"	" 4"	"57055,49594,69125,48552,47266,54076,57593,47686,54117,57630,47045"
"GO:0005083"	97	34	5	1.02	0.1	0.47	"small GTPase regulator activity"	"molecular_function"	" 4"	"69125,82931,82671,54117,57630"
"GO:0015297"	75	34	4	0.975	0.1	0.47	"antiporter activity"	"molecular_function"	" 5"	"57055,48552,47266,57630"
"GO:0030547"	55	34	3	0.877	0.11	0.47	"receptor inhibitor activity"	"molecular_function"	" 2"	"48552,81327,57630"
"GO:0004713"	55	34	3	0.877	0.11	0.47	"protein tyrosine kinase activity"	"molecular_function"	" 6"	"81327,63600,57630"
"GO:0015294"	55	34	3	0.877	0.11	0.47	"solute:cation symporter activity"	"molecular_function"	" 6"	"69125,57593,57944"
"GO:0008556"	55	34	3	0.877	0.11	0.47	"potassium-transporting ATPase activity"	"molecular_function"	" 9"	"69125,88633,47353"
"GO:0015291"	201	34	9	0.966	0.12	0.5	"secondary active transmembrane transporter activity"	"molecular_function"	" 4"	"57055,69125,48552,82671,47266,57593,57944,75399,57630"
"GO:0008237"	58	34	3	0.78	0.13	0.51	"metallopeptidase activity"	"molecular_function"	" 5"	"57581,57944,57630"
"GO:0048037"	60	34	3	0.718	0.14	0.54	"cofactor binding"	"molecular_function"	" 2"	"49594,47686,57630"
"GO:0004540"	131	34	6	0.817	0.14	0.54	"ribonuclease activity"	"molecular_function"	" 5"	"54076,57593,57288,57944,58006,54117"
"GO:0016817"	580	34	22	0.853	0.15	0.54	"hydrolase activity, acting on acid anhydrides"	"molecular_function"	" 3"	"57055,49594,111479,69125,82931,82936,48552,88633,55044,47266,100957,109805,57581,54076,57593,54098,47686,47353,75399,54117,57630,47045"
"GO:0016818"	579	34	22	0.865	0.15	0.54	"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"	"molecular_function"	" 4"	"57055,49594,111479,69125,82931,82936,48552,88633,55044,47266,100957,109805,57581,54076,57593,54098,47686,47353,75399,54117,57630,47045"
