interpro	term
IPR000003	GO:0003677
IPR000003	GO:0003707
IPR000003	GO:0008270
IPR000006	GO:0046872
IPR000008	GO:0005515
IPR000009	GO:0008601
IPR000010	GO:0004869
IPR000011	GO:0008641
IPR000013	GO:0004222
IPR000013	GO:0008270
IPR000014	GO:0004871
IPR000015	GO:0005215
IPR000018	GO:0045028
IPR000022	GO:0016874
IPR000023	GO:0003872
IPR000025	GO:0008502
IPR000026	GO:0003723
IPR000026	GO:0004521
IPR000028	GO:0004601
IPR000035	GO:0003905
IPR000036	GO:0004175
IPR000037	GO:0003723
IPR000038	GO:0005525
IPR000039	GO:0003735
IPR000040	GO:0003677
IPR000040	GO:0005524
IPR000043	GO:0004013
IPR000045	GO:0004190
IPR000046	GO:0004995
IPR000047	GO:0003677
IPR000048	GO:0005515
IPR000049	GO:0009055
IPR000052	GO:0005198
IPR000053	GO:0004645
IPR000054	GO:0003735
IPR000055	GO:0003677
IPR000056	GO:0016857
IPR000057	GO:0016494
IPR000057	GO:0019959
IPR000058	GO:0008270
IPR000059	GO:0000287
IPR000059	GO:0016818
IPR000059	GO:0030145
IPR000060	GO:0005215
IPR000061	GO:0003723
IPR000065	GO:0005179
IPR000066	GO:0045156
IPR000067	GO:0003774
IPR000070	GO:0030599
IPR000071	GO:0005198
IPR000072	GO:0008083
IPR000074	GO:0008289
IPR000076	GO:0015379
IPR000077	GO:0003735
IPR000079	GO:0031492
IPR000081	GO:0008233
IPR000085	GO:0003678
IPR000086	GO:0016787
IPR000090	GO:0003774
IPR000093	GO:0003677
IPR000098	GO:0005125
IPR000100	GO:0000049
IPR000100	GO:0004526
IPR000101	GO:0003840
IPR000103	GO:0016491
IPR000104	GO:0050825
IPR000105	GO:0004979
IPR000106	GO:0004725
IPR000109	GO:0005215
IPR000110	GO:0003723
IPR000110	GO:0003735
IPR000111	GO:0004553
IPR000114	GO:0003735
IPR000114	GO:0019843
IPR000115	GO:0004637
IPR000116	GO:0003677
IPR000119	GO:0003677
IPR000120	GO:0016884
IPR000121	GO:0016772
IPR000123	GO:0003723
IPR000123	GO:0003964
IPR000125	GO:0016161
IPR000126	GO:0008236
IPR000127	GO:0005524
IPR000127	GO:0008641
IPR000128	GO:0003677
IPR000128	GO:0003707
IPR000128	GO:0005496
IPR000131	GO:0046933
IPR000131	GO:0046961
IPR000132	GO:0016810
IPR000133	GO:0046923
IPR000138	GO:0004419
IPR000141	GO:0004958
IPR000142	GO:0045028
IPR000143	GO:0005198
IPR000145	GO:0005198
IPR000146	GO:0042132
IPR000146	GO:0042578
IPR000147	GO:0004945
IPR000148	GO:0003677
IPR000148	GO:0003700
IPR000149	GO:0046789
IPR000150	GO:0016787
IPR000153	GO:0005198
IPR000154	GO:0004957
IPR000155	GO:0004977
IPR000157	GO:0005515
IPR000158	GO:0005525
IPR000161	GO:0005000
IPR000164	GO:0003677
IPR000165	GO:0004339
IPR000170	GO:0009055
IPR000172	GO:0016614
IPR000172	GO:0050660
IPR000174	GO:0016494
IPR000175	GO:0005328
IPR000177	GO:0005515
IPR000178	GO:0003743
IPR000178	GO:0005525
IPR000180	GO:0008235
IPR000180	GO:0008239
IPR000180	GO:0016805
IPR000181	GO:0005506
IPR000181	GO:0042586
IPR000182	GO:0008080
IPR000183	GO:0003824
IPR000185	GO:0005524
IPR000186	GO:0005137
IPR000186	GO:0008083
IPR000187	GO:0005179
IPR000189	GO:0008933
IPR000190	GO:0004945
IPR000191	GO:0003906
IPR000191	GO:0008270
IPR000191	GO:0008534
IPR000194	GO:0005524
IPR000195	GO:0005097
IPR000196	GO:0003735
IPR000197	GO:0003712
IPR000197	GO:0004402
IPR000197	GO:0008270
IPR000199	GO:0004197
IPR000200	GO:0008234
IPR000201	GO:0003677
IPR000201	GO:0003887
IPR000204	GO:0016499
IPR000206	GO:0003735
IPR000207	GO:0004938
IPR000208	GO:0003968
IPR000208	GO:0005524
IPR000209	GO:0004252
IPR000210	GO:0005515
IPR000211	GO:0003677
IPR000212	GO:0003677
IPR000212	GO:0004003
IPR000212	GO:0005524
IPR000213	GO:0005499
IPR000213	GO:0051183
IPR000214	GO:0003906
IPR000214	GO:0008270
IPR000214	GO:0016799
IPR000218	GO:0003735
IPR000219	GO:0005089
IPR000221	GO:0003677
IPR000222	GO:0004722
IPR000223	GO:0008236
IPR000224	GO:0003968
IPR000225	GO:0005515
IPR000226	GO:0005126
IPR000226	GO:0008083
IPR000231	GO:0003735
IPR000232	GO:0003700
IPR000232	GO:0043565
IPR000233	GO:0005509
IPR000237	GO:0005515
IPR000239	GO:0004703
IPR000239	GO:0005524
IPR000240	GO:0004867
IPR000242	GO:0004725
IPR000243	GO:0004175
IPR000244	GO:0003735
IPR000245	GO:0015078
IPR000246	GO:0016787
IPR000247	GO:0005198
IPR000248	GO:0004945
IPR000250	GO:0004190
IPR000253	GO:0005515
IPR000254	GO:0004553
IPR000254	GO:0030248
IPR000256	GO:0003723
IPR000257	GO:0004853
IPR000260	GO:0008137
IPR000261	GO:0005515
IPR000262	GO:0016491
IPR000263	GO:0005198
IPR000265	GO:0004957
IPR000266	GO:0003735
IPR000268	GO:0003677
IPR000268	GO:0003899
IPR000269	GO:0005507
IPR000269	GO:0008131
IPR000269	GO:0048038
IPR000270	GO:0005515
IPR000271	GO:0003735
IPR000272	GO:0005216
IPR000274	GO:0004016
IPR000276	GO:0004930
IPR000277	GO:0030170
IPR000280	GO:0004252
IPR000281	GO:0003700
IPR000283	GO:0008137
IPR000289	GO:0003735
IPR000290	GO:0015643
IPR000292	GO:0005215
IPR000294	GO:0005509
IPR000296	GO:0005537
IPR000296	GO:0015578
IPR000297	GO:0016853
IPR000298	GO:0015002
IPR000304	GO:0004735
IPR000306	GO:0046872
IPR000307	GO:0003735
IPR000308	GO:0019904
IPR000310	GO:0003824
IPR000312	GO:0016757
IPR000314	GO:0015054
IPR000315	GO:0008270
IPR000316	GO:0008270
IPR000317	GO:0004197
IPR000318	GO:0016163
IPR000319	GO:0004073
IPR000319	GO:0050661
IPR000321	GO:0038046
IPR000322	GO:0004553
IPR000323	GO:0004497
IPR000323	GO:0005507
IPR000323	GO:0016715
IPR000324	GO:0003677
IPR000324	GO:0008434
IPR000326	GO:0003824
IPR000327	GO:0003700
IPR000328	GO:0005198
IPR000330	GO:0003677
IPR000330	GO:0005524
IPR000331	GO:0005096
IPR000332	GO:0004941
IPR000333	GO:0004702
IPR000333	GO:0005524
IPR000334	GO:0008810
IPR000335	GO:0008144
IPR000337	GO:0004930
IPR000340	GO:0008138
IPR000343	GO:0008883
IPR000343	GO:0050661
IPR000344	GO:0004930
IPR000346	GO:0005184
IPR000347	GO:0046872
IPR000351	GO:0004983
IPR000352	GO:0003747
IPR000355	GO:0004950
IPR000356	GO:0045028
IPR000357	GO:0005515
IPR000363	GO:0004937
IPR000366	GO:0004932
IPR000367	GO:0003924
IPR000367	GO:0004871
IPR000367	GO:0005525
IPR000367	GO:0031683
IPR000369	GO:0005249
IPR000371	GO:0045028
IPR000374	GO:0016772
IPR000375	GO:0005525
IPR000376	GO:0004956
IPR000377	GO:0004993
IPR000380	GO:0003677
IPR000380	GO:0003917
IPR000381	GO:0005179
IPR000382	GO:0004252
IPR000383	GO:0016787
IPR000385	GO:0003824
IPR000385	GO:0046872
IPR000385	GO:0051539
IPR000386	GO:0046789
IPR000387	GO:0016791
IPR000388	GO:0005524
IPR000388	GO:0008281
IPR000391	GO:0003824
IPR000392	GO:0005524
IPR000392	GO:0016491
IPR000393	GO:0004983
IPR000394	GO:0003677
IPR000394	GO:0003700
IPR000394	GO:0003899
IPR000394	GO:0016987
IPR000395	GO:0004222
IPR000396	GO:0004115
IPR000397	GO:0051082
IPR000398	GO:0004799
IPR000399	GO:0000287
IPR000399	GO:0030976
IPR000400	GO:0016977
IPR000403	GO:0016773
IPR000406	GO:0005094
IPR000407	GO:0016787
IPR000412	GO:0005524
IPR000412	GO:0042626
IPR000415	GO:0016491
IPR000417	GO:0004417
IPR000418	GO:0003700
IPR000418	GO:0043565
IPR000420	GO:0005199
IPR000422	GO:0008686
IPR000424	GO:0003697
IPR000425	GO:0005215
IPR000426	GO:0004175
IPR000427	GO:0003677
IPR000427	GO:0003700
IPR000428	GO:0005507
IPR000429	GO:0004867
IPR000431	GO:0004993
IPR000432	GO:0005524
IPR000432	GO:0030983
IPR000433	GO:0008270
IPR000438	GO:0003989
IPR000439	GO:0003735
IPR000440	GO:0008137
IPR000443	GO:0005179
IPR000445	GO:0003677
IPR000447	GO:0004368
IPR000449	GO:0005515
IPR000450	GO:0004993
IPR000451	GO:0003700
IPR000452	GO:0038048
IPR000453	GO:0004107
