rfam_acc	term
RF00003	GO:0000395
RF00004	GO:0000348
RF00007	GO:0000348
RF00009	GO:0008033
RF00010	GO:0008033
RF00011	GO:0008033
RF00012	GO:0006396
RF00015	GO:0000244
RF00015	GO:0000353
RF00016	GO:0006396
RF00017	GO:0006617
RF00020	GO:0000244
RF00020	GO:0000353
RF00023	GO:0006401
RF00024	GO:0007004
RF00025	GO:0007004
RF00026	GO:0000244
RF00026	GO:0000353
RF00027	GO:0035195
RF00028	GO:0000372
RF00029	GO:0000373
RF00030	GO:0006364
RF00031	GO:0001514
RF00032	GO:0006398
RF00033	GO:0006950
RF00037	GO:0010039
RF00038	GO:0040040
RF00043	GO:0060908
RF00045	GO:0006396
RF00046	GO:0006396
RF00047	GO:0035195
RF00049	GO:0006396
RF00051	GO:0035195
RF00052	GO:0035195
RF00053	GO:0035195
RF00054	GO:0006396
RF00055	GO:0006396
RF00056	GO:0006396
RF00065	GO:0006396
RF00067	GO:0006396
RF00068	GO:0006396
RF00069	GO:0006396
RF00070	GO:0006396
RF00071	GO:0006396
RF00072	GO:0006396
RF00073	GO:0035195
RF00074	GO:0035195
RF00075	GO:0035195
RF00076	GO:0035195
RF00078	GO:0006950
RF00085	GO:0006396
RF00086	GO:0006396
RF00087	GO:0006396
RF00088	GO:0006396
RF00089	GO:0006396
RF00090	GO:0006396
RF00091	GO:0006396
RF00092	GO:0006396
RF00093	GO:0006396
RF00095	GO:0006396
RF00096	GO:0006396
RF00097	GO:0006396
RF00099	GO:0006396
RF00103	GO:0035195
RF00104	GO:0035195
RF00105	GO:0006396
RF00106	GO:0060910
RF00108	GO:0006396
RF00129	GO:0035195
RF00130	GO:0035195
RF00131	GO:0035195
RF00132	GO:0006396
RF00133	GO:0006396
RF00134	GO:0006396
RF00135	GO:0006396
RF00136	GO:0006396
RF00137	GO:0006396
RF00138	GO:0006396
RF00139	GO:0006396
RF00142	GO:0006396
RF00143	GO:0035195
RF00144	GO:0035195
RF00145	GO:0006396
RF00147	GO:0006396
RF00149	GO:0006396
RF00150	GO:0006396
RF00151	GO:0006396
RF00152	GO:0006396
RF00153	GO:0006396
RF00154	GO:0006396
RF00155	GO:0006396
RF00156	GO:0006396
RF00157	GO:0006396
RF00158	GO:0006396
RF00159	GO:0006396
RF00160	GO:0006396
RF00161	GO:0008595
RF00161	GO:0017148
RF00166	GO:0006401
RF00166	GO:0006109
RF00167	GO:0009113
RF00169	GO:0006617
RF00178	GO:0035195
RF00181	GO:0006396
RF00186	GO:0006396
RF00187	GO:0006396
RF00188	GO:0006396
RF00189	GO:0006396
RF00190	GO:0006396
RF00191	GO:0006396
RF00198	GO:0000365
RF00199	GO:0000365
RF00200	GO:0006396
RF00201	GO:0006396
RF00202	GO:0006396
RF00203	GO:0006396
RF00204	GO:0006396
RF00205	GO:0006396
RF00206	GO:0006396
RF00208	GO:0006396
RF00211	GO:0006396
RF00212	GO:0006396
RF00213	GO:0006396
RF00217	GO:0006396
RF00218	GO:0006396
RF00221	GO:0006396
RF00231	GO:0006396
RF00237	GO:0035195
RF00238	GO:0060908
RF00239	GO:0035195
RF00241	GO:0035195
RF00242	GO:0060908
RF00244	GO:0035195
RF00245	GO:0035195
RF00246	GO:0035195
RF00247	GO:0035195
RF00248	GO:0035195
RF00249	GO:0035195
RF00250	GO:0035195
RF00251	GO:0035195
RF00253	GO:0035195
RF00254	GO:0035195
RF00255	GO:0035195
RF00256	GO:0035195
RF00257	GO:0035195
RF00258	GO:0035195
RF00263	GO:0006396
RF00264	GO:0006396
RF00265	GO:0006396
RF00266	GO:0006396
RF00267	GO:0006396
RF00268	GO:0006396
RF00270	GO:0006396
RF00271	GO:0006396
RF00272	GO:0006396
RF00273	GO:0006396
RF00274	GO:0006396
RF00275	GO:0006396
RF00276	GO:0006396
RF00277	GO:0006396
RF00278	GO:0006396
RF00279	GO:0006396
RF00280	GO:0006396
RF00281	GO:0006396
RF00282	GO:0006396
RF00283	GO:0006396
RF00284	GO:0006396
RF00285	GO:0006396
RF00286	GO:0006396
RF00287	GO:0006396
RF00288	GO:0006396
RF00289	GO:0006396
RF00291	GO:0006396
RF00292	GO:0006396
RF00293	GO:0006396
RF00294	GO:0006396
RF00295	GO:0006396
RF00296	GO:0006396
RF00300	GO:0006396
RF00301	GO:0006396
RF00302	GO:0006396
RF00303	GO:0006396
RF00304	GO:0006396
RF00305	GO:0006396
RF00306	GO:0006396
RF00307	GO:0006396
RF00309	GO:0006396
RF00310	GO:0006396
RF00311	GO:0006396
RF00312	GO:0006396
RF00313	GO:0006396
RF00314	GO:0006396
RF00315	GO:0006396
RF00316	GO:0006396
RF00317	GO:0006396
RF00318	GO:0006396
RF00319	GO:0006396
RF00320	GO:0006396
RF00321	GO:0006396
RF00322	GO:0006396
RF00323	GO:0006396
RF00324	GO:0006396
RF00325	GO:0006396
RF00326	GO:0006396
RF00327	GO:0006396
RF00328	GO:0006396
RF00329	GO:0006396
RF00330	GO:0006396
RF00331	GO:0006396
RF00332	GO:0006396
RF00333	GO:0006396
RF00334	GO:0006396
RF00335	GO:0006396
RF00336	GO:0006396
RF00337	GO:0006396
RF00338	GO:0006396
RF00339	GO:0006396
RF00340	GO:0006396
RF00341	GO:0006396
RF00342	GO:0006396
RF00343	GO:0006396
RF00344	GO:0006396
RF00345	GO:0006396
RF00348	GO:0006396
RF00349	GO:0006396
RF00350	GO:0006396
RF00351	GO:0006396
RF00352	GO:0006396
RF00353	GO:0006396
RF00355	GO:0006396
RF00356	GO:0006396
RF00357	GO:0006396
RF00358	GO:0006396
RF00359	GO:0006396
RF00360	GO:0006396
RF00361	GO:0006396
RF00363	GO:0035195
RF00364	GO:0035195
RF00365	GO:0035195
RF00366	GO:0035195
RF00367	GO:0035195
RF00373	GO:0008033
RF00377	GO:0006396
RF00392	GO:0006396
RF00393	GO:0006396
RF00394	GO:0006396
RF00396	GO:0006396
RF00397	GO:0006396
RF00398	GO:0006396
RF00399	GO:0006396
RF00400	GO:0006396
RF00401	GO:0006396
RF00402	GO:0006396
RF00403	GO:0006396
RF00404	GO:0006396
RF00405	GO:0006396
RF00406	GO:0006396
RF00407	GO:0006396
RF00408	GO:0006396
RF00409	GO:0006396
RF00410	GO:0006396
RF00411	GO:0006396
RF00412	GO:0006396
RF00413	GO:0006396
RF00414	GO:0006396
RF00415	GO:0006396
RF00416	GO:0006396
RF00417	GO:0006396
RF00418	GO:0006396
RF00419	GO:0006396
RF00420	GO:0006396
RF00421	GO:0006396
RF00422	GO:0006396
RF00423	GO:0006396
RF00424	GO:0006396
RF00425	GO:0006396
RF00426	GO:0006396
RF00427	GO:0006396
RF00428	GO:0006396
RF00429	GO:0006396
RF00430	GO:0006396
RF00431	GO:0006396
RF00432	GO:0006396
RF00433	GO:0040040
RF00435	GO:0040040
RF00438	GO:0006396
RF00439	GO:0006396
RF00440	GO:0006396
RF00441	GO:0006396
RF00443	GO:0006396
RF00445	GO:0035195
RF00446	GO:0035195
RF00451	GO:0035195
RF00452	GO:0035195
RF00455	GO:0035195
RF00456	GO:0035195
RF00464	GO:0035195
RF00471	GO:0006396
RF00472	GO:0006396
RF00473	GO:0006396
RF00474	GO:0006396
RF00475	GO:0006396
RF00476	GO:0006396
RF00477	GO:0006396
RF00478	GO:0006396
RF00479	GO:0006396
RF00482	GO:0006396
RF00486	GO:0035195
RF00488	GO:0000395
RF00492	GO:0006396
RF00493	GO:0006396
RF00494	GO:0006396
RF00504	GO:0006545
RF00506	GO:0009088
RF00509	GO:0006396
RF00512	GO:0009098
RF00514	GO:0000105
RF00519	GO:0006353
RF00521	GO:0045814
RF00522	GO:0008616
RF00526	GO:0006396
RF00527	GO:0006396
RF00528	GO:0006396
RF00529	GO:0006396
RF00530	GO:0006396
RF00531	GO:0006396
RF00532	GO:0006396
RF00533	GO:0006396
RF00534	GO:0032057
RF00534	GO:0043488
RF00535	GO:0006396
RF00536	GO:0006396
RF00537	GO:0006396
RF00538	GO:0006396
RF00539	GO:0006396
RF00540	GO:0006396
RF00541	GO:0006396
RF00542	GO:0006396
RF00543	GO:0006396
RF00544	GO:0006396
RF00545	GO:0006396
RF00546	GO:0006396
RF00548	GO:0000395
RF00551	GO:0008359
RF00553	GO:0006396
RF00554	GO:0006396
RF00560	GO:0006396
RF00561	GO:0006396
RF00562	GO:0006396
RF00563	GO:0006396
RF00564	GO:0006396
RF00565	GO:0006396
RF00566	GO:0006396
RF00567	GO:0006396
RF00568	GO:0006396
RF00569	GO:0006396
RF00570	GO:0006396
RF00571	GO:0006396
RF00572	GO:0006396
RF00573	GO:0006396
RF00574	GO:0006396
RF00575	GO:0006396
RF00576	GO:0006396
RF00577	GO:0006396
RF00578	GO:0006396
RF00579	GO:0006396
RF00580	GO:0006396
RF00581	GO:0006396
RF00582	GO:0006396
RF00584	GO:0006396
RF00586	GO:0006396
RF00588	GO:0006396
RF00591	GO:0006396
RF00592	GO:0006396
RF00593	GO:0006396
RF00594	GO:0006396
RF00598	GO:0006396
RF00599	GO:0006396
RF00600	GO:0006396
RF00601	GO:0006396
RF00602	GO:0006396
RF00603	GO:0006396
RF00604	GO:0006396
RF00606	GO:0006396
RF00607	GO:0006396
RF00608	GO:0006396
RF00609	GO:0006396
RF00610	GO:0006396
RF00611	GO:0006396
RF00612	GO:0006396
RF00613	GO:0006396
RF00614	GO:0006396
RF00618	GO:0000244
RF00618	GO:0000395
