rfam_acc	term
RF00001	GO:0003735
RF00002	GO:0003735
RF00003	GO:0030627
RF00004	GO:0045131
RF00005	GO:0030533
RF00007	GO:0045131
RF00009	GO:0004526
RF00010	GO:0004526
RF00011	GO:0004526
RF00015	GO:0017070
RF00018	GO:0005515
RF00024	GO:0003720
RF00025	GO:0003720
RF00026	GO:0030621
RF00030	GO:0000171
RF00033	GO:0003729
RF00034	GO:0003729
RF00039	GO:0003729
RF00042	GO:0003729
RF00050	GO:0010181
RF00059	GO:0030976
RF00061	GO:0043022
RF00078	GO:0003729
RF00109	GO:0005515
RF00113	GO:0003729
RF00122	GO:0003729
RF00161	GO:0005515
RF00174	GO:0031419
RF00177	GO:0003735
RF00209	GO:0043022
RF00210	GO:0043022
RF00216	GO:0043022
RF00222	GO:0043022
RF00223	GO:0043022
RF00224	GO:0043022
RF00225	GO:0043022
RF00226	GO:0043022
RF00228	GO:0043022
RF00229	GO:0043022
RF00230	GO:0000049
RF00236	GO:0003729
RF00238	GO:0003729
RF00242	GO:0003729
RF00261	GO:0043022
RF00262	GO:0003729
RF00373	GO:0004526
RF00387	GO:0043022
RF00447	GO:0043022
RF00448	GO:0043022
RF00449	GO:0043022
RF00457	GO:0043022
RF00458	GO:0043022
RF00461	GO:0043022
RF00462	GO:0043022
RF00483	GO:0043022
RF00484	GO:0043022
RF00487	GO:0043022
RF00488	GO:0030627
RF00495	GO:0043022
RF00511	GO:0043022
RF00534	GO:0030371
RF00547	GO:0043022
RF00548	GO:0030627
RF00549	GO:0043022
RF00615	GO:0003729
RF00618	GO:0030624
RF00618	GO:0030627
RF00619	GO:0030622
RF00619	GO:0030627
RF01055	GO:0048037
RF01510	GO:0032546
RF01767	GO:0004478
RF01794	GO:0003729
RF01797	GO:0003729
RF01809	GO:0003729
RF01852	GO:0030533
RF01904	GO:0005515
RF01905	GO:0005515
RF01906	GO:0005515
RF01907	GO:0005515
RF01908	GO:0005515
RF01909	GO:0005515
RF01955	GO:0005515
RF01956	GO:0005515
RF01957	GO:0005515
RF01959	GO:0003735
RF01960	GO:0003735
RF02044	GO:0005515
RF02045	GO:0005515
RF02156	GO:0003729
RF02157	GO:0003729
RF02158	GO:0003729
RF02275	GO:0003824
RF02276	GO:0003824
RF02277	GO:0003824
