sunid	term	fdr	score
54638	GO:0003674	0.0003882	3.23
54638	GO:0016788	1.126e-13	11.99
54638	GO:0016787	1.146e-05	5.12
54638	GO:0003824	0	42.22
54638	GO:0016790	0	42.22
54638	GO:0016289	5.902e-13	8.11
53118	GO:0016787	4.828e-09	5.99
53118	GO:0034062	0	56.66
53118	GO:0004518	0	56.38
53118	GO:0097159	0.0006266	3.61
53118	GO:0005488	3.959e-05	4.45
53118	GO:0016772	6.385e-16	10.63
53118	GO:0016779	0	38.85
53118	GO:0016788	0	23.91
53118	GO:0003887	0	74.77
53118	GO:0003824	2.421e-10	6.81
53118	GO:0003676	3.959e-05	3.2
53118	GO:1901363	0.0004152	3.75
53118	GO:0003682	0.0002241	4.45
53118	GO:0003896	0	56.66
53118	GO:0016740	0	74.77
53118	GO:0034061	0	72.87
53118	GO:0003674	0	90.05
53118	GO:0004527	0	90.05
53118	GO:0003899	2.536e-14	19.27
82191	GO:0003674	0	15.75
82191	GO:0016491	0	15.75
82191	GO:0016701	2.409e-06	6.94
82191	GO:0051213	0.0004289	4.2
82191	GO:0003824	2.142e-06	5.12
75176	GO:0003674	0	249.07
75176	GO:0016860	0	49.91
75176	GO:0003824	0.0005998	3.51
75176	GO:0016853	0	27.58
75176	GO:0016861	0	84.93
75176	GO:0004751	0	249.07
51599	GO:0003674	0	205.37
51599	GO:0003824	5.811e-06	4.87
51599	GO:0016740	1.488e-13	10.75
51599	GO:0016765	0	51.87
51599	GO:0008676	5.104e-08	11.37
51599	GO:0003849	0	205.37
56554	GO:0003674	0	49.64
56554	GO:0034062	0	48.47
56554	GO:0003824	0	49.64
56554	GO:0016740	0.0002356	4.24
56554	GO:0003899	0	49.64
56554	GO:0016772	2.234e-06	6.34
56554	GO:0016779	1.25e-15	21.46
117157	GO:0003682	1.455e-06	7.12
117157	GO:0016747	0	32.01
117157	GO:0016740	8.094e-09	7.68
117157	GO:0005488	1.282e-13	28.95
117157	GO:0035064	1.282e-13	28.95
117157	GO:0016407	0	43.03
117157	GO:0016746	0	28.07
117157	GO:0003674	0	67.17
117157	GO:0005515	1.282e-13	28.95
117157	GO:0003713	4.741e-08	11.99
117157	GO:0000989	2.981e-06	7.98
117157	GO:0003824	0	67.17
117157	GO:0016410	0	48.19
117157	GO:0003712	1.466e-06	8.58
117157	GO:0008080	0	52.62
117157	GO:0004402	0	67.17
117157	GO:0000988	1.225e-05	6.81
117157	GO:0042393	2.917e-08	10.64
89572	GO:1901363	4.839e-15	50.75
89572	GO:0001882	2.782e-05	5.8
89572	GO:0032550	2.637e-05	5.83
89572	GO:0097159	4.839e-15	50.75
89572	GO:0035639	1.793e-05	6.05
89572	GO:0005488	4.839e-15	50.75
89572	GO:0032549	2.661e-05	5.82
89572	GO:0016874	0	41.86
89572	GO:0017076	4.424e-05	5.53
89572	GO:0036094	0.0005487	4.16
89572	GO:0031406	9.43e-05	4.4
89572	GO:0001883	2.697e-05	5.81
89572	GO:0033218	1.506e-05	6.84
89572	GO:0003674	0	209.94
89572	GO:0016421	0	209.94
89572	GO:0032559	2.217e-06	7.32
89572	GO:0032553	4.702e-05	5.5
89572	GO:0003824	1.524e-14	8.59
89572	GO:0000166	0.000286	4.51
89572	GO:0043168	4.839e-15	50.75
89572	GO:0043167	4.839e-15	50.75
89572	GO:0009374	4.839e-15	50.75
89572	GO:1901681	2.68e-06	8.22
89572	GO:0033293	1.225e-08	13.88
89572	GO:0005524	1.18e-06	7.73
89572	GO:0016885	0	202.64
89572	GO:0032555	3.859e-05	5.61
89572	GO:0019842	4.185e-08	9.71
89572	GO:1901265	0.000286	4.51
89572	GO:0030554	2.369e-06	7.28
48580	GO:0003674	0	221.84
48580	GO:0004337	0	185.6
48580	GO:0003824	5.24e-09	6.44
48580	GO:0016740	2.857e-09	5.69
48580	GO:0016765	0	58.18
48580	GO:0004659	1.491e-09	5.95
48580	GO:0004310	0	221.84
48580	GO:0016767	0	185.6
48580	GO:0004311	0	221.84
53402	GO:0016787	3.658e-15	52.56
53402	GO:0008483	0	23.97
53402	GO:0008265	0	111.03
53402	GO:0005488	0	26.88
53402	GO:0003962	6.639e-10	13.83
53402	GO:0008453	2.277e-12	11.09
53402	GO:0016782	7.767e-07	7.41
53402	GO:0003824	0	9.09
53402	GO:0031071	5.53e-08	7
53402	GO:0016829	0	24.21
53402	GO:0030170	0	26.88
53402	GO:0016783	4.53e-14	23.03
53402	GO:0043167	0	26.88
53402	GO:0004123	1.405e-05	4.73
53402	GO:0016740	0	23.97
53402	GO:0016765	1.804e-09	8.58
53402	GO:0048037	3.345e-11	11.15
53402	GO:0016769	0	22.81
53402	GO:0003674	0	111.03
53402	GO:0003961	1.072e-12	16
53402	GO:0016823	3.658e-15	52.56
53402	GO:0043168	0.0005496	3.85
53402	GO:0030429	3.658e-15	52.56
53402	GO:0016822	1.012e-10	21.64
53402	GO:0016846	0	91.44
103648	GO:0050840	0	40.65
103648	GO:0097367	6.554e-14	16.34
103648	GO:0005488	0	40.65
103648	GO:0008201	0	29.65
103648	GO:0003674	0	40.65
103648	GO:0043168	1.381e-07	7.75
103648	GO:0005539	0	24.29
103648	GO:0043167	0.0007232	3.57
103648	GO:1901681	9.525e-15	17.99
56372	GO:0003674	0	303.81
56372	GO:0016798	5.406e-14	24.33
56372	GO:0016787	4.675e-07	6.94
56372	GO:0030597	0	303.81
56372	GO:0003824	0	303.81
56372	GO:0016799	0	65.47
158236	GO:0003674	7.066e-06	4.2
52414	GO:0003674	0	196.63
52414	GO:0016614	2.179e-09	6.23
52414	GO:0003824	0	196.63
52414	GO:0003979	0	196.63
52414	GO:0016616	0	25.86
52414	GO:0016491	1.179e-13	12.3
52862	GO:0042277	0	18.14
52862	GO:0046983	0.0001547	4.28
52862	GO:0046872	0.0005746	4.28
52862	GO:0016672	0	75.13
52862	GO:0015038	0	49.39
52862	GO:0031406	0	20.39
52862	GO:0015103	4.88e-08	9.06
52862	GO:0022891	2.307e-10	12.7
52862	GO:0016597	0	27.75
52862	GO:0043167	7.587e-05	4.34
52862	GO:1901681	0	20.94
52862	GO:0022892	2.307e-10	12.7
52862	GO:0016648	1.25e-15	43.38
52862	GO:0015075	2.307e-10	12.7
52862	GO:0016645	1.25e-15	43.38
52862	GO:0015108	6.474e-10	11.94
52862	GO:0016740	0	24.52
52862	GO:0016765	0	126.3
52862	GO:1900750	0	60
52862	GO:0045174	0	75.13
52862	GO:0005216	2.307e-10	12.7
52862	GO:0003674	0.0007407	3.25
52862	GO:0008509	0.0001469	4.73
52862	GO:0016853	3.003e-13	36.12
52862	GO:0015036	0	34.2
52862	GO:0005488	0	60
52862	GO:0043295	0	60
52862	GO:0005507	0.0005746	4.28
52862	GO:0004601	0	30.17
52862	GO:0016859	3.003e-13	36.12
52862	GO:0043169	0.0005746	4.28
52862	GO:0005515	4.095e-06	4.66
52862	GO:0016034	3.003e-13	36.12
52862	GO:0003824	0	11.04
52862	GO:0022803	2.307e-10	12.7
52862	GO:0005254	2.307e-10	12.7
52862	GO:0015037	5.946e-07	4.62
52862	GO:0016684	3.115e-09	8.47
52862	GO:0004364	0	205.78
52862	GO:0004602	0	30.17
52862	GO:0016667	0	21.25
52862	GO:0072341	0	37.85
52862	GO:0016209	0	25.79
52862	GO:0022838	2.307e-10	12.7
52862	GO:0033218	0	17.49
52862	GO:0046914	0.0005746	4.28
52862	GO:0008144	2.205e-05	6.01
52862	GO:0015267	2.307e-10	12.7
52862	GO:0042802	4.925e-05	4.66
52862	GO:0043168	0	60
52862	GO:0042803	4.095e-06	4.09
52862	GO:0005215	2.307e-10	12.7
52862	GO:0016491	0	75.13
52862	GO:0022857	2.307e-10	12.7
52862	GO:0005253	2.793e-10	12.56
55348	GO:0008092	0	19.62
55348	GO:0016903	0	132.43
55348	GO:0016301	0	76.03
55348	GO:0015631	0	35.82
55348	GO:0005488	0	39.34
55348	GO:0003942	0.0003195	4.33
55348	GO:0016772	0	76.03
55348	GO:0008017	0	39.34
55348	GO:0005515	0	39.34
55348	GO:0003824	0	12.76
55348	GO:0016620	0	156.06
55348	GO:0035605	0	186.3
55348	GO:0016740	0	186.3
55348	GO:0016774	9.062e-13	25.63
55348	GO:0004073	0.0006568	4.04
55348	GO:0016769	0	50.33
55348	GO:0003674	2.026e-05	3.9
55348	GO:0004365	0	263.55
55348	GO:0016491	0	37.36
55348	GO:0003991	0	76.03
52055	GO:0016874	8.558e-11	11.44
52055	GO:0016879	7.448e-13	14.5
52055	GO:0004842	1.409e-14	17.51
52055	GO:0003674	1.409e-14	17.51
52055	GO:0019787	3.089e-14	16.86
52055	GO:0003824	1.409e-14	17.51
52055	GO:0016881	9.365e-14	16.01
63713	GO:0008227	2.759e-07	8.83
63713	GO:0004871	0	34.65
63713	GO:0031406	4.997e-12	12.16
63713	GO:0015103	0	67.06
63713	GO:0016934	7.634e-05	4.32
63713	GO:0022839	0	116.7
63713	GO:0022891	0	71.39
