sunid	term	fdr	score
46463	HP:0000006	0	2.9
46580	HP:0000006	0	1.9
47006	HP:0000007	0	1.47
47204	HP:0000007	0	2.39
47455	HP:0000006	0	1.9
47687	HP:0000007	0	1.47
48098	HP:0000006	0	2.19
48132	HP:0000007	0	1.69
48360	HP:0000006	0	1.9
48558	HP:0000007	0	1.47
49880	HP:0000006	0	2.19
49944	HP:0000007	0	2.54
50282	HP:0000007	0	1.47
50448	HP:0000007	0	1.47
51231	HP:0000007	0	2.39
51247	HP:0000007	0	1.69
51487	HP:0000007	0	1.69
51570	HP:0000007	0	1.47
51830	HP:0000007	0	1.69
52071	HP:0000007	0	1.89
52092	HP:0000007	0	1.69
52103	HP:0000007	0	1.47
52441	HP:0000007	0	1.89
52592	HP:0001428	1.117e-06	13.1
52592	HP:0001442	1.117e-06	13.1
52778	HP:0000007	0	1.47
53068	HP:0000006	0	2.45
53577	HP:0000007	0	1.69
53653	HP:0001417	0.0009276	4.69
53653	HP:0001419	0.0009276	4.69
53653	HP:0010985	0.0009276	4.69
55519	HP:0000007	0	2.07
55857	HP:0000007	0	1.47
56067	HP:0000007	0	1.89
56367	HP:0000006	0	2.19
56646	HP:0000007	0	2.39
57233	HP:0000007	0	2.81
57354	HP:0000006	0	1.9
57468	HP:0000007	0	2.24
57611	HP:0000007	0	1.89
64269	HP:0000007	0	1.47
64594	HP:0000006	0	5.37
64594	HP:0001425	4.313e-05	5.5
69688	HP:0000007	0	1.47
69940	HP:0000007	0	1.47
74771	HP:0000007	0	1.47
75400	HP:0000007	0	1.47
81838	HP:0000007	0	1.69
82200	HP:0000006	0	2.68
82424	HP:0000007	0	1.47
82672	HP:0000007	0	1.69
88741	HP:0000007	0	1.47
89320	HP:0000007	0	1.47
89572	HP:0000007	0	1.47
101448	HP:0000006	0	1.9
101899	HP:0000007	0	1.47
101913	HP:0000006	0	1.9
109641	HP:0001417	0	5.86
109641	HP:0010985	0	5.79
109994	HP:0000007	0	1.47
118221	HP:0000006	0	1.9
140830	HP:0000006	0	1.9
141073	HP:0000007	0	1.89
