sunid	term	fdr	score
46690	MP:0000026	6.51e-08	8.97
46690	MP:0000034	1.604e-05	6.81
46690	MP:0000035	1.604e-05	7.45
46690	MP:0000049	5.997e-08	6.27
46690	MP:0000074	0.0001748	3.88
46690	MP:0000104	0.0007246	3.44
46690	MP:0000137	3.161e-06	4.28
46690	MP:0000150	0.0003558	3.37
46690	MP:0000163	1.374e-06	6.97
46690	MP:0000266	0.0009826	5.71
46690	MP:0000272	0.0005762	5.43
46690	MP:0000285	0.0009826	5.71
46690	MP:0000428	6.739e-08	9.25
46690	MP:0000431	1.94e-05	8.24
46690	MP:0000432	6.739e-08	9.25
46690	MP:0000438	1.94e-05	8.24
46690	MP:0000452	6.739e-08	9.25
46690	MP:0000454	0.0001014	6.16
46690	MP:0000455	0.0001014	3.88
46690	MP:0000458	0.0002269	6.16
46690	MP:0000459	0.0008626	3.32
46690	MP:0000462	0.0003371	3.23
46690	MP:0000550	2.469e-05	4.69
46690	MP:0000627	0.0006486	5.46
46690	MP:0000631	1.051e-05	5.7
46690	MP:0000633	2.585e-08	10.7
46690	MP:0000685	0.0001008	8.42
46690	MP:0000689	0.0001008	8.42
46690	MP:0000690	0.0005122	5.87
46690	MP:0000703	0.0008928	5.37
46690	MP:0000705	0.0008928	5.37
46690	MP:0000759	9.098e-05	6.45
46690	MP:0000762	0.000436	4.43
46690	MP:0000778	0.0003833	6.1
46690	MP:0000783	2.585e-08	10.7
46690	MP:0000787	4.454e-05	6.86
46690	MP:0000801	4.454e-05	6.86
46690	MP:0000807	4.454e-05	6.86
46690	MP:0000809	0.0001861	6.35
46690	MP:0000820	0.0002628	6.48
46690	MP:0000822	0.0002628	6.48
46690	MP:0000830	2.585e-08	10.7
46690	MP:0000841	0.0004809	4.67
46690	MP:0000847	0.0004809	4.67
46690	MP:0000848	0.0004809	4.67
46690	MP:0000897	4.921e-06	7.06
46690	MP:0000899	0.0002628	6.48
46690	MP:0000904	0.0002628	6.48
46690	MP:0000913	0.0008699	4.12
46690	MP:0000933	0.0008699	4.12
46690	MP:0001270	8.754e-07	7.26
46690	MP:0001297	3.054e-05	5.85
46690	MP:0001431	0.0001918	3.95
46690	MP:0001438	0.0001918	3.95
46690	MP:0001574	0.0001742	3.61
46690	MP:0001575	3.367e-07	7.05
46690	MP:0001614	0.0005762	5.43
46690	MP:0001663	5.738e-05	6.36
46690	MP:0001672	0.0001087	5.46
46690	MP:0001752	0.0009826	5.71
46690	MP:0001764	3.367e-07	7.05
46690	MP:0001943	0.000912	3.07
46690	MP:0001963	3.613e-06	9.84
46690	MP:0002069	0.0001918	3.95
46690	MP:0002081	3.151e-07	5.66
46690	MP:0002085	0.0001087	3.96
46690	MP:0002092	1.434e-05	7.78
46690	MP:0002102	5.997e-08	8.97
46690	MP:0002106	0.0006384	6.17
46690	MP:0002108	1.434e-05	7.78
46690	MP:0002109	2.469e-05	4.69
46690	MP:0002113	2.92e-05	5.8
46690	MP:0002114	3.907e-07	4.81
46690	MP:0002115	0.0007816	3.4
46690	MP:0002116	1.743e-07	8.24
46690	MP:0002127	0.0005762	5.71
46690	MP:0002132	1.374e-06	6.97
46690	MP:0002133	0.000912	3.07
46690	MP:0002151	0.0001387	5.46
46690	MP:0002152	2.585e-08	10.7
46690	MP:0002163	1.779e-07	6.1
46690	MP:0002191	0.0005762	5.43
46690	MP:0002199	0.0003833	6.1
46690	MP:0002200	0.0002628	6.48
46690	MP:0002233	0.0005724	4.18
46690	MP:0002237	0.0008168	4.18
46690	MP:0002396	0.0001008	8.42
46690	MP:0002428	6.51e-08	8.97
46690	MP:0002697	3.054e-05	5.85
46690	MP:0002722	0.0001008	8.42
46690	MP:0002729	6.51e-08	8.97
46690	MP:0002746	0.0009826	5.71
46690	MP:0002747	0.0009826	5.71
46690	MP:0002752	4.69e-05	4.55
46690	MP:0002823	2.92e-05	5.8
46690	MP:0002882	6.051e-05	6.14
46690	MP:0003005	4.454e-05	6.86
46690	MP:0003036	1.702e-06	5.46
46690	MP:0003208	0.0001387	5.46
46690	MP:0003235	0.0007246	3.44
46690	MP:0003245	6.051e-05	6.14
46690	MP:0003344	0.0006486	5.46
46690	MP:0003358	0.0002466	6.45
46690	MP:0003395	0.0005762	5.43
46690	MP:0003631	6.957e-08	5.84
46690	MP:0003632	4.673e-13	7.82
46690	MP:0003633	0.0009826	5.71
46690	MP:0003686	1.434e-05	7.78
46690	MP:0003723	0.0007816	3.4
46690	MP:0003743	6.739e-08	9.25
46690	MP:0003744	6.739e-08	9.25
46690	MP:0003755	6.285e-05	4.61
46690	MP:0003756	6.739e-08	9.25
46690	MP:0003816	2.585e-08	10.7
46690	MP:0003817	2.585e-08	10.7
46690	MP:0003854	0.0007816	3.4
46690	MP:0003861	0.0001387	5.46
46690	MP:0003878	3.613e-06	9.84
46690	MP:0003921	0.0009826	5.71
46690	MP:0003935	1.374e-06	6.97
46690	MP:0003948	3.367e-07	7.05
46690	MP:0004113	0.0005762	5.43
46690	MP:0004136	9.098e-05	6.17
46690	MP:0004160	0.0005762	5.43
46690	MP:0004163	1.759e-06	10.59
46690	MP:0004166	4.454e-05	6.86
46690	MP:0004221	0.0002137	7.45
46690	MP:0004224	0.0002137	7.45
46690	MP:0004249	0.0001172	6.33
46690	MP:0004274	0.0007895	4.46
46690	MP:0004353	0.0007816	3.4
46690	MP:0004425	1.604e-05	6.81
46690	MP:0004427	1.604e-05	7.45
46690	MP:0004508	7.871e-07	5.2
46690	MP:0004537	1.94e-05	8.24
46690	MP:0004594	0.0002269	6.16
46690	MP:0004624	0.0003144	4.02
46690	MP:0004625	0.00031	4.17
46690	MP:0004703	1.702e-06	5.46
46690	MP:0004726	1.374e-06	6.97
46690	MP:0004739	3.613e-06	9.84
46690	MP:0004924	0.0001918	3.95
46690	MP:0005105	1.743e-07	6.67
46690	MP:0005193	0.0002137	7.45
46690	MP:0005194	0.0002137	7.45
46690	MP:0005197	0.0002137	7.45
46690	MP:0005198	0.0002137	7.45
46690	MP:0005203	0.0002137	7.45
46690	MP:0005247	0.0002731	6.13
46690	MP:0005249	1.94e-05	8.24
46690	MP:0005272	0.0001901	4.29
46690	MP:0005274	1.94e-05	8.24
46690	MP:0005277	4.921e-06	7.06
46690	MP:0005294	0.0009826	5.71
46690	MP:0005296	0.0007816	3.4
46690	MP:0005361	2.814e-05	6.99
46690	MP:0005369	1.434e-05	7.78
46690	MP:0005371	1.803e-06	5.9
46690	MP:0005376	3.367e-07	7.05
46690	MP:0005377	1.856e-08	7.25
46690	MP:0005378	8.754e-07	7.26
46690	MP:0005379	4.069e-06	5.36
46690	MP:0005380	6.909e-06	5.24
46690	MP:0005381	1.809e-05	5.09
46690	MP:0005382	1.665e-12	8.52
46690	MP:0005385	0.0005762	5.71
46690	MP:0005386	0.0001918	3.95
46690	MP:0005387	0.0001008	8.42
46690	MP:0005388	4.008e-06	5.47
46690	MP:0005390	1.34e-12	8.16
46690	MP:0005391	0.0001051	4.6
46690	MP:0005394	0.0004243	4.84
46690	MP:0005397	0.0001008	8.42
46690	MP:0005449	0.0001918	3.95
46690	MP:0005508	1.32e-14	8.96
46690	MP:0005645	0.0009826	5.71
46690	MP:0006011	0.0008886	3.28
46690	MP:0006089	2.293e-05	6.61
46690	MP:0006090	1.604e-05	6.81
46690	MP:0006103	0.0002628	6.48
46690	MP:0006104	0.0002628	6.48
46690	MP:0006108	0.0008699	4.12
46690	MP:0006284	0.0002466	6.45
46690	MP:0006325	3.613e-06	9.84
46690	MP:0006326	0.0004856	4.76
46690	MP:0008026	0.0003833	6.1
46690	MP:0008065	0.0002137	7.45
46690	MP:0008066	0.0002137	7.45
46690	MP:0008322	6.593e-05	7.17
46690	MP:0008325	1.94e-05	8.24
46690	MP:0008326	1.759e-06	10.59
46690	MP:0008329	6.593e-05	7.17
46690	MP:0008335	1.94e-05	8.24
46690	MP:0008338	1.759e-06	10.59
46690	MP:0008488	0.0001172	6.33
46690	MP:0008540	4.454e-05	6.86
46690	MP:0008934	0.0002628	6.48
46690	MP:0008936	2.814e-05	6.99
46690	MP:0009247	5.738e-05	6.36
46690	MP:0009250	7.871e-07	5.2
46690	MP:0009323	0.0006384	6.17
46690	MP:0009637	4.921e-06	7.06
46690	MP:0009642	3.367e-07	7.05
46690	MP:0009653	9.578e-05	5.58
46690	MP:0009655	9.578e-05	5.58
46690	MP:0009891	6.739e-08	9.25
46690	MP:0010150	0.0002269	6.16
46690	MP:0010224	0.0009826	5.71
46690	MP:0010429	0.0009826	5.71
46690	MP:0010464	0.0005762	5.43
46690	MP:0010465	0.0005762	5.43
46690	MP:0010468	0.0005762	5.43
46690	MP:0010484	0.0009826	5.71
46690	MP:0010487	0.0005762	5.43
46690	MP:0010595	0.0009826	5.71
46690	MP:0010678	0.0006486	5.46
46690	MP:0010768	4.432e-05	4.36
46690	MP:0010769	4.592e-07	5.31
46690	MP:0010770	0.0001595	3.39
46690	MP:0010771	0.0006486	5.46
46690	MP:0010832	5.29e-07	4.88
46690	MP:0010893	0.0003833	6.1
46690	MP:0011263	0.0001008	8.42
46690	MP:0011504	0.0007816	3.4
46690	MP:0011655	0.0005762	5.43
46690	MP:0012186	0.0006384	6.17
46739	MP:0000003	6.593e-06	8.51
46739	MP:0000180	0.0003786	5.76
46739	MP:0000228	0.0007194	4.99
46739	MP:0000685	0.0002118	7.12
46739	MP:0000716	0.0002118	7.12
46739	MP:0001547	0.0003786	5.76
46739	MP:0001764	0.0003589	5.76
46739	MP:0001802	0.0002118	7.12
46739	MP:0002118	0.0003786	5.76
46739	MP:0002123	0.0002118	7.12
46739	MP:0002144	0.0002118	7.12
46739	MP:0002396	0.0002118	7.12
46739	MP:0002398	0.0007194	4.99
46739	MP:0002401	0.0002118	7.12
46739	MP:0002413	0.0007194	4.99
46739	MP:0002417	0.0007194	4.99
46739	MP:0002429	0.0002118	7.12
46739	MP:0002619	0.0002118	7.12
46739	MP:0003947	0.0006883	4.9
46739	MP:0003949	0.0003786	5.76
46739	MP:0003983	0.0003786	5.76
46739	MP:0004720	0.0007194	4.99
46739	MP:0004939	0.0002118	7.12
46739	MP:0005179	0.0003786	5.76
46739	MP:0005278	0.000774	4.82
46739	MP:0005375	6.593e-06	8.51
46739	MP:0005376	0.0003589	5.76
46739	MP:0005378	6.593e-06	8.51
46739	MP:0005387	0.0002118	7.12
46739	MP:0005397	0.0002118	7.12
46739	MP:0005451	6.593e-06	8.51
46739	MP:0005452	6.593e-06	8.51
46739	MP:0005457	6.593e-06	8.51
46739	MP:0005460	0.0002118	7.12
46739	MP:0005505	0.0007194	4.99
46739	MP:0008246	0.0002118	7.12
46739	MP:0008247	0.0002118	7.12
46739	MP:0009642	0.0003786	5.76
46739	MP:0010329	0.0003589	5.37
46739	MP:0011180	0.0007194	4.99
46739	MP:0011181	0.0007194	4.99
46739	MP:0011898	0.0007194	4.99
46739	MP:0012224	0.0008125	4.79
46739	MP:0012225	0.0003786	5.76
46739	MP:0012320	6.593e-06	8.51
46748	MP:0000026	0.0006531	5.64
46748	MP:0000031	0.0006531	5.64
46748	MP:0000035	0.00092	5.31
46748	MP:0000367	2.661e-06	13.12
46748	MP:0000428	1.234e-07	8.32
46748	MP:0000432	0.000495	5.92
46748	MP:0000438	3.826e-06	8.28
46748	MP:0000452	0.000495	5.92
46748	MP:0000454	3.826e-06	8.28
46748	MP:0000681	1.743e-08	25.68
46748	MP:0000729	1.48e-05	10.29
46748	MP:0000733	2.517e-07	18.09
46748	MP:0000737	2.517e-07	18.09
46748	MP:0000759	0.0002493	6.66
46748	MP:0000822	8.498e-05	6.71
46748	MP:0000897	9.208e-05	5.51
46748	MP:0001186	0.0003008	5.63
46748	MP:0001510	2.661e-06	13.12
46748	MP:0001944	0.0001556	7.19
46748	MP:0002075	2.661e-06	13.12
46748	MP:0002082	0	6.44
46748	MP:0002089	0.0006856	3.45
46748	MP:0002100	0.000495	5.92
46748	MP:0002102	3.098e-05	6.65
46748	MP:0002108	2.517e-07	18.09
46748	MP:0002114	7.635e-06	6.01
46748	MP:0002116	1.234e-07	8.32
46748	MP:0002152	8.498e-05	6.71
46748	MP:0002163	0.0001839	4.46
46748	MP:0002169	0.000844	3.75
46748	MP:0002200	8.498e-05	6.71
46748	MP:0002873	0.000853	3.74
46748	MP:0002938	2.661e-06	13.12
46748	MP:0003358	0.0002493	6.66
46748	MP:0003421	1.743e-08	25.68
46748	MP:0003631	8.498e-05	6.71
46748	MP:0003632	8.498e-05	6.71
46748	MP:0003743	0.000495	5.92
46748	MP:0003744	0.000495	5.92
46748	MP:0005215	0.0007143	5.55
46748	MP:0005217	0.0001556	7.19
46748	MP:0005274	3.826e-06	8.28
46748	MP:0005277	0.0005735	4.26
46748	MP:0005369	2.517e-07	18.09
46748	MP:0005377	0.0001163	5.71
46748	MP:0005378	0.0006856	5.51
46748	MP:0005379	0.0003294	4.18
46748	MP:0005382	1.776e-05	5.59
46748	MP:0005390	0.0002774	4.26
46748	MP:0005508	0.0001566	4.53
46748	MP:0009165	0.00073	5.53
46748	MP:0009701	0.0007454	5.51
46748	MP:0009703	0.0007454	5.51
46748	MP:0010678	2.661e-06	13.12
46748	MP:0010768	0	2.71
46748	MP:0010769	0	2.93
46748	MP:0010770	0	3.37
46748	MP:0010771	2.661e-06	13.12
46748	MP:0010832	0	4.61
46775	MP:0002396	4.59e-05	6.16
46775	MP:0004808	4.59e-05	6.16
46775	MP:0005397	4.59e-05	6.16
46827	MP:0001919	0.0002566	5.23
46827	MP:0001921	0.0002566	5.23
46827	MP:0002161	0.0002566	5.23
46827	MP:0005389	0.0002566	5.23
46832	MP:0000030	0.0009863	5.61
46832	MP:0000049	0.0009863	5.61
46832	MP:0000266	2.566e-05	5.76
46832	MP:0000272	0.0001157	6.52
46832	MP:0000281	0.0005637	5.06
46832	MP:0000350	5.948e-06	9.61
46832	MP:0000352	5.948e-06	9.61
46832	MP:0000428	0.000306	5.25
46832	MP:0000438	0.0006308	4.56
46832	MP:0000454	0.000306	5.25
46832	MP:0000462	5.957e-05	7.5
46832	MP:0000467	5.957e-05	7.5
46832	MP:0000653	0.0008282	5.79
46832	MP:0000767	5.957e-05	7.5
46832	MP:0000913	0.0004838	5.14
46832	MP:0000952	0.0006603	5.07
46832	MP:0001119	0.0008282	5.79
46832	MP:0001126	0.0008282	5.79
46832	MP:0001129	0.0008282	5.79
46832	MP:0001130	0.0008282	5.79
46832	MP:0001131	0.0008282	5.79
46832	MP:0001175	5.948e-06	9.61
46832	MP:0001176	5.948e-06	9.61
46832	MP:0001614	0.0001157	6.52
46832	MP:0001672	2.078e-05	8.88
46832	MP:0001674	0.0001137	6.14
46832	MP:0001680	0.0001137	6.14
46832	MP:0001688	2.078e-05	8.88
46832	MP:0001695	0.0001137	6.14
46832	MP:0001943	3.981e-05	6
46832	MP:0001951	3.981e-05	6
46832	MP:0002006	2.487e-05	7.21
46832	MP:0002019	2.487e-05	7.21
46832	MP:0002020	2.487e-05	7.21
46832	MP:0002084	0.0001137	6.14
46832	MP:0002085	2.078e-05	8.88
46832	MP:0002092	0.0006572	4.17
46832	MP:0002102	0.0009863	5.61
46832	MP:0002108	5.957e-05	7.5
46832	MP:0002114	0.000306	5.25
46832	MP:0002116	0.000306	5.25
46832	MP:0002127	2.566e-05	6.52
46832	MP:0002132	5.948e-06	9.61
46832	MP:0002133	3.981e-05	6.2
46832	MP:0002152	0.0004838	5.14
46832	MP:0002160	0.0008282	5.79
46832	MP:0002163	0.0008282	5.79
46832	MP:0002166	2.487e-05	7.21
46832	MP:0002190	2.566e-05	5.76
46832	MP:0002191	0.0001157	6.52
46832	MP:0002327	3.981e-05	6
46832	MP:0002882	0.0006603	5.07
46832	MP:0003115	5.948e-06	9.61
46832	MP:0003159	5.957e-05	7.5
46832	MP:0003631	0.0004838	5.14
46832	MP:0003632	0.0004838	5.14
46832	MP:0003634	0.0006603	5.07
46832	MP:0003648	0.0006603	5.07
46832	MP:0003861	0.0004838	5.14
46832	MP:0004113	0.0001157	6.52
46832	MP:0004221	1.575e-07	15.58
46832	MP:0004780	0.0005674	6.2
46832	MP:0004782	0.0005674	6.2
46832	MP:0005076	0.0006603	5.07
46832	MP:0005099	1.881e-06	11.82
46832	MP:0005157	0.0004838	5.14
46832	MP:0005193	1.575e-07	15.58
46832	MP:0005194	1.575e-07	15.58
46832	MP:0005197	1.575e-07	15.58
46832	MP:0005198	3.135e-06	11.15
46832	MP:0005203	3.743e-07	14.18
46832	MP:0005204	1.575e-07	15.58
46832	MP:0005222	2.078e-05	8.88
46832	MP:0005274	0.000306	5.25
46832	MP:0005294	0.0005637	5.06
46832	MP:0005329	2.566e-05	5.76
46832	MP:0005369	5.957e-05	7.5
46832	MP:0005377	0.0009863	5.61
46832	MP:0005379	0.0008282	5.79
46832	MP:0005380	2.078e-05	8.88
46832	MP:0005381	5.758e-07	6.23
46832	MP:0005382	0.0007724	4.16
46832	MP:0005384	5.948e-06	9.61
46832	MP:0005385	2.566e-05	6.52
46832	MP:0005388	9.372e-05	4.81
46832	MP:0005389	0.0008282	5.79
46832	MP:0005390	0.000306	5.25
46832	MP:0005391	1.575e-07	15.58
46832	MP:0005508	0.000306	5.25
46832	MP:0005621	5.948e-06	9.61
46832	MP:0006027	0.0006884	5.99
46832	MP:0006031	7.531e-05	7.08
46832	MP:0006113	0.0005637	5.06
46832	MP:0008019	2.487e-05	7.21
46832	MP:0009208	0.0008282	5.79
46832	MP:0009209	0.0008282	5.79
46832	MP:0009937	0.0006603	5.07
46832	MP:0010273	0.000639	5.66
46832	MP:0010274	2.487e-05	7.21
46832	MP:0010297	0.0002449	4.17
46832	MP:0010306	0.000639	5.66
46832	MP:0010402	0.0005637	5.06
46832	MP:0010468	0.0001157	6.52
46832	MP:0010545	2.566e-05	5.76
46832	MP:0010768	7.933e-08	5.96
46832	MP:0010769	0.0003917	3.64
46832	MP:0010770	7.933e-08	5.96
46832	MP:0010832	7.933e-08	5.96
46832	MP:0010995	0.0006884	5.99
46832	MP:0011146	0.0001056	7.64
46832	MP:0011148	5.948e-06	9.61
46832	MP:0011655	0.0001157	6.52
46832	MP:0011732	2.078e-05	8.88
46832	MP:0013152	2.487e-05	7.21
46832	MP:0020188	0.000639	5.66
46847	MP:0000217	0.0007143	5.55
46847	MP:0000221	0.0007143	5.55
46847	MP:0000685	0.0007143	5.55
46847	MP:0000716	0.0007143	5.55
46847	MP:0000717	0.0007143	5.55
46847	MP:0000959	2.661e-06	13.12
46847	MP:0000965	2.661e-06	13.12
46847	MP:0000966	0.000471	5.97
46847	MP:0001325	2.661e-06	13.12
46847	MP:0001544	0.0002355	5.24
46847	MP:0001672	0.0003622	6.25
46847	MP:0001711	0.0003622	6.25
46847	MP:0001712	0.0005198	5.87
46847	MP:0001914	0.0002355	5.24
46847	MP:0002080	0.0002206	5.89
46847	MP:0002086	0.0003622	6.25
46847	MP:0002092	2.661e-06	13.12
46847	MP:0002123	0.0007143	5.55
46847	MP:0002128	0.0002355	5.24
46847	MP:0002145	0.0007143	5.55
46847	MP:0002396	0.0007143	5.55
46847	MP:0002401	0.0007143	5.55
