sunid	term	fdr	score
51570	UPA00002	0	120.18
53739	UPA00002	7.191e-06	8.54
48265	UPA00009	4.153e-09	8.61
51751	UPA00009	2.425e-06	5.8
159785	UPA00009	0	171.93
47337	UPA00011	1.42e-06	10.86
69565	UPA00012	8.287e-11	37.63
141615	UPA00012	0	252.94
89902	UPA00017	0	224.96
56323	UPA00025	5.558e-06	8.95
46549	UPA00026	0	0.27
46553	UPA00026	0	0.15
46566	UPA00026	0	0.18
46590	UPA00026	0	1.07
46685	UPA00026	0	0.09
46792	UPA00026	0	0.15
46900	UPA00026	0	0.08
46935	UPA00026	0	0.15
46978	UPA00026	0	0.36
47006	UPA00026	0	0.19
47032	UPA00026	0	0.1
47204	UPA00026	0	0.38
47253	UPA00026	0	16.8
47337	UPA00026	0	0.84
47342	UPA00026	0	0.25
47371	UPA00026	0	0.11
47502	UPA00026	0	0.18
47547	UPA00026	0	0.12
47617	UPA00026	0	0.21
47645	UPA00026	0	0.26
47649	UPA00026	0	1.04
47669	UPA00026	0	0.12
47742	UPA00026	0	0.11
48082	UPA00026	0	0.21
48109	UPA00026	0	0.66
48114	UPA00026	0	0.14
48132	UPA00026	0	0.24
48180	UPA00026	0	0.38
48184	UPA00026	0	1
48187	UPA00026	0	0.64
48191	UPA00026	0	0.31
48197	UPA00026	0	0.95
48213	UPA00026	0	0.15
48222	UPA00026	0	0.1
48226	UPA00026	0	0.24
48240	UPA00026	0	0.58
48243	UPA00026	0	0.16
48257	UPA00026	0	0.45
48265	UPA00026	0	0.62
48372	UPA00026	0	0.18
48399	UPA00026	0	0.12
48404	UPA00026	0	0.47
48453	UPA00026	0	0.27
48485	UPA00026	0	0.28
48489	UPA00026	0	0.22
48558	UPA00026	0	1.13
48572	UPA00026	0	0.66
48577	UPA00026	0	0.38
48580	UPA00026	0	0.24
48583	UPA00026	0	0.58
48586	UPA00026	0	0.15
48601	UPA00026	0	0.13
48604	UPA00026	0	0.1
48711	UPA00026	0	0.31
49266	UPA00026	0	0.2
49304	UPA00026	0	0.22
49385	UPA00026	0	0.15
49390	UPA00026	0	0.08
49398	UPA00026	0	0.09
49469	UPA00026	0	0.1
49473	UPA00026	0	0.11
49483	UPA00026	0	0.18
49504	UPA00026	0	0.09
49541	UPA00026	0	0.08
49550	UPA00026	0	0.12
49563	UPA00026	0	0.17
49600	UPA00026	0	0.27
49724	UPA00026	0	0.34
49746	UPA00026	0	0.11
49768	UPA00026	0	0.08
49803	UPA00026	0	0.23
49811	UPA00026	0	0.09
49885	UPA00026	0	0.2
49925	UPA00026	0	0.09
49932	UPA00026	0	0.08
49978	UPA00026	0	0.31
50023	UPA00026	0	0.16
50033	UPA00026	0	0.25
50038	UPA00026	0	0.08
50045	UPA00026	0	0.2
50091	UPA00026	0	0.08
50110	UPA00026	0	0.9
50136	UPA00026	0	0.62
50157	UPA00026	0	0.1
50282	UPA00026	0	1
50371	UPA00026	0	0.35
50438	UPA00026	0	0.32
50444	UPA00026	0	0.27
50448	UPA00026	0	0.55
50466	UPA00026	0	0.41
50476	UPA00026	0	0.73
50482	UPA00026	0	0.13
50487	UPA00026	0	0.33
50693	UPA00026	0	0.76
50696	UPA00026	0	0.11
50764	UPA00026	0	0.09
50776	UPA00026	0	0.1
50801	UPA00026	0	0.42
50892	UPA00026	0	0.09
50912	UPA00026	0	0.08
50966	UPA00026	0	0.11
50975	UPA00026	0	0.28
50979	UPA00026	0	0.52
50986	UPA00026	0	0.14
51012	UPA00026	0	0.71
51046	UPA00026	0	0.27
51121	UPA00026	0	0.13
51127	UPA00026	0	0.35
51147	UPA00026	0	0.44
51162	UPA00026	0	0.83
51165	UPA00026	0	0.68
51168	UPA00026	0	0.08
51171	UPA00026	0	1.07
51174	UPA00026	0	0.21
51183	UPA00026	0	0.15
51191	UPA00026	0	0.2
51194	UPA00026	0	0.37
51198	UPA00026	0	0.44
51203	UPA00026	0	0.08
51231	UPA00026	0	0.45
51247	UPA00026	0	0.84
51279	UPA00026	0	0.65
51284	UPA00026	0	1.11
51339	UPA00026	0	0.67
51352	UPA00026	0	1
51367	UPA00026	0	1.43
51372	UPA00026	0	0.16
51375	UPA00026	0	0.99
51381	UPA00026	0	1.45
51392	UPA00026	0	0.76
51396	UPA00026	0	1.07
51413	UPA00026	0	0.39
51420	UPA00026	0	0.92
51431	UPA00026	0	0.3
51446	UPA00026	0	0.8
51487	UPA00026	0	0.46
51521	UPA00026	0	0.29
51550	UPA00026	0	0.12
51553	UPA00026	0	0.6
51557	UPA00026	0	0.18
51560	UPA00026	0	0.67
51570	UPA00026	0	1.68
51591	UPA00026	0	0.42
51594	UPA00026	0	0.3
51599	UPA00026	0	0.71
51605	UPA00026	0	1.18
51609	UPA00026	0	0.45
51622	UPA00026	0	0.43
51629	UPA00026	0	0.19
51632	UPA00026	0	0.15
51638	UPA00026	0	0.27
51646	UPA00026	0	0.42
51650	UPA00026	0	0.21
51662	UPA00026	0	0.32
51687	UPA00026	0	0.13
51691	UPA00026	0	0.24
51704	UPA00026	0	0.13
51714	UPA00026	0	0.88
51718	UPA00026	0	0.3
51723	UPA00026	0	0.2
51727	UPA00026	0	0.91
51731	UPA00026	0	0.21
51736	UPA00026	0	0.61
51751	UPA00026	0	1.13
51800	UPA00026	0	1.79
51830	UPA00026	0	0.71
51848	UPA00026	0	0.68
51868	UPA00026	0	1.66
51883	UPA00026	0	1.75
