ID	Name	Namespace	Distance
GO:0006082	organic acid metabolic process	biological_process	4
GO:0003674	molecular_function	molecular_function	1
GO:0043436	oxoacid metabolic process	biological_process	6
GO:0016788	hydrolase activity, acting on ester bonds	molecular_function	4
GO:0044281	small molecule metabolic process	biological_process	4
GO:0051186	cofactor metabolic process	biological_process	4
GO:0016787	hydrolase activity	molecular_function	3
GO:0044255	cellular lipid metabolic process	biological_process	4
GO:0009056	catabolic process	biological_process	3
GO:0044710	single-organism metabolic process	biological_process	3
GO:0003824	catalytic activity	molecular_function	2
GO:0032787	monocarboxylic acid metabolic process	biological_process	8
GO:0006629	lipid metabolic process	biological_process	4
GO:0009987	cellular process	biological_process	2
GO:0006631	fatty acid metabolic process	biological_process	6
GO:0044712	single-organism catabolic process	biological_process	4
GO:0035383	thioester metabolic process	biological_process	4
GO:0008152	metabolic process	biological_process	2
GO:0008150	biological_process	biological_process	1
GO:0071704	organic substance metabolic process	biological_process	3
GO:0006793	phosphorus metabolic process	biological_process	4
GO:0006637	acyl-CoA metabolic process	biological_process	5
GO:0016790	thiolester hydrolase activity	molecular_function	5
GO:0044237	cellular metabolic process	biological_process	3
GO:0016289	CoA hydrolase activity	molecular_function	6
GO:0019752	carboxylic acid metabolic process	biological_process	7
GO:0006732	coenzyme metabolic process	biological_process	5
GO:0044238	primary metabolic process	biological_process	3
GO:0071044	histone mRNA catabolic process	biological_process	10
GO:0006302	double-strand break repair	biological_process	9
GO:0018130	heterocycle biosynthetic process	biological_process	5
GO:0034062	RNA polymerase activity	molecular_function	6
GO:0000731	DNA synthesis involved in DNA repair	biological_process	9
GO:0070013	intracellular organelle lumen	cellular_component	5
GO:0000726	non-recombinational repair	biological_process	9
GO:0044699	single-organism process	biological_process	2
GO:0004518	nuclease activity	molecular_function	5
GO:0022616	DNA strand elongation	biological_process	8
GO:0000278	mitotic cell cycle	biological_process	5
GO:0065008	regulation of biological quality	biological_process	3
GO:0006139	nucleobase-containing compound metabolic process	biological_process	4
GO:0005622	intracellular	cellular_component	4
GO:0043231	intracellular membrane-bounded organelle	cellular_component	4
GO:0097159	organic cyclic compound binding	molecular_function	3
GO:0043170	macromolecule metabolic process	biological_process	4
GO:0006402	mRNA catabolic process	biological_process	9
GO:0005488	binding	molecular_function	2
GO:0019222	regulation of metabolic process	biological_process	4
GO:0006396	RNA processing	biological_process	6
GO:0006271	DNA strand elongation involved in DNA replication	biological_process	9
GO:1901361	organic cyclic compound catabolic process	biological_process	5
GO:0007049	cell cycle	biological_process	4
GO:0033036	macromolecule localization	biological_process	3
GO:0019439	aromatic compound catabolic process	biological_process	5
GO:0065007	biological regulation	biological_process	2
GO:0008334	histone mRNA metabolic process	biological_process	9
GO:0044464	cell part	cellular_component	2
GO:0016772	transferase activity, transferring phosphorus-containing groups	molecular_function	4
GO:0044270	cellular nitrogen compound catabolic process	biological_process	5
GO:0016779	nucleotidyltransferase activity	molecular_function	5
GO:0009057	macromolecule catabolic process	biological_process	5
GO:0043601	nuclear replisome	cellular_component	12
GO:0031251	PAN complex	cellular_component	4
GO:0051171	regulation of nitrogen compound metabolic process	biological_process	5
GO:0070727	cellular macromolecule localization	biological_process	4
