id	level	description
46459	fa	Truncated hemoglobin
46463	fa	Globins
46532	fa	Phycocyanin-like phycobilisome proteins
46549	fa	Fumarate reductase/Succinate dehydogenase iron-sulfur protein, C-terminal domain
46553	fa	Dihydropyrimidine dehydrogenase, N-terminal domain
46558	fa	GreA transcript cleavage protein, N-terminal domain
46562	fa	Ribosomal protein L29 (L29p)
46566	fa	Chaperone J-domain
46576	fa	DNA polymerase III theta subunit-like
46580	fa	Prefoldin
46586	fa	HR1 repeat
46590	fa	Seryl-tRNA synthetase (SerRS)
46593	fa	Phenylalanyl-tRNA synthetase (PheRS)
46597	fa	Eukaryotic DNA topoisomerase I, dispensable insert domain
46601	fa	C-terminal UvrC-binding domain of UvrB
46605	fa	Epsilon subunit of F1F0-ATP synthase C-terminal domain
46610	fa	Fe,Mn superoxide dismutase (SOD), N-terminal domain
46627	fa	monodomain cytochrome c
46671	fa	N-terminal (heme c) domain of cytochrome cd1-nitrite reductase
46676	fa	Cytochrome bc1 domain
46680	fa	Two-domain cytochrome c
46685	fa	Di-heme cytochrome c peroxidase
46690	fa	Homeodomain
46728	fa	Recombinase DNA-binding domain
46739	fa	Myb/SANT domain
46745	fa	DNA-binding domain of telomeric protein
46748	fa	Paired domain
46753	fa	DNA-binding domain of rap1
46756	fa	Centromere-binding
46759	fa	AraC type transcriptional activator
46764	fa	Tetracyclin repressor-like, N-terminal domain
46768	fa	Methylated DNA-protein cysteine methyltransferase, C-terminal domain
46775	fa	ARID domain
46782	fa	TnsA endonuclease, C-terminal domain
46786	fa	Biotin repressor-like
46789	fa	LexA repressor, N-terminal DNA-binding domain
46792	fa	Arginine repressor (ArgR), N-terminal DNA-binding domain
46796	fa	CAP C-terminal domain-like
46801	fa	ArsR-like transcriptional regulators
46804	fa	GntR-like transcriptional regulators
46807	fa	Replication terminator protein (RTP)
46810	fa	N-terminal domain of molybdate-dependent transcriptional regulator ModE
46813	fa	Transcription factor MotA, activation domain
46816	fa	Replication initiation protein
46819	fa	Helicase DNA-binding domain
46824	fa	Restriction endonuclease FokI, N-terminal (recognition) domain
46827	fa	Linker histone H1/H5
46832	fa	Forkhead DNA-binding domain
46841	fa	DNA-binding domain from rap30
46844	fa	C-terminal domain of RPA32
46847	fa	Cell cycle transcription factor e2f-dp
46850	fa	The central core domain of TFIIE beta
46853	fa	Z-DNA binding domain
46856	fa	P4 origin-binding domain-like
46859	fa	ets domain
46873	fa	Heat-shock transcription factor
46877	fa	Interferon regulatory factor
46882	fa	Iron-dependent repressor protein
46887	fa	Methionine aminopeptidase, insert domain
46891	fa	Excisionase-like
46895	fa	PhoB-like
46900	fa	GerE-like (LuxR/UhpA family of transcriptional regulators)
46903	fa	Spo0A
46907	fa	Ribosomal protein L11, C-terminal domain
46912	fa	Ribosomal protein S18
46916	fa	Polynucleotide phosphorylase/guanosine pentaphosphate synthase (PNPase/GPSI), domain 3
46920	fa	N-terminal Zn binding domain of HIV integrase
46925	fa	RNA polymerase subunit RPB10
46930	fa	DNA helicase RuvA subunit, C-terminal domain
46935	fa	UBA domain
46939	fa	CRAL/TRIO N-terminal domain
46943	fa	Elongation factor TFIIS domain 2
46947	fa	Ribosomal protein S13
46951	fa	Double-stranded DNA-binding domain
46956	fa	Domains B1 and B5 of PheRS-beta, PheT
46959	fa	DNA repair factor XPA DNA- and RPA-binding domain, C-terminal subdomain
46962	fa	DNA-binding N-terminal domain of transcription activators
46967	fa	Spectrin repeat
46974	fa	Enzyme IIa from lactose specific PTS, IIa-lac
46978	fa	Succinate dehydrogenase/fumarate reductase flavoprotein C-terminal domain
46985	fa	Smac/diablo
46989	fa	Tubulin chaperone cofactor A
46993	fa	Ribosomal protein S20
46998	fa	Immunoglobulin-binding protein A modules
47001	fa	GA module, an albumin-binding domain
47006	fa	Peripheral subunit-binding domain of 2-oxo acid dehydrogenase complex
47015	fa	Protozoan pheromone proteins
47028	fa	Acyl-CoA binding protein
47032	fa	Second domain of FERM
47041	fa	Kix domain of CBP (creb binding protein)
47046	fa	RAP domain
47051	fa	VHP, Villin headpiece domain
47056	fa	TAF(II)230 TBP-binding fragment
47061	fa	N-terminal, RNA-binding domain of nonstructural protein NS1
47064	fa	Ribosomal protein S15
47068	fa	a tRNA synthase domain
47073	fa	p8-MTCP1
47078	fa	T4 endonuclease V
47083	fa	Fertilization protein
