sunid	term	fdr	score
143034	GO:0005737	0	4.73
143034	GO:0043226	0	4.2
143034	GO:0043229	0	4.28
143034	GO:0005623	0	3.2
143034	GO:0044464	0	3.2
143034	GO:0044424	0	3.68
143034	GO:0005575	0	1.77
143034	GO:0005622	0	3.64
143034	GO:0044444	0	5.51
159121	GO:0005575	0	1.89
57863	GO:0005794	3.132e-09	8.17
57863	GO:0005802	0.0001932	5.35
57863	GO:0005768	9.162e-05	4.94
57863	GO:0005622	3.132e-09	8.17
57863	GO:0043231	3.132e-09	8.17
57863	GO:0005924	3.929e-07	9.71
57863	GO:0016020	9.162e-05	4.94
57863	GO:0001726	1.146e-05	6.23
57863	GO:0044464	3.132e-09	8.17
57863	GO:0044440	0.0003607	4.94
57863	GO:0005912	6.283e-12	12.86
57863	GO:0030055	3.929e-07	9.71
57863	GO:0042995	1.146e-05	6.23
57863	GO:0044446	9.162e-05	5.18
57863	GO:0044422	9.162e-05	5.18
57863	GO:0043226	3.132e-09	8.17
57863	GO:0043229	3.132e-09	8.17
57863	GO:0005925	3.929e-07	9.71
57863	GO:0005575	6.283e-12	12.86
57863	GO:0044444	3.132e-09	8.17
57863	GO:0031090	9.162e-05	4.94
57863	GO:0070161	1.627e-06	4.61
57863	GO:0010008	9.162e-05	4.94
57863	GO:0044431	0.0001283	5.18
57863	GO:0005623	3.132e-09	8.17
57863	GO:0044424	3.132e-09	8.17
57863	GO:0043227	3.132e-09	8.17
57863	GO:0005737	5.705e-07	5.43
57863	GO:0031252	0.0004047	4.72
57863	GO:0030054	3.324e-06	6.21
140383	GO:0005667	4.224e-07	10.32
140383	GO:0016591	7.555e-10	18.7
140383	GO:0005623	5.011e-14	43.81
140383	GO:0044424	5.011e-14	43.81
140383	GO:0000428	2.53e-09	16.74
140383	GO:0005654	5.011e-14	43.81
140383	GO:0044428	5.011e-14	43.81
140383	GO:0070013	5.011e-14	43.81
140383	GO:0005675	5.011e-14	43.81
140383	GO:0043227	5.011e-14	43.81
140383	GO:0005622	5.011e-14	43.81
140383	GO:0043231	5.011e-14	43.81
140383	GO:0005634	5.011e-14	43.81
140383	GO:0044446	5.011e-14	43.81
140383	GO:0044451	5.011e-14	43.81
140383	GO:0055029	3.506e-08	9.68
140383	GO:0031981	5.011e-14	43.81
140383	GO:0030880	6.447e-09	14.54
140383	GO:0044422	5.011e-14	43.81
140383	GO:0005575	5.011e-14	43.81
140383	GO:0031974	5.011e-14	43.81
140383	GO:0043226	5.011e-14	43.81
140383	GO:0043229	5.011e-14	43.81
140383	GO:0043233	5.011e-14	43.81
140383	GO:0044464	5.011e-14	43.81
140383	GO:0032991	5.011e-14	43.81
140383	GO:0043234	5.011e-14	43.81
53756	GO:0016020	6.905e-07	6.64
53756	GO:0044464	0	43.62
53756	GO:0044432	6.585e-06	5.74
53756	GO:0044422	6.905e-07	6.64
53756	GO:0005946	0	43.62
