sunid	term	fdr	score
159121	GO:0003674	0	2.07
57863	GO:0016787	0.0003072	4.87
57863	GO:0035091	0	28.52
57863	GO:0005543	7.133e-09	6.58
57863	GO:0016462	0.0003072	4.87
57863	GO:0005488	0	28.52
57863	GO:0003924	0.0003072	4.87
57863	GO:0005083	0	142.48
57863	GO:0005515	3.9e-09	15.79
57863	GO:0003824	0.0003072	4.87
57863	GO:0017111	0.0003072	4.87
57863	GO:0043130	1.132e-06	9.2
57863	GO:0043167	0	28.52
57863	GO:0005547	0	28.52
57863	GO:0016818	0.0003072	4.87
57863	GO:0008047	0	29.42
57863	GO:0005099	6.868e-08	12.09
57863	GO:0030234	0	16.92
57863	GO:0016817	0.0003072	4.87
57863	GO:0032182	7.042e-06	7.45
57863	GO:0005100	6.868e-08	12.09
57863	GO:0008060	0	142.48
57863	GO:0060589	2.334e-09	5.48
57863	GO:0005096	7.481e-15	8.01
57863	GO:0003674	0	142.48
57863	GO:1901981	0	28.52
57863	GO:0031593	3.9e-09	15.79
57863	GO:0043168	9.604e-07	6.3
57863	GO:0030695	0	25.45
57863	GO:0008289	1.648e-09	8.93
103247	GO:0003674	0	1.79
53756	GO:0016787	0	47.11
53756	GO:0001972	8.774e-12	8.74
53756	GO:0042578	0	47.11
53756	GO:0031406	4.285e-07	7.11
53756	GO:0016788	0	47.11
53756	GO:0019840	2.069e-13	11.07
53756	GO:0043167	1.822e-12	13.41
53756	GO:0035251	0	139.65
53756	GO:0016740	0	41.75
53756	GO:0005501	1.558e-15	19.57
53756	GO:0016757	0	136.47
53756	GO:0016791	0	47.11
53756	GO:0008761	7.481e-15	37.78
53756	GO:0003674	0	147.17
53756	GO:0016758	0	147.17
53756	GO:0008194	4.2e-08	5.5
53756	GO:0016853	7.481e-15	37.78
53756	GO:0005488	1.558e-15	19.57
53756	GO:0003824	0	19.73
53756	GO:0046527	0	141.42
53756	GO:0004805	0	47.11
53756	GO:0019203	0	24.31
53756	GO:0015020	6.047e-05	4.32
53756	GO:0033293	1.822e-12	13.41
53756	GO:0016854	2.352e-05	6.34
53756	GO:0004376	9.802e-07	6.18
53756	GO:0008417	0.0001148	3.59
53756	GO:0000030	9.802e-07	6.18
53756	GO:0004645	0.0002219	4.12
53756	GO:0046920	0.0001148	3.59
53756	GO:0043168	1.822e-12	13.41
53756	GO:0016857	3.873e-07	9.36
53756	GO:0008289	1.558e-15	19.57
