sunid	term	fdr	score
47203	HP:0003674	0	1.21
47203	HP:0011007	0	1.27
47986	HP:0003674	0	1.56
47986	HP:0011007	0	1.64
48065	HP:0003674	0	1.71
48065	HP:0011007	0	1.8
48264	HP:0003623	5.55e-05	6.34
48264	HP:0003674	5.55e-05	6.34
48264	HP:0011007	5.55e-05	6.34
48508	HP:0003674	0	1.4
48508	HP:0011007	0	1.47
49313	HP:0003674	0	1.21
49313	HP:0011007	0	1.27
49764	HP:0003677	0	5.11
49764	HP:0003679	0	2.91
50156	HP:0003674	0	1.71
50156	HP:0011007	0	1.8
51011	HP:0003674	0	1.4
51011	HP:0011007	0	1.47
51445	HP:0003674	0	1.85
51445	HP:0011007	0	1.95
52777	HP:0003674	0	1.4
52777	HP:0011007	0	1.47
53067	HP:0003674	0	1.56
53067	HP:0011007	0	1.64
53448	HP:0003674	0	1.71
53448	HP:0011007	0	1.8
54001	HP:0003674	0	1.4
54001	HP:0011007	0	1.47
55550	HP:0003674	0	1.85
55550	HP:0011007	0	1.95
56487	HP:0003674	0	1.21
56487	HP:0011007	0	1.27
56645	HP:0003674	0	1.21
56645	HP:0011007	0	1.27
57630	HP:0003812	0	2.99
57630	HP:0003828	0	5.14
69179	HP:0003674	0	1.21
69179	HP:0011007	0	1.27
69318	HP:0003674	0	1.21
69318	HP:0011007	0	1.27
103657	HP:0003674	0	1.21
