sunid	term	fdr	score
46458	HP:0000951	5.653e-05	8.76
46458	HP:0000952	0.0003779	6.53
46458	HP:0000961	5.653e-05	8.76
46458	HP:0001005	5.653e-05	8.76
46458	HP:0001392	0.0002846	6.53
46458	HP:0001396	0.0003779	6.53
46458	HP:0001438	5.68e-06	10.32
46458	HP:0001574	5.653e-05	8.76
46458	HP:0001743	5.68e-06	10.32
46458	HP:0001871	2.361e-09	21.38
46458	HP:0001877	2.361e-09	21.38
46458	HP:0001878	4.842e-07	16.87
46458	HP:0001903	1.767e-08	17.4
46458	HP:0001930	4.842e-07	16.87
46458	HP:0001935	1.767e-08	17.4
46458	HP:0001939	0	2.69
46458	HP:0001971	5.68e-06	10.32
46458	HP:0002012	5.68e-06	10.32
46458	HP:0002086	5.653e-05	8.76
46458	HP:0002715	5.68e-06	10.32
46458	HP:0002795	5.653e-05	8.76
46458	HP:0004297	0.0002846	5.8
46458	HP:0010472	1.031e-06	11.32
46458	HP:0010972	9.295e-06	8.86
46458	HP:0011354	5.653e-05	8.76
46458	HP:0011895	4.842e-07	16.87
46458	HP:0011902	2.361e-09	21.38
46458	HP:0100763	5.68e-06	10.32
46565	HP:0000707	0	1.82
46579	HP:0000478	0	2.31
46579	HP:0000924	1.335e-06	13.7
46579	HP:0000951	1.335e-06	13.7
46579	HP:0000962	1.335e-06	13.7
46579	HP:0000972	1.335e-06	13.7
46579	HP:0000982	0.0002769	6.39
46579	HP:0001072	1.335e-06	13.7
46579	HP:0001155	1.335e-06	13.7
46579	HP:0001574	1.335e-06	13.7
46579	HP:0002813	1.335e-06	13.7
46579	HP:0002817	1.335e-06	13.7
46579	HP:0007556	2.766e-06	12.42
46579	HP:0008064	9.103e-05	7.59
46579	HP:0010765	1.953e-06	13.01
46579	HP:0011121	1.335e-06	13.7
46579	HP:0011354	1.335e-06	13.7
46579	HP:0011356	1.335e-06	13.7
46579	HP:0011368	1.335e-06	13.7
46579	HP:0011842	1.335e-06	13.7
46579	HP:0011844	1.335e-06	13.7
46579	HP:0100871	1.335e-06	13.7
46579	HP:0100872	1.343e-05	10
46689	HP:0000478	0.0001844	6.18
46689	HP:0000587	0.0003882	6.18
46689	HP:0000609	0.0003882	6.18
46689	HP:0000707	0.0003882	6.18
46689	HP:0001098	0.0003882	6.18
46689	HP:0002011	0.0003882	6.18
46689	HP:0002977	0.0003882	6.18
46689	HP:0004329	0.0003882	6.18
46689	HP:0008056	0.0001844	4.75
46689	HP:0008057	0.0003882	6.18
46689	HP:0008058	0.0003882	6.18
46689	HP:0012372	0.0001844	6.18
