sunid	term	fdr	score
46579	MP:0000377	0.0005035	6.28
46579	MP:0010678	0.0005035	6.28
46579	MP:0010771	0.0005035	6.28
46689	MP:0000026	6.837e-09	9.88
46689	MP:0000034	9.783e-07	8.25
46689	MP:0000035	9.783e-07	9.74
46689	MP:0000049	4.641e-08	6.52
46689	MP:0000074	0.0005684	3.79
46689	MP:0000094	0.0004568	7.21
46689	MP:0000104	0.0003884	3.96
46689	MP:0000108	0.0008509	5.55
46689	MP:0000137	9.351e-06	4.3
46689	MP:0000150	0.0002233	3.61
46689	MP:0000163	5.279e-06	6.75
46689	MP:0000350	0.0005808	5.04
46689	MP:0000428	5.902e-09	10.25
46689	MP:0000431	3.296e-06	9.67
46689	MP:0000432	5.902e-09	10.25
46689	MP:0000438	3.296e-06	9.67
46689	MP:0000452	5.902e-09	10.25
46689	MP:0000454	8.299e-05	7.21
46689	MP:0000455	0.0001298	4.03
46689	MP:0000458	8.299e-05	7.04
46689	MP:0000462	0.0003159	3.37
46689	MP:0000516	0.0007877	5.37
46689	MP:0000527	0.0007877	5.37
46689	MP:0000550	1.961e-05	4.97
46689	MP:0000631	5.357e-06	6.1
46689	MP:0000633	1.418e-05	8.43
46689	MP:0000653	8.596e-05	9.51
46689	MP:0000678	0.0005808	6.25
46689	MP:0000680	0.0005808	6.25
46689	MP:0000685	0.0002233	8.14
46689	MP:0000689	0.0002233	8.14
46689	MP:0000703	0.0006442	5.42
46689	MP:0000705	0.0006442	5.42
46689	MP:0000759	0.0004498	6.02
46689	MP:0000762	0.0004498	5.5
46689	MP:0000778	0.0007804	6.01
46689	MP:0000783	1.418e-05	8.43
46689	MP:0000787	0.0002621	6.35
46689	MP:0000801	0.0002621	6.35
46689	MP:0000807	0.0002621	6.35
46689	MP:0000809	0.0003418	6.35
46689	MP:0000819	0.0008153	5.93
46689	MP:0000822	2.705e-05	5.78
46689	MP:0000830	1.418e-05	8.43
46689	MP:0000897	3.74e-05	6.55
46689	MP:0001145	8.596e-05	9.51
46689	MP:0001146	8.596e-05	9.51
46689	MP:0001270	4.308e-07	7.62
46689	MP:0001297	8.81e-05	5.61
46689	MP:0001431	0.0009143	3.72
46689	MP:0001438	0.0009143	3.72
46689	MP:0001574	1.314e-06	6.8
46689	MP:0001575	1.314e-06	6.8
46689	MP:0001663	1.202e-05	7.43
46689	MP:0001672	0.000123	5.19
46689	MP:0001764	1.314e-06	6.8
46689	MP:0001963	9.928e-06	9.52
46689	MP:0002069	0.0009143	3.72
46689	MP:0002081	7.62e-06	5.16
46689	MP:0002085	0.000123	4.12
46689	MP:0002092	3.377e-05	7.64
46689	MP:0002102	6.837e-09	9.88
