sunid	term	fdr	score
51569	UPA00002	0	97.64
53738	UPA00002	6.66e-06	8.87
55957	UPA00002	5.968e-06	9
51338	UPA00008	9.02e-07	8.87
51556	UPA00008	9.02e-07	8.87
48264	UPA00009	6.12e-10	10
51197	UPA00009	0.0005386	3.98
53756	UPA00009	0	26.51
53383	UPA00010	9.903e-07	9.58
51182	UPA00012	0	33.85
54637	UPA00017	0	68.57
56214	UPA00017	0	110.89
56322	UPA00025	6.518e-06	9
46548	UPA00026	0	0.42
46565	UPA00026	0	0.17
46589	UPA00026	0	1.12
46626	UPA00026	0	0.22
46689	UPA00026	0	0.3
46785	UPA00026	0	0.52
46894	UPA00026	0	0.1
46934	UPA00026	0	0.2
46977	UPA00026	0	0.36
47005	UPA00026	0	0.18
47031	UPA00026	0	0.1
47203	UPA00026	0	0.46
47240	UPA00026	0	63.77
47336	UPA00026	0	0.95
47370	UPA00026	0	0.11
47413	UPA00026	0	0.1
47473	UPA00026	0	0.29
47598	UPA00026	0	0.07
47616	UPA00026	0	0.22
47644	UPA00026	0	0.26
47648	UPA00026	0	1.03
47668	UPA00026	0	0.12
47741	UPA00026	0	0.11
47794	UPA00026	0	0.07
47862	UPA00026	0	0.07
48056	UPA00026	0	0.14
48081	UPA00026	0	0.2
48108	UPA00026	0	0.66
48113	UPA00026	0	0.27
48179	UPA00026	0	1.66
48208	UPA00026	0	0.32
48225	UPA00026	0	0.24
48230	UPA00026	0	0.07
48239	UPA00026	0	0.59
48256	UPA00026	0	0.44
48264	UPA00026	0	0.61
48317	UPA00026	0	0.22
48371	UPA00026	0	0.6
48403	UPA00026	0	0.47
48452	UPA00026	0	0.37
48484	UPA00026	0	0.35
48557	UPA00026	0	1.3
48576	UPA00026	0	0.8
48600	UPA00026	0	0.23
48613	UPA00026	0	0.33
48695	UPA00026	0	0.31
49265	UPA00026	0	0.2
49303	UPA00026	0	0.22
49344	UPA00026	0	0.07
49384	UPA00026	0	0.18
49468	UPA00026	0	0.1
49472	UPA00026	0	0.11
49482	UPA00026	0	0.17
49503	UPA00026	0	0.24
49562	UPA00026	0	32.3
