ID	Name	Namespace	Distance
2.7.3	Phosphotransferases with a nitrogenous group as ac	enzyme_commission	3
2.7.3.9	Phosphoenolpyruvate--protein phosphotransferase	enzyme_commission	4
2.7	Transferring phosphorous-containing groups	enzyme_commission	2
2	Transferases	enzyme_commission	1
6	Ligases	enzyme_commission	1
6.1.1.2	Tryptophan--tRNA ligase	enzyme_commission	4
6.1.1	Ligases forming aminoacyl-tRNA and related compoun	enzyme_commission	3
6.1	Forming carbon-oxygen bonds	enzyme_commission	2
2.7.6.3	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine 	enzyme_commission	4
2.5.1.15	Dihydropteroate synthase	enzyme_commission	4
2.7.6	Diphosphotransferases	enzyme_commission	3
2.5.1	Transferring alkyl or aryl groups, other than meth	enzyme_commission	3
1	Oxidoreductases	enzyme_commission	1
2.1.1.13	Methionine synthase	enzyme_commission	4
2.5	Transferring alkyl or aryl groups, other than meth	enzyme_commission	2
1.17.7.1	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synth	enzyme_commission	4
2.1.1.86	Tetrahydromethanopterin S-methyltransferase	enzyme_commission	4
1.17	Acting on CH or CH(2) groups	enzyme_commission	2
2.1.1	Methyltransferases	enzyme_commission	3
2.1	Transferring one-carbon groups	enzyme_commission	2
1.17.7	With an iron-sulfur protein as acceptor	enzyme_commission	3
6.3.4.14	Biotin carboxylase	enzyme_commission	4
4.1.1.21	Phosphoribosylaminoimidazole carboxylase	enzyme_commission	4
6.4.1.1	Pyruvate carboxylase	enzyme_commission	4
6.3.3	Cyclo-ligases	enzyme_commission	3
6.4.1	Ligases that form carbon-carbon bonds	enzyme_commission	3
6.4.1.4	Methylcrotonoyl-CoA carboxylase	enzyme_commission	4
6.3.3.1	Phosphoribosylformylglycinamidine cyclo-ligase	enzyme_commission	4
6.3	Forming carbon-nitrogen bonds	enzyme_commission	2
4.1	Carbon-carbon lyases	enzyme_commission	2
4.1.1	Carboxy-lyases	enzyme_commission	3
6.4	Forming carbon-carbon bonds	enzyme_commission	2
2.1.2.2	Phosphoribosylglycinamide formyltransferase	enzyme_commission	4
6.3.4	Other carbon--nitrogen ligases	enzyme_commission	3
4	Lyases	enzyme_commission	1
6.3.4.18	5-(carboxyamino)imidazole ribonucleotide synthase	enzyme_commission	4
2.1.2	Hydroxymethyl-, formyl- and related transferases	enzyme_commission	3
6.3.4.13	Phosphoribosylamine--glycine ligase	enzyme_commission	4
5.4.2.2	Phosphoglucomutase	enzyme_commission	4
5.4.2	Phosphotransferases (phosphomutases)	enzyme_commission	3
5.4.2.10	Phosphoglucosamine mutase	enzyme_commission	4
5.4	Intramolecular transferases (mutases)	enzyme_commission	2
5	Isomerases	enzyme_commission	1
