ID	Name	Namespace	Distance
HP:0000006	Autosomal dominant inheritance	Mode_of_inheritance	2
HP:0000951	Abnormality of the skin	Phenotypic_abnormality	3
HP:0000952	Jaundice	Phenotypic_abnormality	6
HP:0000961	Cyanosis	Phenotypic_abnormality	4
HP:0001005	Dermatological manifestations of systemic disorders	Phenotypic_abnormality	5
HP:0001392	Abnormality of the liver	Phenotypic_abnormality	4
HP:0001396	Cholestasis	Phenotypic_abnormality	6
HP:0001438	Abnormality of the abdomen	Phenotypic_abnormality	2
HP:0001574	Abnormality of the integument	Phenotypic_abnormality	2
HP:0001743	Abnormality of the spleen	Phenotypic_abnormality	4
HP:0001871	Abnormality of  blood and blood-forming tissues	Phenotypic_abnormality	2
HP:0001877	Abnormality of erythrocytes	Phenotypic_abnormality	3
HP:0001878	Hemolytic anemia	Phenotypic_abnormality	6
HP:0001903	Anemia	Phenotypic_abnormality	4
HP:0001930	Nonspherocytic hemolytic anemia	Phenotypic_abnormality	7
HP:0001935	Microcytic anemia	Phenotypic_abnormality	6
HP:0001939	Abnormality of metabolism/homeostasis	Phenotypic_abnormality	2
HP:0001971	Hypersplenism	Phenotypic_abnormality	5
HP:0002012	Abnormality of the abdominal organs	Phenotypic_abnormality	3
HP:0002086	Abnormality of the respiratory system	Phenotypic_abnormality	2
HP:0002715	Abnormality of the immune system	Phenotypic_abnormality	2
HP:0002795	Functional respiratory abnormality	Phenotypic_abnormality	3
HP:0004297	Abnormality of the biliary system	Phenotypic_abnormality	5
HP:0010472	Abnormality of the heme biosynthetic pathway	Phenotypic_abnormality	3
HP:0010972	Anemia of inadequate production	Phenotypic_abnormality	5
HP:0011354	Generalized abnormality of skin	Phenotypic_abnormality	4
HP:0011895	Anemia due to reduced life span of red cells	Phenotypic_abnormality	5
HP:0011902	Abnormal hemoglobin	Phenotypic_abnormality	4
HP:0100763	Abnormality of the lymphatic system	Phenotypic_abnormality	3
HP:0000707	Abnormality of the nervous system	Phenotypic_abnormality	2
HP:0000478	Abnormality of the eye	Phenotypic_abnormality	2
HP:0000924	Abnormality of the skeletal system	Phenotypic_abnormality	2
HP:0000962	Hyperkeratosis	Phenotypic_abnormality	8
HP:0000972	Palmoplantar hyperkeratosis	Phenotypic_abnormality	6
HP:0000982	Palmoplantar keratoderma	Phenotypic_abnormality	9
HP:0001072	Thickened skin	Phenotypic_abnormality	6
HP:0001155	Abnormality of the hand	Phenotypic_abnormality	7
HP:0002813	Abnormality of limb bone morphology	Phenotypic_abnormality	5
HP:0002817	Abnormality of the upper limb	Phenotypic_abnormality	6
HP:0007556	Plantar hyperkeratosis	Phenotypic_abnormality	9
HP:0008064	Ichthyosis	Phenotypic_abnormality	8
HP:0010765	Palmar hyperkeratosis	Phenotypic_abnormality	9
HP:0011121	Abnormality of skin morphology	Phenotypic_abnormality	5
HP:0011356	Regional abnormality of skin	Phenotypic_abnormality	4
