name	term_id	term_name	term_namespace	term_distance
MESH:C	MESH:C	Diseases	root	0
MESH:D013568	MESH:D013568	Pathological Conditions, Signs and Symptoms	CTD_diseases	1
MESH:D014777	MESH:D014777	Virus Diseases	CTD_diseases	1
MESH:D014947	MESH:D014947	Wounds and Injuries	CTD_diseases	1
MESH:D017437	MESH:D017437	Skin and Connective Tissue Diseases	CTD_diseases	1
MESH:D052801	MESH:D052801	Male Urogenital Diseases	CTD_diseases	1
MESH:D064419	MESH:D064419	Chemically-Induced Disorders	CTD_diseases	1
MESH:D000820	MESH:D000820	Animal Diseases	CTD_diseases	1
MESH:D001423	MESH:D001423	Bacterial Infections and Mycoses	CTD_diseases	1
MESH:D001523	MESH:D001523	Mental Disorders	CTD_diseases	1
MESH:D002318	MESH:D002318	Cardiovascular Diseases	CTD_diseases	1
MESH:D004066	MESH:D004066	Digestive System Diseases	CTD_diseases	1
MESH:D004700	MESH:D004700	Endocrine System Diseases	CTD_diseases	1
MESH:D005128	MESH:D005128	Eye Diseases	CTD_diseases	1
MESH:D005261	MESH:D005261	Female Urogenital Diseases and Pregnancy Complications	CTD_diseases	1
MESH:D006425	MESH:D006425	Hemic and Lymphatic Diseases	CTD_diseases	1
MESH:D007154	MESH:D007154	Immune System Diseases	CTD_diseases	1
MESH:D007280	MESH:D007280	Disorders of Environmental Origin	CTD_diseases	1
MESH:D009057	MESH:D009057	Stomatognathic Diseases	CTD_diseases	1
MESH:D009140	MESH:D009140	Musculoskeletal Diseases	CTD_diseases	1
MESH:D009358	MESH:D009358	Congenital, Hereditary, and Neonatal Diseases and Abnormalities	CTD_diseases	1
MESH:D009369	MESH:D009369	Neoplasms	CTD_diseases	1
MESH:D009422	MESH:D009422	Nervous System Diseases	CTD_diseases	1
MESH:D009750	MESH:D009750	Nutritional and Metabolic Diseases	CTD_diseases	1
MESH:D009784	MESH:D009784	Occupational Diseases	CTD_diseases	1
MESH:D010038	MESH:D010038	Otorhinolaryngologic Diseases	CTD_diseases	1
MESH:D010272	MESH:D010272	Parasitic Diseases	CTD_diseases	1
MESH:D012140	MESH:D012140	Respiratory Tract Diseases	CTD_diseases	1
MESH:C567425	MESH:C567425	Alopecia, Neurologic Defects, and Endocrinopathy Syndrome	CTD_diseases	2
MESH:C567648	MESH:C567648	Exudative Vitreoretinopathy 5	CTD_diseases	2
MESH:C567716	MESH:C567716	Cutis Laxa With Severe Pulmonary, Gastrointestinal, And Urinary Abnormalities	CTD_diseases	2
MESH:C579754	MESH:C579754	abc disease	CTD_diseases	2
MESH:D000007	MESH:D000007	Abdominal Injuries	CTD_diseases	2
MESH:D000013	MESH:D000013	Congenital Abnormalities	CTD_diseases	2
MESH:D000034	MESH:D000034	Abortion, Veterinary	CTD_diseases	2
MESH:D000187	MESH:D000187	Actinobacillosis	CTD_diseases	2
MESH:D000275	MESH:D000275	Adjustment Disorders	CTD_diseases	2
MESH:D000307	MESH:D000307	Adrenal Gland Diseases	CTD_diseases	2
MESH:D000382	MESH:D000382	Agricultural Workers' Diseases	CTD_diseases	2
MESH:D000453	MESH:D000453	Aleutian Mink Disease	CTD_diseases	2
MESH:D000673	MESH:D000673	Amputation, Traumatic	CTD_diseases	2
MESH:D000694	MESH:D000694	Anal Gland Neoplasms	CTD_diseases	2
MESH:D000712	MESH:D000712	Anaplasmosis	CTD_diseases	2
MESH:D001008	MESH:D001008	Anxiety Disorders	CTD_diseases	2
MESH:D001068	MESH:D001068	Eating Disorders	CTD_diseases	2
MESH:D001102	MESH:D001102	Arbovirus Infections	CTD_diseases	2
MESH:D001134	MESH:D001134	Arm Injuries	CTD_diseases	2
MESH:D001237	MESH:D001237	Asphyxia	CTD_diseases	2
MESH:D001248	MESH:D001248	Asthenopia	CTD_diseases	2
MESH:D001265	MESH:D001265	Athletic Injuries	CTD_diseases	2
MESH:D001327	MESH:D001327	Autoimmune Diseases	CTD_diseases	2
MESH:D001342	MESH:D001342	Autonomic Nervous System Diseases	CTD_diseases	2
MESH:D001424	MESH:D001424	Bacterial Infections	CTD_diseases	2
MESH:D001469	MESH:D001469	Barotrauma	CTD_diseases	2
MESH:D001660	MESH:D001660	Biliary Tract Diseases	CTD_diseases	2
MESH:D001715	MESH:D001715	Bird Diseases	CTD_diseases	2
MESH:D001716	MESH:D001716	Bird Fancier's Lung	CTD_diseases	2
MESH:D001720	MESH:D001720	Birth Injuries	CTD_diseases	2
MESH:D001733	MESH:D001733	Bites and Stings	CTD_diseases	2
MESH:D001787	MESH:D001787	Blood Group Incompatibility	CTD_diseases	2
MESH:D001847	MESH:D001847	Bone Diseases	CTD_diseases	2
MESH:D001849	MESH:D001849	Bone Diseases, Endocrine	CTD_diseases	2
MESH:D001890	MESH:D001890	Borna Disease	CTD_diseases	2
MESH:D001922	MESH:D001922	Brain Abscess	CTD_diseases	2
MESH:D001982	MESH:D001982	Bronchial Diseases	CTD_diseases	2
MESH:D001990	MESH:D001990	Bronchiolitis, Viral	CTD_diseases	2
MESH:D002056	MESH:D002056	Burns	CTD_diseases	2
MESH:D002357	MESH:D002357	Cartilage Diseases	CTD_diseases	2
MESH:D002371	MESH:D002371	Cat Diseases	CTD_diseases	2
MESH:D002418	MESH:D002418	Cattle Diseases	CTD_diseases	2
MESH:D002493	MESH:D002493	Central Nervous System Diseases	CTD_diseases	2
MESH:D002494	MESH:D002494	Central Nervous System Infections	CTD_diseases	2
MESH:D002925	MESH:D002925	Ciliary Motility Disorders	CTD_diseases	2
MESH:D003229	MESH:D003229	Conjunctival Diseases	CTD_diseases	2
MESH:D003240	MESH:D003240	Connective Tissue Diseases	CTD_diseases	2
MESH:D003288	MESH:D003288	Contusions	CTD_diseases	2
MESH:D003316	MESH:D003316	Corneal Diseases	CTD_diseases	2
MESH:D003389	MESH:D003389	Cranial Nerve Diseases	CTD_diseases	2
MESH:D003560	MESH:D003560	Cysts	CTD_diseases	2
MESH:D003711	MESH:D003711	Demyelinating Diseases	CTD_diseases	2
MESH:D003920	MESH:D003920	Diabetes Mellitus	CTD_diseases	2
MESH:D004065	MESH:D004065	Digestive System Abnormalities	CTD_diseases	2
MESH:D004067	MESH:D004067	Digestive System Neoplasms	CTD_diseases	2
MESH:D004195	MESH:D004195	Disease Models, Animal	CTD_diseases	2
MESH:D004204	MESH:D004204	Dislocations	CTD_diseases	2
MESH:D004213	MESH:D004213	Dissociative Disorders	CTD_diseases	2
MESH:D004266	MESH:D004266	DNA Virus Infections	CTD_diseases	2
MESH:D004283	MESH:D004283	Dog Diseases	CTD_diseases	2
MESH:D004332	MESH:D004332	Drowning	CTD_diseases	2
MESH:D004392	MESH:D004392	Dwarfism	CTD_diseases	2
MESH:D004427	MESH:D004427	Ear Diseases	CTD_diseases	2
MESH:D004556	MESH:D004556	Electric Injuries	CTD_diseases	2
MESH:D004701	MESH:D004701	Endocrine Gland Neoplasms	CTD_diseases	2
MESH:D004767	MESH:D004767	Enterotoxemia	CTD_diseases	2
MESH:D004889	MESH:D004889	Erysipelothrix Infections	CTD_diseases	2
MESH:D004939	MESH:D004939	Esophageal Perforation	CTD_diseases	2
MESH:D005119	MESH:D005119	Extravasation of Diagnostic and Therapeutic Materials	CTD_diseases	2
MESH:D005124	MESH:D005124	Eye Abnormalities	CTD_diseases	2
MESH:D005130	MESH:D005130	Eye Hemorrhage	CTD_diseases	2
MESH:D005131	MESH:D005131	Eye Injuries	CTD_diseases	2
MESH:D005132	MESH:D005132	Eye Manifestations	CTD_diseases	2
MESH:D005134	MESH:D005134	Eye Neoplasms	CTD_diseases	2
MESH:D005141	MESH:D005141	Eyelid Diseases	CTD_diseases	2
MESH:D005162	MESH:D005162	Factitious Disorders	CTD_diseases	2
MESH:D005208	MESH:D005208	Fasciitis	CTD_diseases	2
MESH:D005315	MESH:D005315	Fetal Diseases	CTD_diseases	2
MESH:D005393	MESH:D005393	Fish Diseases	CTD_diseases	2
MESH:D005530	MESH:D005530	Foot Deformities	CTD_diseases	2
MESH:D005534	MESH:D005534	Foot Diseases	CTD_diseases	2
MESH:D005535	MESH:D005535	Foot Rot	CTD_diseases	2
MESH:D005536	MESH:D005536	Foot-and-Mouth Disease	CTD_diseases	2
MESH:D005547	MESH:D005547	Foreign Bodies	CTD_diseases	2
MESH:D005627	MESH:D005627	Frostbite	CTD_diseases	2
