from	to
FBbt:00000000	FBbt:00025990
FBbt:00000000	FBbt:00025994
FBbt:00000000	FBbt:00025997
FBbt:00000000	FBbt:00025998
FBbt:00000001	FBbt:00000002
FBbt:00000001	FBbt:00000034
FBbt:00000001	FBbt:00000052
FBbt:00000001	FBbt:00001727
FBbt:00000001	FBbt:00002952
FBbt:00000001	FBbt:00002953
FBbt:00000001	FBbt:00003004
FBbt:00000001	FBbt:00004856
FBbt:00000001	FBbt:00006011
FBbt:00000001	FBbt:00007004
FBbt:00000001	FBbt:00007011
FBbt:00000002	FBbt:00000004
FBbt:00000002	FBbt:00000015
FBbt:00000002	FBbt:00000020
FBbt:00000002	FBbt:00000137
FBbt:00000002	FBbt:00001728
FBbt:00000002	FBbt:00003005
FBbt:00000002	FBbt:00005389
FBbt:00000003	FBbt:00000006
FBbt:00000003	FBbt:00000016
FBbt:00000003	FBbt:00000021
FBbt:00000003	FBbt:00000154
FBbt:00000003	FBbt:00001729
FBbt:00000003	FBbt:00003006
FBbt:00000004	FBbt:00000006
FBbt:00000004	FBbt:00000007
FBbt:00000004	FBbt:00000011
FBbt:00000004	FBbt:00000155
FBbt:00000004	FBbt:00001730
FBbt:00000004	FBbt:00003007
FBbt:00000004	FBbt:00004114
FBbt:00000005	FBbt:00000156
FBbt:00000005	FBbt:00001731
FBbt:00000005	FBbt:00003008
FBbt:00000006	FBbt:00000007
FBbt:00000006	FBbt:00000011
FBbt:00000006	FBbt:00000157
FBbt:00000006	FBbt:00001732
FBbt:00000006	FBbt:00003009
FBbt:00000007	FBbt:00000005
FBbt:00000007	FBbt:00000008
FBbt:00000007	FBbt:00000009
FBbt:00000007	FBbt:00000010
FBbt:00000007	FBbt:00000158
FBbt:00000007	FBbt:00001733
FBbt:00000007	FBbt:00003010
FBbt:00000008	FBbt:00000159
FBbt:00000008	FBbt:00001734
FBbt:00000008	FBbt:00001861
FBbt:00000008	FBbt:00001868
FBbt:00000008	FBbt:00003011
FBbt:00000008	FBbt:00003627
FBbt:00000009	FBbt:00000160
FBbt:00000009	FBbt:00001735
FBbt:00000009	FBbt:00001844
FBbt:00000009	FBbt:00003012
FBbt:00000009	FBbt:00003923
FBbt:00000009	FBbt:00005806
FBbt:00000010	FBbt:00000161
FBbt:00000010	FBbt:00001736
FBbt:00000010	FBbt:00001869
FBbt:00000010	FBbt:00002664
FBbt:00000010	FBbt:00003013
FBbt:00000010	FBbt:00003999
FBbt:00000011	FBbt:00000012
FBbt:00000011	FBbt:00000013
FBbt:00000011	FBbt:00000014
FBbt:00000011	FBbt:00000162
FBbt:00000011	FBbt:00001725
FBbt:00000011	FBbt:00001726
FBbt:00000011	FBbt:00001737
FBbt:00000011	FBbt:00003014
FBbt:00000012	FBbt:00000163
FBbt:00000012	FBbt:00001738
FBbt:00000012	FBbt:00001980
FBbt:00000012	FBbt:00003015
FBbt:00000012	FBbt:00007626
FBbt:00000012	FBbt:00007627
FBbt:00000013	FBbt:00000164
FBbt:00000013	FBbt:00001739
FBbt:00000013	FBbt:00003016
FBbt:00000013	FBbt:00007628
FBbt:00000013	FBbt:00007629
FBbt:00000013	FBbt:00100391
FBbt:00000014	FBbt:00000165
FBbt:00000014	FBbt:00001740
FBbt:00000014	FBbt:00001849
FBbt:00000014	FBbt:00001982
FBbt:00000014	FBbt:00002721
FBbt:00000014	FBbt:00003017
FBbt:00000014	FBbt:00007630
FBbt:00000014	FBbt:00007631
FBbt:00000015	FBbt:00000016
FBbt:00000015	FBbt:00000017
FBbt:00000015	FBbt:00000018
FBbt:00000015	FBbt:00000019
FBbt:00000015	FBbt:00000166
FBbt:00000015	FBbt:00001741
FBbt:00000015	FBbt:00003018
FBbt:00000015	FBbt:00003233
FBbt:00000015	FBbt:00003561
FBbt:00000015	FBbt:00005390
FBbt:00000016	FBbt:00000017
FBbt:00000016	FBbt:00000018
FBbt:00000016	FBbt:00000019
FBbt:00000016	FBbt:00000167
FBbt:00000016	FBbt:00001742
FBbt:00000016	FBbt:00003019
FBbt:00000017	FBbt:00000168
FBbt:00000017	FBbt:00000407
FBbt:00000017	FBbt:00001743
FBbt:00000017	FBbt:00002063
FBbt:00000017	FBbt:00002085
FBbt:00000017	FBbt:00002997
FBbt:00000017	FBbt:00003020
FBbt:00000017	FBbt:00004054
FBbt:00000017	FBbt:00004248
FBbt:00000017	FBbt:00007632
FBbt:00000017	FBbt:00007633
FBbt:00000018	FBbt:00000169
FBbt:00000018	FBbt:00000187
FBbt:00000018	FBbt:00001744
FBbt:00000018	FBbt:00003021
FBbt:00000018	FBbt:00004059
FBbt:00000018	FBbt:00004600
FBbt:00000018	FBbt:00005026
FBbt:00000018	FBbt:00007634
FBbt:00000018	FBbt:00007635
FBbt:00000019	FBbt:00000170
FBbt:00000019	FBbt:00000188
FBbt:00000019	FBbt:00001745
FBbt:00000019	FBbt:00002141
FBbt:00000019	FBbt:00003022
FBbt:00000019	FBbt:00004092
FBbt:00000019	FBbt:00005027
FBbt:00000019	FBbt:00007636
FBbt:00000019	FBbt:00007637
FBbt:00000020	FBbt:00000021
FBbt:00000020	FBbt:00000022
FBbt:00000020	FBbt:00000023
FBbt:00000020	FBbt:00000024
FBbt:00000020	FBbt:00000025
FBbt:00000020	FBbt:00000026
FBbt:00000020	FBbt:00000027
FBbt:00000020	FBbt:00000028
FBbt:00000020	FBbt:00000029
FBbt:00000020	FBbt:00000030
FBbt:00000020	FBbt:00000031
FBbt:00000020	FBbt:00000032
FBbt:00000020	FBbt:00000033
FBbt:00000020	FBbt:00000171
FBbt:00000020	FBbt:00000201
FBbt:00000020	FBbt:00000588
FBbt:00000020	FBbt:00001006
FBbt:00000020	FBbt:00001008
FBbt:00000020	FBbt:00001746
FBbt:00000020	FBbt:00001987
FBbt:00000020	FBbt:00002179
FBbt:00000020	FBbt:00003023
FBbt:00000020	FBbt:00003234
FBbt:00000020	FBbt:00003235
FBbt:00000020	FBbt:00003243
FBbt:00000020	FBbt:00003251
FBbt:00000020	FBbt:00003584
FBbt:00000020	FBbt:00005391
FBbt:00000020	FBbt:00007585
FBbt:00000020	FBbt:00013243
FBbt:00000020	FBbt:00100296
FBbt:00000021	FBbt:00000022
FBbt:00000021	FBbt:00000023
FBbt:00000021	FBbt:00000024
FBbt:00000021	FBbt:00000025
FBbt:00000021	FBbt:00000026
FBbt:00000021	FBbt:00000027
FBbt:00000021	FBbt:00000028
FBbt:00000021	FBbt:00000029
FBbt:00000021	FBbt:00000030
FBbt:00000021	FBbt:00000031
FBbt:00000021	FBbt:00000032
FBbt:00000021	FBbt:00000172
FBbt:00000021	FBbt:00000189
FBbt:00000021	FBbt:00001021
FBbt:00000021	FBbt:00001267
FBbt:00000021	FBbt:00001747
FBbt:00000021	FBbt:00003024
FBbt:00000021	FBbt:00004097
FBbt:00000022	FBbt:00000173
FBbt:00000022	FBbt:00000190
FBbt:00000022	FBbt:00001748
FBbt:00000022	FBbt:00003025
FBbt:00000022	FBbt:00003236
FBbt:00000022	FBbt:00003244
FBbt:00000022	FBbt:00003252
FBbt:00000022	FBbt:00005028
FBbt:00000022	FBbt:00007606
FBbt:00000022	FBbt:00007607
FBbt:00000022	FBbt:00013244
FBbt:00000023	FBbt:00000174
FBbt:00000023	FBbt:00000191
FBbt:00000023	FBbt:00001749
FBbt:00000023	FBbt:00003026
FBbt:00000023	FBbt:00003237
FBbt:00000023	FBbt:00003245
FBbt:00000023	FBbt:00003253
FBbt:00000023	FBbt:00005029
FBbt:00000023	FBbt:00007610
FBbt:00000023	FBbt:00007611
FBbt:00000023	FBbt:00013245
FBbt:00000024	FBbt:00000175
FBbt:00000024	FBbt:00000192
FBbt:00000024	FBbt:00001750
FBbt:00000024	FBbt:00003027
FBbt:00000024	FBbt:00003238
FBbt:00000024	FBbt:00003246
FBbt:00000024	FBbt:00003254
FBbt:00000024	FBbt:00005030
FBbt:00000024	FBbt:00007612
FBbt:00000024	FBbt:00007613
FBbt:00000024	FBbt:00013246
FBbt:00000025	FBbt:00000176
FBbt:00000025	FBbt:00000193
FBbt:00000025	FBbt:00001751
FBbt:00000025	FBbt:00003028
FBbt:00000025	FBbt:00003239
FBbt:00000025	FBbt:00003247
FBbt:00000025	FBbt:00003255
FBbt:00000025	FBbt:00005031
FBbt:00000025	FBbt:00007614
FBbt:00000025	FBbt:00007615
FBbt:00000025	FBbt:00013247
FBbt:00000026	FBbt:00000177
FBbt:00000026	FBbt:00000194
FBbt:00000026	FBbt:00001752
FBbt:00000026	FBbt:00003029
FBbt:00000026	FBbt:00003240
FBbt:00000026	FBbt:00003248
FBbt:00000026	FBbt:00003256
FBbt:00000026	FBbt:00005032
FBbt:00000026	FBbt:00007616
FBbt:00000026	FBbt:00007617
FBbt:00000026	FBbt:00013248
FBbt:00000027	FBbt:00000178
FBbt:00000027	FBbt:00000195
FBbt:00000027	FBbt:00001753
FBbt:00000027	FBbt:00003030
FBbt:00000027	FBbt:00003241
FBbt:00000027	FBbt:00003249
FBbt:00000027	FBbt:00003257
FBbt:00000027	FBbt:00005033
FBbt:00000027	FBbt:00007618
FBbt:00000027	FBbt:00007619
FBbt:00000027	FBbt:00013249
FBbt:00000027	FBbt:00100535
FBbt:00000028	FBbt:00000179
FBbt:00000028	FBbt:00000196
FBbt:00000028	FBbt:00001754
FBbt:00000028	FBbt:00003031
FBbt:00000028	FBbt:00003242
FBbt:00000028	FBbt:00003250
FBbt:00000028	FBbt:00003258
FBbt:00000028	FBbt:00005034
FBbt:00000028	FBbt:00007620
FBbt:00000028	FBbt:00007621
FBbt:00000028	FBbt:00013250
FBbt:00000028	FBbt:00100536
FBbt:00000029	FBbt:00000180
FBbt:00000029	FBbt:00000425
FBbt:00000029	FBbt:00001755
FBbt:00000029	FBbt:00001995
FBbt:00000029	FBbt:00003032
FBbt:00000029	FBbt:00005035
FBbt:00000029	FBbt:00007470
FBbt:00000029	FBbt:00007622
FBbt:00000029	FBbt:00007623
FBbt:00000029	FBbt:00100537
FBbt:00000030	FBbt:00000181
FBbt:00000030	FBbt:00001756
FBbt:00000030	FBbt:00003033
FBbt:00000030	FBbt:00007624
FBbt:00000030	FBbt:00007625
FBbt:00000030	FBbt:00100538
FBbt:00000031	FBbt:00000182
FBbt:00000031	FBbt:00001757
FBbt:00000031	FBbt:00003034
FBbt:00000031	FBbt:00007608
FBbt:00000031	FBbt:00007609
FBbt:00000032	FBbt:00000183
FBbt:00000032	FBbt:00001758
FBbt:00000032	FBbt:00003035
FBbt:00000033	FBbt:00000184
FBbt:00000033	FBbt:00001759
FBbt:00000033	FBbt:00003036
FBbt:00000034	FBbt:00000035
FBbt:00000034	FBbt:00000038
FBbt:00000034	FBbt:00000042
FBbt:00000034	FBbt:00000048
FBbt:00000034	FBbt:00004891
FBbt:00000034	FBbt:00005288
FBbt:00000034	FBbt:00015288
FBbt:00000038	FBbt:00007247
FBbt:00000038	FBbt:00007248
FBbt:00000048	FBbt:00000049
FBbt:00000048	FBbt:00000050
FBbt:00000048	FBbt:00000051
FBbt:00000052	FBbt:00000054
FBbt:00000052	FBbt:00000137
FBbt:00000052	FBbt:00000138
FBbt:00000052	FBbt:00000154
FBbt:00000052	FBbt:00000155
FBbt:00000052	FBbt:00000166
FBbt:00000052	FBbt:00000171
FBbt:00000052	FBbt:00000184
FBbt:00000052	FBbt:00001332
FBbt:00000052	FBbt:00001433
