name	term_id	term_name	term_namespace	term_distance
FBbt:99999999	FBbt:99999999	anatomical entity	root	0
FBbt:00014874	FBbt:00014874	presumptive oocyte	Fly_anatomy	1
FBbt:10005349	FBbt:10005349	cephalic vascular remnant	Fly_anatomy	1
FBbt:00003697	FBbt:00003697	pons cerebralis	Fly_anatomy	1
FBbt:00004000	FBbt:00004000	tritocerebral center	Fly_anatomy	1
FBbt:00004098	FBbt:00004098	gustatory center of genitalia	Fly_anatomy	1
FBbt:00004164	FBbt:00004164	pseudotrachea	Fly_anatomy	1
FBbt:00004509	FBbt:00004509	eye equator	Fly_anatomy	1
FBbt:00004518	FBbt:00004518	basal cylinder	Fly_anatomy	1
FBbt:00004520	FBbt:00004520	mouthpart	Fly_anatomy	1
FBbt:00004530	FBbt:00004530	ventral margin of cibarium	Fly_anatomy	1
FBbt:00004534	FBbt:00004534	prementum	Fly_anatomy	1
FBbt:00004544	FBbt:00004544	mentum	Fly_anatomy	1
FBbt:00004656	FBbt:00004656	pulvillar membrane	Fly_anatomy	1
FBbt:00004657	FBbt:00004657	ungulfus	Fly_anatomy	1
FBbt:00004748	FBbt:00004748	wing septum	Fly_anatomy	1
FBbt:00004841	FBbt:00004841	posterior lobe	Fly_anatomy	1
FBbt:00004845	FBbt:00004845	male gonopod	Fly_anatomy	1
FBbt:00004846	FBbt:00004846	paraphysis	Fly_anatomy	1
FBbt:00004855	FBbt:00004855	ventral paramere	Fly_anatomy	1
FBbt:00004895	FBbt:00004895	basal stalk	Fly_anatomy	1
FBbt:00004901	FBbt:00004901	terminal filament	Fly_anatomy	1
FBbt:00004926	FBbt:00004926	vulva	Fly_anatomy	1
FBbt:00004958	FBbt:00004958	seminal vesicle	Fly_anatomy	1
FBbt:00004968	FBbt:00004968	vas deferens	Fly_anatomy	1
FBbt:00005064	FBbt:00005064	melanotic mass	Fly_anatomy	1
FBbt:00005092	FBbt:00005092	tonofibrilla	Fly_anatomy	1
FBbt:00005141	FBbt:00005141	actin cortex of neuromere	Fly_anatomy	1
FBbt:00005326	FBbt:00005326	stomodeal invagination	Fly_anatomy	1
FBbt:00005798	FBbt:00005798	excretory structure	Fly_anatomy	1
FBbt:00005809	FBbt:00005809	sperm derived structure	Fly_anatomy	1
FBbt:00005835	FBbt:00005835	extraembryonic structure	Fly_anatomy	1
FBbt:00005898	FBbt:00005898	ventral lobula cluster	Fly_anatomy	1
FBbt:00005914	FBbt:00005914	arista central core	Fly_anatomy	1
FBbt:00005983	FBbt:00005983	transverse projection	Fly_anatomy	1
FBbt:00007015	FBbt:00007015	immaterial anatomical entity	Fly_anatomy	1
FBbt:00007016	FBbt:00007016	material anatomical entity	Fly_anatomy	1
FBbt:00007485	FBbt:00007485	nervous system of embryonic/larval thorax	Fly_anatomy	1
FBbt:00000053	FBbt:00000053	embryonic cortex	Fly_anatomy	1
FBbt:00000093	FBbt:00000093	ventral midline	Fly_anatomy	1
FBbt:00000439	FBbt:00000439	stomodeum	Fly_anatomy	1
FBbt:00001714	FBbt:00001714	posterior fat body plate	Fly_anatomy	1
FBbt:00001718	FBbt:00001718	retrocerebral complex	Fly_anatomy	1
FBbt:00001859	FBbt:00001859	outer layer of dorsal pouch	Fly_anatomy	1
FBbt:00001876	FBbt:00001876	peritrophic mill	Fly_anatomy	1
FBbt:00001929	FBbt:00001929	posterior protocerebral neuromere	Fly_anatomy	1
FBbt:00003134	FBbt:00003134	salivary pump	Fly_anatomy	1
FBbt:00003172	FBbt:00003172	terminal opening	Fly_anatomy	1
FBbt:00000095	FBbt:00000095	amnioserosa	Fly_anatomy	2
FBbt:00005556	FBbt:00005556	apoptotic amnioserosa	Fly_anatomy	2
FBbt:00007001	FBbt:00007001	anatomical structure	Fly_anatomy	2
FBbt:00007006	FBbt:00007006	developing material anatomical entity	Fly_anatomy	2
FBbt:00007017	FBbt:00007017	anatomical space	Fly_anatomy	2
FBbt:00007019	FBbt:00007019	portion of organism substance	Fly_anatomy	2
FBbt:00007276	FBbt:00007276	anatomical group	Fly_anatomy	2
FBbt:00007435	FBbt:00007435	endocrine system component	Fly_anatomy	2
FBbt:00004198	FBbt:00004198	pseudocone	Fly_anatomy	3
FBbt:00004208	FBbt:00004208	developing embryonic structure	Fly_anatomy	3
FBbt:00004478	FBbt:00004478	foramen	Fly_anatomy	3
FBbt:00004525	FBbt:00004525	prestomal cavity	Fly_anatomy	3
FBbt:00004533	FBbt:00004533	labellar cap	Fly_anatomy	3
FBbt:00004977	FBbt:00004977	cuticular pore	Fly_anatomy	3
FBbt:00004978	FBbt:00004978	exuvial fluid	Fly_anatomy	3
FBbt:00005023	FBbt:00005023	imaginal precursor	Fly_anatomy	3
FBbt:00005060	FBbt:00005060	hemocoel	Fly_anatomy	3
FBbt:00005061	FBbt:00005061	hemolymph	Fly_anatomy	3
FBbt:00005385	FBbt:00005385	ostium	Fly_anatomy	3
FBbt:00005423	FBbt:00005423	foregut anlage in statu nascendi	Fly_anatomy	3
FBbt:00005426	FBbt:00005426	anlage	Fly_anatomy	3
FBbt:00005495	FBbt:00005495	primordium	Fly_anatomy	3
FBbt:00005558	FBbt:00005558	ventral ectoderm	Fly_anatomy	3
FBbt:00005620	FBbt:00005620	presumptive embryonic salivary gland	Fly_anatomy	3
FBbt:00007002	FBbt:00007002	cell	Fly_anatomy	3
FBbt:00007008	FBbt:00007008	somatic precursor cell	Fly_anatomy	3
FBbt:00007012	FBbt:00007012	cell component	Fly_anatomy	3
FBbt:00007013	FBbt:00007013	acellular anatomical structure	Fly_anatomy	3
FBbt:00007045	FBbt:00007045	trunk ectoderm	Fly_anatomy	3
FBbt:00007060	FBbt:00007060	multi-cell-component structure	Fly_anatomy	3
FBbt:00007110	FBbt:00007110	developmental compartment	Fly_anatomy	3
FBbt:00007277	FBbt:00007277	anatomical cluster	Fly_anatomy	3
FBbt:00007278	FBbt:00007278	non-connected functional system	Fly_anatomy	3
FBbt:00007347	FBbt:00007347	sensillar lymph space	Fly_anatomy	3
FBbt:00007410	FBbt:00007410	tracheal lumen	Fly_anatomy	3
FBbt:00040003	FBbt:00040003	non-connected developing system	Fly_anatomy	3
FBbt:00040004	FBbt:00040004	tract neuropil	Fly_anatomy	3
FBbt:00040005	FBbt:00040005	synaptic neuropil	Fly_anatomy	3
FBbt:00041000	FBbt:00041000	synaptic neuropil block	Fly_anatomy	3
FBbt:00100152	FBbt:00100152	row	Fly_anatomy	3
FBbt:00100313	FBbt:00100313	multicellular structure	Fly_anatomy	3
FBbt:00000116	FBbt:00000116	lateral ventral neurectoderm	Fly_anatomy	3
FBbt:00000121	FBbt:00000121	lateral ectoderm	Fly_anatomy	3
FBbt:00000122	FBbt:00000122	posterior ectoderm	Fly_anatomy	3
FBbt:00000428	FBbt:00000428	spiracular opening	Fly_anatomy	3
FBbt:00001057	FBbt:00001057	neurogenic region	Fly_anatomy	3
FBbt:00001139	FBbt:00001139	peripheral nervous system precursor cluster	Fly_anatomy	3
FBbt:00001863	FBbt:00001863	hypopharyngeal lobe	Fly_anatomy	3
FBbt:00001895	FBbt:00001895	anal slit	Fly_anatomy	3
FBbt:00001909	FBbt:00001909	yellow body	Fly_anatomy	3
FBbt:00001910	FBbt:00001910	meconium	Fly_anatomy	3
FBbt:00003003	FBbt:00003003	air bubble	Fly_anatomy	3
FBbt:00000001	FBbt:00000001	organism	Fly_anatomy	4
FBbt:00000035	FBbt:00000035	yolk	Fly_anatomy	4
FBbt:00000038	FBbt:00000038	chorion	Fly_anatomy	4
FBbt:00000042	FBbt:00000042	vitelline membrane	Fly_anatomy	4
FBbt:00000048	FBbt:00000048	pronucleus	Fly_anatomy	4
FBbt:00000055	FBbt:00000055	cleavage nucleus	Fly_anatomy	4
FBbt:00000056	FBbt:00000056	energid	Fly_anatomy	4
FBbt:00000057	FBbt:00000057	yolk nucleus	Fly_anatomy	4
FBbt:00000090	FBbt:00000090	dorsal ridge	Fly_anatomy	4
FBbt:00000091	FBbt:00000091	pole bud	Fly_anatomy	4
FBbt:00000110	FBbt:00000110	germ layer	Fly_anatomy	4
FBbt:00000112	FBbt:00000112	dorsal ectoderm	Fly_anatomy	4
FBbt:00000117	FBbt:00000117	medial ventral neurectoderm	Fly_anatomy	4
FBbt:00000118	FBbt:00000118	intermediate ventral neurectoderm	Fly_anatomy	4
FBbt:00000119	FBbt:00000119	anterior ectoderm	Fly_anatomy	4
FBbt:00000123	FBbt:00000123	amnioproctodeal invagination	Fly_anatomy	4
FBbt:00000186	FBbt:00000186	embryonic optic lobe primordium	Fly_anatomy	4
FBbt:00000441	FBbt:00000441	hindgut proper primordium	Fly_anatomy	4
FBbt:00000442	FBbt:00000442	Malpighian tubule primordium	Fly_anatomy	4
FBbt:00000443	FBbt:00000443	adult salivary gland primordium	Fly_anatomy	4
FBbt:00000461	FBbt:00000461	embryonic inner optic lobe primordium	Fly_anatomy	4
FBbt:00001059	FBbt:00001059	visual primordium	Fly_anatomy	4
FBbt:00001605	FBbt:00001605	embryonic fiber tract founder cluster	Fly_anatomy	4
FBbt:00001648	FBbt:00001648	embryonic imaginal precursor	Fly_anatomy	4
FBbt:00001649	FBbt:00001649	imaginal disc primordium	Fly_anatomy	4
FBbt:00001673	FBbt:00001673	embryonic/larval dorsal vessel	Fly_anatomy	4
FBbt:00001674	FBbt:00001674	embryonic/larval aorta	Fly_anatomy	4
FBbt:00001675	FBbt:00001675	embryonic/larval heart	Fly_anatomy	4
FBbt:00001692	FBbt:00001692	embryonic/larval garland organ	Fly_anatomy	4
FBbt:00001713	FBbt:00001713	anterior fat body plate	Fly_anatomy	4
FBbt:00001722	FBbt:00001722	ring gland	Fly_anatomy	4
FBbt:00001760	FBbt:00001760	embryonic/larval imaginal precursor	Fly_anatomy	4
FBbt:00001770	FBbt:00001770	ommatidial precursor cluster	Fly_anatomy	4
FBbt:00001843	FBbt:00001843	embryonic/larval mouth	Fly_anatomy	4
FBbt:00001844	FBbt:00001844	embryonic/larval cibarium	Fly_anatomy	4
FBbt:00001858	FBbt:00001858	inner layer of dorsal pouch	Fly_anatomy	4
FBbt:00001860	FBbt:00001860	dorsal fold	Fly_anatomy	4
FBbt:00001886	FBbt:00001886	embryonic/larval midgut cell	Fly_anatomy	4
FBbt:00001908	FBbt:00001908	adult excretory structure	Fly_anatomy	4
FBbt:00001927	FBbt:00001927	anterior protocerebral neuromere	Fly_anatomy	4
FBbt:00001932	FBbt:00001932	embryonic/larval optic stalk sheath cell	Fly_anatomy	4
FBbt:00001940	FBbt:00001940	lamina neuropil	Fly_anatomy	4
FBbt:00003126	FBbt:00003126	adult mouth	Fly_anatomy	4
FBbt:00003132	FBbt:00003132	esophageal valve	Fly_anatomy	4
FBbt:00003142	FBbt:00003142	peritrophic membrane	Fly_anatomy	4
FBbt:00003145	FBbt:00003145	adult rectal valve	Fly_anatomy	4
FBbt:00003146	FBbt:00003146	adult rectal papilla	Fly_anatomy	4
FBbt:00003153	FBbt:00003153	adult aorta	Fly_anatomy	4
