from	to
FBcv:0000008	FBcv:0000379
FBcv:0000008	FBcv:0000381
FBcv:0000347	FBcv:0000348
FBcv:0000347	FBcv:0000349
FBcv:0000347	FBcv:0000374
FBcv:0000347	FBcv:0001347
FBcv:0000349	FBcv:0000350
FBcv:0000351	FBcv:0002000
FBcv:0000351	FBcv:0002042
FBcv:0000354	FBcv:0000355
FBcv:0000354	FBcv:0000356
FBcv:0000354	FBcv:0000665
FBcv:0000357	FBcv:0000444
FBcv:0000357	FBcv:0000665
FBcv:0000357	FBcv:0000719
FBcv:0000357	FBcv:0000723
FBcv:0000357	FBcv:0000724
FBcv:0000359	FBcv:0000724
FBcv:0000362	FBcv:0000444
FBcv:0000362	FBcv:0000723
FBcv:0000364	FBcv:0000366
FBcv:0000364	FBcv:0000370
FBcv:0000365	FBcv:0000367
FBcv:0000365	FBcv:0000371
FBcv:0000366	FBcv:0000368
FBcv:0000366	FBcv:0000369
FBcv:0000370	FBcv:0000372
FBcv:0000370	FBcv:0000373
FBcv:0000374	FBcv:0000375
FBcv:0000374	FBcv:0000376
FBcv:0000374	FBcv:0000377
FBcv:0000375	FBcv:0000006
FBcv:0000375	FBcv:0000007
FBcv:0000376	FBcv:0000006
FBcv:0000377	FBcv:0000007
FBcv:0000384	FBcv:0000791
FBcv:0000384	FBcv:0000792
FBcv:0000387	FBcv:0000397
FBcv:0000387	FBcv:0000398
FBcv:0000387	FBcv:0000403
FBcv:0000387	FBcv:0000411
FBcv:0000387	FBcv:0000414
FBcv:0000387	FBcv:0000419
FBcv:0000387	FBcv:0000420
FBcv:0000387	FBcv:0000421
FBcv:0000387	FBcv:0000422
FBcv:0000387	FBcv:0000669
FBcv:0000387	FBcv:0000679
FBcv:0000387	FBcv:0000721
FBcv:0000389	FBcv:0000391
FBcv:0000394	FBcv:0000679
FBcv:0000399	FBcv:0000402
FBcv:0000400	FBcv:0000721
FBcv:0000403	FBcv:0000680
FBcv:0000408	FBcv:0000393
FBcv:0000408	FBcv:0000409
FBcv:0000408	FBcv:0000410
FBcv:0000408	FBcv:0000423
FBcv:0000408	FBcv:0000451
FBcv:0000408	FBcv:0000684
FBcv:0000408	FBcv:0000708
FBcv:0000408	FBcv:0000725
FBcv:0000411	FBcv:0000412
FBcv:0000414	FBcv:0000395
FBcv:0000414	FBcv:0000416
FBcv:0000414	FBcv:0000720
FBcv:0000415	FBcv:0000713
FBcv:0000415	FBcv:0000720
FBcv:0000417	FBcv:0000418
FBcv:0000424	FBcv:0000425
FBcv:0000424	FBcv:0000426
FBcv:0000427	FBcv:0000717
FBcv:0000427	FBcv:0000718
FBcv:0000428	FBcv:0000360
FBcv:0000428	FBcv:0000363
FBcv:0000432	FBcv:0000672
FBcv:0000450	FBcv:0000443
FBcv:0000665	FBcv:0000358
FBcv:0000665	FBcv:0000361
FBcv:0000670	FBcv:0000396
FBcv:0000671	FBcv:0000431
FBcv:0000671	FBcv:0000432
FBcv:0000671	FBcv:0000433
FBcv:0000679	FBcv:0000395
FBcv:0000679	FBcv:0000396
