name	term_id	term_name	term_namespace	term_distance
GO:0005575	GO:0005575	cellular_component	cellular_component	0
GO:0005576	GO:0005576	extracellular region	cellular_component	1
GO:0005623	GO:0005623	cell	cellular_component	1
GO:0009295	GO:0009295	nucleoid	cellular_component	1
GO:0016020	GO:0016020	membrane	cellular_component	1
GO:0019012	GO:0019012	virion	cellular_component	1
GO:0030054	GO:0030054	cell junction	cellular_component	1
GO:0031012	GO:0031012	extracellular matrix	cellular_component	1
GO:0031974	GO:0031974	membrane-enclosed lumen	cellular_component	1
GO:0032991	GO:0032991	macromolecular complex	cellular_component	1
GO:0043226	GO:0043226	organelle	cellular_component	1
GO:0044420	GO:0044420	extracellular matrix part	cellular_component	1
GO:0044421	GO:0044421	extracellular region part	cellular_component	1
GO:0044422	GO:0044422	organelle part	cellular_component	1
GO:0044423	GO:0044423	virion part	cellular_component	1
GO:0044425	GO:0044425	membrane part	cellular_component	1
GO:0044456	GO:0044456	synapse part	cellular_component	1
GO:0044464	GO:0044464	cell part	cellular_component	1
GO:0045202	GO:0045202	synapse	cellular_component	1
GO:0055044	GO:0055044	symplast	cellular_component	1
GO:0097423	GO:0097423	mitochondrion-associated adherens complex	cellular_component	1
GO:0001114	GO:0001114	protein-DNA-RNA complex	cellular_component	2
GO:0005578	GO:0005578	proteinaceous extracellular matrix	cellular_component	2
GO:0005628	GO:0005628	prospore membrane	cellular_component	2
GO:0005886	GO:0005886	plasma membrane	cellular_component	2
GO:0005911	GO:0005911	cell-cell junction	cellular_component	2
GO:0009506	GO:0009506	plasmodesma	cellular_component	2
GO:0019867	GO:0019867	outer membrane	cellular_component	2
GO:0030055	GO:0030055	cell-substrate junction	cellular_component	2
GO:0030529	GO:0030529	ribonucleoprotein complex	cellular_component	2
GO:0031090	GO:0031090	organelle membrane	cellular_component	2
GO:0031594	GO:0031594	neuromuscular junction	cellular_component	2
GO:0031970	GO:0031970	organelle envelope lumen	cellular_component	2
GO:0031982	GO:0031982	vesicle	cellular_component	2
GO:0032279	GO:0032279	asymmetric synapse	cellular_component	2
GO:0032280	GO:0032280	symmetric synapse	cellular_component	2
GO:0032992	GO:0032992	protein-carbohydrate complex	cellular_component	2
GO:0032993	GO:0032993	protein-DNA complex	cellular_component	2
GO:0032994	GO:0032994	protein-lipid complex	cellular_component	2
GO:0034045	GO:0034045	pre-autophagosomal structure membrane	cellular_component	2
GO:0034357	GO:0034357	photosynthetic membrane	cellular_component	2
GO:0035003	GO:0035003	subapical complex	cellular_component	2
GO:0036362	GO:0036362	ascus membrane	cellular_component	2
GO:0039642	GO:0039642	virion nucleoid	cellular_component	2
GO:0042175	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	cellular_component	2
GO:0042645	GO:0042645	mitochondrial nucleoid	cellular_component	2
GO:0042646	GO:0042646	plastid nucleoid	cellular_component	2
GO:0043227	GO:0043227	membrane-bounded organelle	cellular_component	2
GO:0043228	GO:0043228	non-membrane-bounded organelle	cellular_component	2
GO:0043229	GO:0043229	intracellular organelle	cellular_component	2
GO:0043230	GO:0043230	extracellular organelle	cellular_component	2
GO:0043233	GO:0043233	organelle lumen	cellular_component	2
GO:0043234	GO:0043234	protein complex	cellular_component	2
GO:0043590	GO:0043590	bacterial nucleoid	cellular_component	2
GO:0044777	GO:0044777	single-stranded DNA-binding protein complex	cellular_component	2
GO:0046536	GO:0046536	dosage compensation complex	cellular_component	2
GO:0048046	GO:0048046	apoplast	cellular_component	2
GO:0048196	GO:0048196	plant extracellular matrix	cellular_component	2
GO:0048475	GO:0048475	coated membrane	cellular_component	2
GO:0055036	GO:0055036	virion membrane	cellular_component	2
GO:0060076	GO:0060076	excitatory synapse	cellular_component	2
GO:0060077	GO:0060077	inhibitory synapse	cellular_component	2
GO:0060342	GO:0060342	photoreceptor inner segment membrane	cellular_component	2
GO:0061466	GO:0061466	plasma membrane part of cell junction	cellular_component	2
GO:0070161	GO:0070161	anchoring junction	cellular_component	2
GO:0070864	GO:0070864	sperm individualization complex	cellular_component	2
GO:0097060	GO:0097060	synaptic membrane	cellular_component	2
GO:0097311	GO:0097311	biofilm matrix	cellular_component	2
GO:0097470	GO:0097470	ribbon synapse	cellular_component	2
GO:0097471	GO:0097471	mossy fiber rosette	cellular_component	2
GO:1990065	GO:1990065	Dxr protein complex	cellular_component	2
GO:0000015	GO:0000015	phosphopyruvate hydratase complex	cellular_component	3
GO:0000109	GO:0000109	nucleotide-excision repair complex	cellular_component	3
GO:0000118	GO:0000118	histone deacetylase complex	cellular_component	3
GO:0000123	GO:0000123	histone acetyltransferase complex	cellular_component	3
GO:0000133	GO:0000133	polarisome	cellular_component	3
GO:0000145	GO:0000145	exocyst	cellular_component	3
GO:0000148	GO:0000148	1,3-beta-D-glucan synthase complex	cellular_component	3
GO:0000151	GO:0000151	ubiquitin ligase complex	cellular_component	3
GO:0000178	GO:0000178	exosome (RNase complex)	cellular_component	3
GO:0000214	GO:0000214	tRNA-intron endonuclease complex	cellular_component	3
GO:0000307	GO:0000307	cyclin-dependent protein kinase holoenzyme complex	cellular_component	3
GO:0000313	GO:0000313	organellar ribosome	cellular_component	3
GO:0000346	GO:0000346	transcription export complex	cellular_component	3
GO:0000347	GO:0000347	THO complex	cellular_component	3
GO:0000408	GO:0000408	EKC/KEOPS complex	cellular_component	3
GO:0000417	GO:0000417	HIR complex	cellular_component	3
GO:0000441	GO:0000441	SSL2-core TFIIH complex	cellular_component	3
GO:0000444	GO:0000444	MIS12/MIND type complex	cellular_component	3
GO:0000502	GO:0000502	proteasome complex	cellular_component	3
GO:0000506	GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	cellular_component	3
GO:0000776	GO:0000776	kinetochore	cellular_component	3
GO:0000782	GO:0000782	telomere cap complex	cellular_component	3
GO:0000786	GO:0000786	nucleosome	cellular_component	3
GO:0000796	GO:0000796	condensin complex	cellular_component	3
GO:0000797	GO:0000797	condensin core heterodimer	cellular_component	3
GO:0000808	GO:0000808	origin recognition complex	cellular_component	3
GO:0000813	GO:0000813	ESCRT I complex	cellular_component	3
GO:0000814	GO:0000814	ESCRT II complex	cellular_component	3
GO:0000815	GO:0000815	ESCRT III complex	cellular_component	3
GO:0000817	GO:0000817	COMA complex	cellular_component	3
GO:0000835	GO:0000835	ER ubiquitin ligase complex	cellular_component	3
GO:0000922	GO:0000922	spindle pole	cellular_component	3
GO:0000930	GO:0000930	gamma-tubulin complex	cellular_component	3
GO:0000938	GO:0000938	GARP complex	cellular_component	3
GO:0000939	GO:0000939	condensed chromosome inner kinetochore	cellular_component	3
GO:0000940	GO:0000940	condensed chromosome outer kinetochore	cellular_component	3
GO:0000974	GO:0000974	Prp19 complex	cellular_component	3
GO:0001401	GO:0001401	mitochondrial sorting and assembly machinery complex	cellular_component	3
GO:0001405	GO:0001405	presequence translocase-associated import motor	cellular_component	3
GO:0001534	GO:0001534	radial spoke	cellular_component	3
GO:0001535	GO:0001535	radial spokehead	cellular_component	3
GO:0001536	GO:0001536	radial spoke stalk	cellular_component	3
GO:0002079	GO:0002079	inner acrosomal membrane	cellular_component	3
GO:0002081	GO:0002081	outer acrosomal membrane	cellular_component	3
GO:0002095	GO:0002095	caveolar macromolecular signaling complex	cellular_component	3
GO:0002096	GO:0002096	polkadots	cellular_component	3
GO:0002102	GO:0002102	podosome	cellular_component	3
GO:0002111	GO:0002111	BRCA2-BRAF35 complex	cellular_component	3
GO:0002133	GO:0002133	polycystin complex	cellular_component	3
GO:0002139	GO:0002139	stereocilia coupling link	cellular_component	3
GO:0002142	GO:0002142	stereocilia ankle link complex	cellular_component	3
GO:0002144	GO:0002144	cytosolic tRNA wobble base thiouridylase complex	cellular_component	3
GO:0002167	GO:0002167	VRK3/VHR/ERK complex	cellular_component	3
GO:0002169	GO:0002169	3-methylcrotonyl-CoA carboxylase complex, mitochondrial	cellular_component	3
GO:0002178	GO:0002178	palmitoyltransferase complex	cellular_component	3
GO:0002180	GO:0002180	5-lipoxygenase complex	cellular_component	3
GO:0002185	GO:0002185	creatine kinase complex	cellular_component	3
GO:0002189	GO:0002189	ribose phosphate diphosphokinase complex	cellular_component	3
GO:0002193	GO:0002193	MAML1-RBP-Jkappa- ICN1 complex	cellular_component	3
GO:0002197	GO:0002197	xanthine dehydrogenase complex	cellular_component	3
GO:0002199	GO:0002199	zona pellucida receptor complex	cellular_component	3
GO:0002929	GO:0002929	MECO complex	cellular_component	3
GO:0005577	GO:0005577	fibrinogen complex	cellular_component	3
GO:0005581	GO:0005581	collagen	cellular_component	3
GO:0005601	GO:0005601	classical-complement-pathway C3/C5 convertase complex	cellular_component	3
GO:0005602	GO:0005602	complement component C1 complex	cellular_component	3
GO:0005604	GO:0005604	basement membrane	cellular_component	3
GO:0005605	GO:0005605	basal lamina	cellular_component	3
GO:0005615	GO:0005615	extracellular space	cellular_component	3
GO:0005616	GO:0005616	larval serum protein complex	cellular_component	3
GO:0005622	GO:0005622	intracellular	cellular_component	3
GO:0005640	GO:0005640	nuclear outer membrane	cellular_component	3
GO:0005642	GO:0005642	annulate lamellae	cellular_component	3
GO:0005658	GO:0005658	alpha DNA polymerase:primase complex	cellular_component	3
GO:0005662	GO:0005662	DNA replication factor A complex	cellular_component	3
GO:0005663	GO:0005663	DNA replication factor C complex	cellular_component	3
GO:0005667	GO:0005667	transcription factor complex	cellular_component	3
GO:0005677	GO:0005677	chromatin silencing complex	cellular_component	3
GO:0005731	GO:0005731	nucleolus organizer region	cellular_component	3
GO:0005742	GO:0005742	mitochondrial outer membrane translocase complex	cellular_component	3
GO:0005744	GO:0005744	mitochondrial inner membrane presequence translocase complex	cellular_component	3
GO:0005745	GO:0005745	m-AAA complex	cellular_component	3
GO:0005785	GO:0005785	signal recognition particle receptor complex	cellular_component	3
GO:0005787	GO:0005787	signal peptidase complex	cellular_component	3
GO:0005789	GO:0005789	endoplasmic reticulum membrane	cellular_component	3
GO:0005816	GO:0005816	spindle pole body	cellular_component	3
GO:0005818	GO:0005818	aster	cellular_component	3
GO:0005819	GO:0005819	spindle	cellular_component	3
GO:0005831	GO:0005831	steroid hormone aporeceptor complex	cellular_component	3
GO:0005832	GO:0005832	chaperonin-containing T-complex	cellular_component	3
GO:0005833	GO:0005833	hemoglobin complex	cellular_component	3
GO:0005834	GO:0005834	heterotrimeric G-protein complex	cellular_component	3
GO:0005835	GO:0005835	fatty acid synthase complex	cellular_component	3
GO:0005836	GO:0005836	fatty-acyl-CoA synthase complex	cellular_component	3
