from	to
HP:0000005	HP:0000006
HP:0000005	HP:0000007
HP:0000005	HP:0001425
HP:0000005	HP:0001426
HP:0000005	HP:0001427
HP:0000005	HP:0001428
HP:0000005	HP:0001466
HP:0000005	HP:0001472
HP:0000005	HP:0003743
HP:0000005	HP:0003745
HP:0000005	HP:0010985
HP:0000006	HP:0001444
HP:0000006	HP:0001452
HP:0000006	HP:0001470
HP:0000006	HP:0012274
HP:0000006	HP:0012275
HP:0001417	HP:0001419
HP:0001417	HP:0001423
HP:0001426	HP:0010982
HP:0001426	HP:0010983
HP:0001426	HP:0010984
HP:0001428	HP:0001442
HP:0001466	HP:0001452
HP:0001470	HP:0001475
HP:0003743	HP:0003744
HP:0010985	HP:0001417
HP:0010985	HP:0001450
