from	to
HP:0000004	HP:0003674
HP:0000004	HP:0003679
HP:0000004	HP:0003812
HP:0000004	HP:0011420
HP:0003577	HP:0011460
HP:0003577	HP:0011461
HP:0003581	HP:0003584
HP:0003581	HP:0003596
HP:0003581	HP:0011462
HP:0003674	HP:0011007
HP:0003674	HP:0011008
HP:0003679	HP:0003676
HP:0003679	HP:0003677
HP:0003679	HP:0003678
HP:0003679	HP:0003680
HP:0003679	HP:0003682
HP:0003812	HP:0003828
HP:0003812	HP:0003829
HP:0003829	HP:0003831
HP:0011007	HP:0003577
HP:0011007	HP:0003581
HP:0011007	HP:0003593
HP:0011007	HP:0003621
HP:0011007	HP:0003623
HP:0011007	HP:0011463
HP:0011008	HP:0003587
HP:0011008	HP:0011009
HP:0011008	HP:0011010
HP:0011008	HP:0011011
HP:0011420	HP:0001522
HP:0011420	HP:0001699
HP:0011420	HP:0003811
HP:0011420	HP:0003819
HP:0011420	HP:0003826
HP:0011420	HP:0011421
HP:0011420	HP:0100613
