name	term_id	term_name	term_namespace	term_distance
HP:0000118	HP:0000118	Phenotypic abnormality	Phenotypic_abnormality	0
HP:0000119	HP:0000119	Abnormality of the genitourinary system	Phenotypic_abnormality	1
HP:0000152	HP:0000152	Abnormality of head and neck	Phenotypic_abnormality	1
HP:0000478	HP:0000478	Abnormality of the eye	Phenotypic_abnormality	1
HP:0000598	HP:0000598	Abnormality of the ear	Phenotypic_abnormality	1
HP:0000707	HP:0000707	Abnormality of the nervous system	Phenotypic_abnormality	1
HP:0000769	HP:0000769	Abnormality of the breast	Phenotypic_abnormality	1
HP:0000818	HP:0000818	Abnormality of the endocrine system	Phenotypic_abnormality	1
HP:0000924	HP:0000924	Abnormality of the skeletal system	Phenotypic_abnormality	1
HP:0001197	HP:0001197	Abnormality of prenatal development or birth	Phenotypic_abnormality	1
HP:0001438	HP:0001438	Abnormality of the abdomen	Phenotypic_abnormality	1
HP:0001507	HP:0001507	Growth abnormality	Phenotypic_abnormality	1
HP:0001574	HP:0001574	Abnormality of the integument	Phenotypic_abnormality	1
HP:0001608	HP:0001608	Abnormality of the voice	Phenotypic_abnormality	1
HP:0001626	HP:0001626	Abnormality of the cardiovascular system	Phenotypic_abnormality	1
HP:0001871	HP:0001871	Abnormality of  blood and blood-forming tissues	Phenotypic_abnormality	1
HP:0001939	HP:0001939	Abnormality of metabolism/homeostasis	Phenotypic_abnormality	1
HP:0002086	HP:0002086	Abnormality of the respiratory system	Phenotypic_abnormality	1
HP:0002664	HP:0002664	Neoplasm	Phenotypic_abnormality	1
HP:0002715	HP:0002715	Abnormality of the immune system	Phenotypic_abnormality	1
HP:0003011	HP:0003011	Abnormality of the musculature	Phenotypic_abnormality	1
HP:0003549	HP:0003549	Abnormality of connective tissue	Phenotypic_abnormality	1
HP:0000002	HP:0000002	Abnormality of body height	Phenotypic_abnormality	2
HP:0000078	HP:0000078	Abnormality of the genital system	Phenotypic_abnormality	2
HP:0000079	HP:0000079	Abnormality of the urinary system	Phenotypic_abnormality	2
HP:0000234	HP:0000234	Abnormality of the head	Phenotypic_abnormality	2
HP:0000301	HP:0000301	Abnormality of facial musculature	Phenotypic_abnormality	2
HP:0000356	HP:0000356	Abnormality of the outer ear	Phenotypic_abnormality	2
HP:0000359	HP:0000359	Abnormality of the inner ear	Phenotypic_abnormality	2
HP:0000364	HP:0000364	Hearing abnormality	Phenotypic_abnormality	2
HP:0000370	HP:0000370	Abnormality of the middle ear	Phenotypic_abnormality	2
HP:0000464	HP:0000464	Abnormality of the neck	Phenotypic_abnormality	2
HP:0000771	HP:0000771	Gynecomastia	Phenotypic_abnormality	2
HP:0000775	HP:0000775	Abnormality of the diaphragm	Phenotypic_abnormality	2
HP:0000816	HP:0000816	Abnormality of Krebs cycle metabolism	Phenotypic_abnormality	2
HP:0000819	HP:0000819	Diabetes mellitus	Phenotypic_abnormality	2
HP:0000820	HP:0000820	Abnormality of the thyroid gland	Phenotypic_abnormality	2
HP:0000828	HP:0000828	Abnormality of the parathyroid gland	Phenotypic_abnormality	2
HP:0000834	HP:0000834	Abnormality of the adrenal glands	Phenotypic_abnormality	2
HP:0000847	HP:0000847	Abnormality of renin-angiotensin system	Phenotypic_abnormality	2
HP:0000864	HP:0000864	Abnormality of the hypothalamus-pituitary axis	Phenotypic_abnormality	2
HP:0000873	HP:0000873	Diabetes insipidus	Phenotypic_abnormality	2
HP:0000951	HP:0000951	Abnormality of the skin	Phenotypic_abnormality	2
HP:0001194	HP:0001194	Abnormalities of placenta and umbilical cord	Phenotypic_abnormality	2
HP:0001371	HP:0001371	Flexion contracture	Phenotypic_abnormality	2
HP:0001469	HP:0001469	Abnormality of the musculature of the pelvis	Phenotypic_abnormality	2
HP:0001510	HP:0001510	Growth delay	Phenotypic_abnormality	2
HP:0001548	HP:0001548	Overgrowth	Phenotypic_abnormality	2
HP:0001557	HP:0001557	Prenatal movement abnormality	Phenotypic_abnormality	2
