from	to
root	KW:9991
root	KW:9992
root	KW:9993
root	KW:9994
root	KW:9995
root	KW:9996
root	KW:9997
root	KW:9998
root	KW:9999
KW:0015	KW:0363
KW:0028	KW:0055
KW:0028	KW:0057
KW:0028	KW:0061
KW:0028	KW:0100
KW:0028	KW:0198
KW:0028	KW:0314
KW:0028	KW:0368
KW:0028	KW:0457
KW:0028	KW:0486
KW:0028	KW:0641
KW:0028	KW:0718
KW:0028	KW:0791
KW:0038	KW:0953
KW:0044	KW:0078
KW:0045	KW:0759
KW:0045	KW:0871
KW:0046	KW:0196
KW:0046	KW:0817
KW:0057	KW:0584
KW:0057	KW:0822
KW:0057	KW:0827
KW:0068	KW:0651
KW:0078	KW:0425
KW:0094	KW:0280
KW:0100	KW:0412
KW:0100	KW:0432
KW:0106	KW:0111
KW:0108	KW:1218
KW:0108	KW:1219
KW:0119	KW:0054
KW:0119	KW:0294
KW:0119	KW:0299
KW:0119	KW:0313
KW:0119	KW:0321
KW:0119	KW:0624
KW:0119	KW:0859
KW:0131	KW:0132
KW:0131	KW:0338
KW:0132	KW:0498
KW:0132	KW:0717
KW:0134	KW:0701
KW:0148	KW:0076
KW:0149	KW:0077
KW:0157	KW:0089
KW:0157	KW:0148
KW:0158	KW:0779
KW:0167	KW:1152
KW:0167	KW:1153
KW:0167	KW:1154
KW:0167	KW:1232
KW:0170	KW:0846
KW:0204	KW:0354
KW:0209	KW:0836
KW:0209	KW:0897
KW:0209	KW:1010
KW:0217	KW:0302
KW:0217	KW:0562
KW:0217	KW:0709
KW:0221	KW:0334
KW:0221	KW:0726
KW:0221	KW:0744
KW:0221	KW:0896
KW:0227	KW:0234
KW:0234	KW:0742
KW:0238	KW:0544
KW:0249	KW:0679
KW:0256	KW:0492
KW:0272	KW:0084
KW:0275	KW:0925
KW:0276	KW:0644
KW:0285	KW:0274
KW:0285	KW:0288
KW:0325	KW:0654
KW:0325	KW:0971
KW:0356	KW:0094
KW:0360	KW:0250
KW:0360	KW:0668
KW:0360	KW:1055
KW:0372	KW:0795
KW:0378	KW:0063
KW:0378	KW:0326
KW:0378	KW:0347
KW:0378	KW:0540
KW:0378	KW:0645
KW:0378	KW:0719
KW:0378	KW:0904
KW:0391	KW:0399
KW:0391	KW:1064
KW:0393	KW:0392
KW:0393	KW:0394
KW:0399	KW:0179
KW:0399	KW:0180
KW:0399	KW:1018
KW:0406	KW:0039
KW:0406	KW:0109
KW:0406	KW:0171
KW:0406	KW:0187
KW:0406	KW:0375
KW:0406	KW:0633
KW:0406	KW:0739
KW:0407	KW:0107
KW:0407	KW:0851
KW:0407	KW:1071
KW:0407	KW:1182
KW:0408	KW:0410
KW:0413	KW:0697
KW:0413	KW:0799
KW:0418	KW:0723
KW:0418	KW:0829
KW:0430	KW:0465
KW:0436	KW:0030
KW:0443	KW:0276
KW:0443	KW:0442
KW:0443	KW:0444
KW:0443	KW:0746
KW:0443	KW:0753
KW:0443	KW:1208
KW:0444	KW:0275
KW:0444	KW:0441
KW:0444	KW:0752
KW:0446	KW:0754
KW:0449	KW:0519
KW:0449	KW:0564
KW:0449	KW:0636
KW:0456	KW:0210
KW:0472	KW:0168
KW:0472	KW:0336
KW:0472	KW:0998
KW:0472	KW:1003
KW:0472	KW:1043
KW:0472	KW:1053
KW:0479	KW:0001
KW:0479	KW:0003
KW:0479	KW:0004
KW:0479	KW:0349
KW:0479	KW:0411
KW:0479	KW:0480
KW:0496	KW:0419
KW:0496	KW:0999
KW:0496	KW:1000
KW:0496	KW:1135
KW:0505	KW:0518
KW:0507	KW:0506
KW:0507	KW:0508
KW:0523	KW:0036
KW:0523	KW:0525
KW:0523	KW:0890
KW:0523	KW:0950
KW:0528	KW:0629
KW:0528	KW:0638
KW:0533	KW:0921
KW:0540	KW:0255
KW:0540	KW:0269
KW:0547	KW:0067
KW:0547	KW:0116
KW:0547	KW:0142
KW:0547	KW:0342
KW:0548	KW:0239
KW:0548	KW:0695
KW:0548	KW:0696
KW:0560	KW:0223
KW:0560	KW:0503
KW:0560	KW:0575
KW:0600	KW:0681
KW:0611	KW:0381
KW:0622	KW:0144
KW:0622	KW:0213
KW:0624	KW:0136
KW:0624	KW:0146
KW:0624	KW:0858
KW:0629	KW:0008
KW:0632	KW:1220
KW:0632	KW:1221
KW:0633	KW:0631
