name	term_id	term_name	term_namespace	term_distance
MP:0000001	MP:0000001	mammalian phenotype	root	0
MP:0001186	MP:0001186	pigmentation phenotype	Mammalian_phenotype	1
MP:0002006	MP:0002006	tumorigenesis	Mammalian_phenotype	1
MP:0002873	MP:0002873	normal phenotype	Mammalian_phenotype	1
MP:0003012	MP:0003012	no phenotypic analysis	Mammalian_phenotype	1
MP:0003631	MP:0003631	nervous system phenotype	Mammalian_phenotype	1
MP:0005367	MP:0005367	renal/urinary system phenotype	Mammalian_phenotype	1
MP:0005369	MP:0005369	muscle phenotype	Mammalian_phenotype	1
MP:0005370	MP:0005370	liver/biliary system phenotype	Mammalian_phenotype	1
MP:0005371	MP:0005371	limbs/digits/tail phenotype	Mammalian_phenotype	1
MP:0005375	MP:0005375	adipose tissue phenotype	Mammalian_phenotype	1
MP:0005376	MP:0005376	homeostasis/metabolism phenotype	Mammalian_phenotype	1
MP:0005377	MP:0005377	hearing/vestibular/ear phenotype	Mammalian_phenotype	1
MP:0005378	MP:0005378	growth/size/body phenotype	Mammalian_phenotype	1
MP:0005379	MP:0005379	endocrine/exocrine gland phenotype	Mammalian_phenotype	1
MP:0005380	MP:0005380	embryogenesis phenotype	Mammalian_phenotype	1
MP:0005381	MP:0005381	digestive/alimentary phenotype	Mammalian_phenotype	1
MP:0005382	MP:0005382	craniofacial phenotype	Mammalian_phenotype	1
MP:0005384	MP:0005384	cellular phenotype	Mammalian_phenotype	1
MP:0005385	MP:0005385	cardiovascular system phenotype	Mammalian_phenotype	1
MP:0005386	MP:0005386	behavior/neurological phenotype	Mammalian_phenotype	1
MP:0005387	MP:0005387	immune system phenotype	Mammalian_phenotype	1
MP:0005388	MP:0005388	respiratory system phenotype	Mammalian_phenotype	1
MP:0005389	MP:0005389	reproductive system phenotype	Mammalian_phenotype	1
MP:0005390	MP:0005390	skeleton phenotype	Mammalian_phenotype	1
MP:0005391	MP:0005391	vision/eye phenotype	Mammalian_phenotype	1
MP:0005394	MP:0005394	taste/olfaction phenotype	Mammalian_phenotype	1
MP:0005395	MP:0005395	other phenotype	Mammalian_phenotype	1
MP:0005397	MP:0005397	hematopoietic system phenotype	Mammalian_phenotype	1
MP:0010768	MP:0010768	mortality/aging	Mammalian_phenotype	1
MP:0010771	MP:0010771	integument phenotype	Mammalian_phenotype	1
MP:0009389	MP:0009389	abnormal extracutaneous pigmentation	Mammalian_phenotype	2
MP:0009701	MP:0009701	abnormal birth body size	Mammalian_phenotype	2
MP:0009847	MP:0009847	abnormal scrotum pigmentation	Mammalian_phenotype	2
MP:0010639	MP:0010639	altered tumor pathology	Mammalian_phenotype	2
MP:0010678	MP:0010678	abnormal skin adnexa morphology	Mammalian_phenotype	2
