from	to
PO:0000002	PO:0004700
PO:0000002	PO:0006006
PO:0000002	PO:0006007
PO:0000002	PO:0009071
PO:0000002	PO:0020002
PO:0000002	PO:0020004
PO:0000002	PO:0020101
PO:0000003	PO:0000034
PO:0000003	PO:0000423
PO:0000003	PO:0009009
PO:0000003	PO:0025017
PO:0000003	PO:0025279
PO:0000003	PO:0025280
PO:0000003	PO:0030027
PO:0000004	PO:0000005
PO:0000004	PO:0000009
PO:0000004	PO:0000010
PO:0000005	PO:0000006
PO:0000005	PO:0000007
PO:0000005	PO:0000008
PO:0000009	PO:0006090
PO:0000009	PO:0006091
PO:0000010	PO:0000011
PO:0000010	PO:0025304
PO:0000011	PO:0025305
PO:0000016	PO:0025492
PO:0000016	PO:0025493
PO:0000017	PO:0004725
PO:0000017	PO:0004726
PO:0000017	PO:0025481
PO:0000022	PO:0025385
PO:0000022	PO:0025386
PO:0000022	PO:0025536
PO:0000025	PO:0000026
PO:0000025	PO:0000027
PO:0000025	PO:0020123
PO:0000025	PO:0025181
PO:0000025	PO:0030008
PO:0000026	PO:0003017
PO:0000026	PO:0006081
PO:0000026	PO:0025257
PO:0000027	PO:0003018
PO:0000027	PO:0006020
PO:0000027	PO:0025256
PO:0000030	PO:0005010
PO:0000030	PO:0025262
PO:0000030	PO:0025268
PO:0000034	PO:0000035
PO:0000034	PO:0000039
PO:0000034	PO:0000048
PO:0000034	PO:0000052
PO:0000034	PO:0003011
PO:0000034	PO:0008003
PO:0000034	PO:0008011
PO:0000034	PO:0008012
PO:0000034	PO:0008013
PO:0000034	PO:0008014
PO:0000034	PO:0008015
PO:0000034	PO:0008047
PO:0000034	PO:0009015
PO:0000034	PO:0025205
PO:0000034	PO:0025206
PO:0000036	PO:0000048
PO:0000036	PO:0000052
PO:0000037	PO:0020032
PO:0000037	PO:0020148
PO:0000037	PO:0025128
PO:0000037	PO:0025222
PO:0000037	PO:0025223
PO:0000037	PO:0030010
PO:0000039	PO:0005012
PO:0000042	PO:0000040
PO:0000042	PO:0003005
PO:0000042	PO:0006021
PO:0000042	PO:0006039
PO:0000045	PO:0000046
PO:0000045	PO:0020031
PO:0000047	PO:0000049
PO:0000047	PO:0000050
PO:0000048	PO:0020138
PO:0000049	PO:0025135
PO:0000051	PO:0008027
PO:0000051	PO:0008029
PO:0000055	PO:0000058
PO:0000055	PO:0004709
PO:0000055	PO:0004713
PO:0000055	PO:0025084
PO:0000056	PO:0004710
PO:0000056	PO:0004714
PO:0000057	PO:0004711
PO:0000057	PO:0004715
PO:0000058	PO:0004712
PO:0000058	PO:0004716
PO:0000058	PO:0030026
PO:0000059	PO:0000060
PO:0000059	PO:0000061
PO:0000059	PO:0020133
PO:0000071	PO:0025458
PO:0000071	PO:0025459
PO:0000071	PO:0025460
PO:0000074	PO:0000066
PO:0000074	PO:0000071
PO:0000074	PO:0000076
PO:0000074	PO:0004525
PO:0000074	PO:0025285
PO:0000074	PO:0025412
PO:0000076	PO:0004006
PO:0000076	PO:0025542
PO:0000076	PO:0030001
PO:0000076	PO:0030002
PO:0000077	PO:0025407
PO:0000077	PO:0025418
PO:0000078	PO:0009018
PO:0000078	PO:0025458
PO:0000084	PO:0025120
PO:0000084	PO:0025121
PO:0000112	PO:0005003
PO:0000112	PO:0025046
PO:0000112	PO:0025178
PO:0000112	PO:0025179
PO:0000146	PO:0006211
PO:0000146	PO:0006212
PO:0000146	PO:0006501
PO:0000146	PO:0006502
PO:0000146	PO:0006503
PO:0000223	PO:0005057
PO:0000223	PO:0005058
PO:0000225	PO:0025430
PO:0000229	PO:0006005
PO:0000230	PO:0009105
PO:0000230	PO:0009106
PO:0000230	PO:0009108
PO:0000230	PO:0009109
PO:0000232	PO:0025068
PO:0000252	PO:0005015
PO:0000252	PO:0005058
PO:0000252	PO:0005059
PO:0000252	PO:0005060
PO:0000252	PO:0006065
PO:0000252	PO:0006208
PO:0000258	PO:0005059
PO:0000258	PO:0005772
PO:0000272	PO:0025552
PO:0000272	PO:0025553
PO:0000272	PO:0025554
PO:0000272	PO:0025557
PO:0000272	PO:0025575
PO:0000274	PO:0000355
PO:0000274	PO:0004520
PO:0000274	PO:0025422
PO:0000282	PO:0004509
PO:0000282	PO:0004511
PO:0000282	PO:0005003
PO:0000282	PO:0025162
PO:0000282	PO:0025186
PO:0000282	PO:0025537
PO:0000282	PO:0025550
PO:0000289	PO:0025455
PO:0000289	PO:0025457
PO:0000290	PO:0000301
PO:0000290	PO:0002003
PO:0000290	PO:0025444
PO:0000290	PO:0025445
PO:0000290	PO:0025461
PO:0000290	PO:0025462
PO:0000293	PO:0025236
PO:0000295	PO:0000079
PO:0000295	PO:0000082
PO:0000295	PO:0000400
PO:0000301	PO:0025446
PO:0000301	PO:0025447
PO:0000332	PO:0025166
PO:0000332	PO:0025212
PO:0000332	PO:0025499
PO:0000349	PO:0000062
PO:0000349	PO:0030068
PO:0000353	PO:0006207
PO:0000353	PO:0006208
PO:0000355	PO:0025419
PO:0000372	PO:0025576
PO:0002000	PO:0000284
PO:0002000	PO:0000293
PO:0002000	PO:0008032
PO:0002000	PO:0025215
PO:0002003	PO:0025448
PO:0002003	PO:0025449
PO:0003005	PO:0000043
PO:0003005	PO:0000044
PO:0003005	PO:0000046
PO:0003011	PO:0005026
PO:0003011	PO:0005027
PO:0003017	PO:0003021
PO:0003017	PO:0003022
PO:0003018	PO:0003019
PO:0003018	PO:0003020
PO:0003023	PO:0000040
PO:0003023	PO:0004538
PO:0003023	PO:0004539
PO:0004006	PO:0006205
PO:0004006	PO:0006206
PO:0004010	PO:0004011
PO:0004010	PO:0025258
PO:0004010	PO:0030007
PO:0004011	PO:0000059
PO:0004011	PO:0000295
PO:0004011	PO:0000349
PO:0004011	PO:0025510
PO:0004011	PO:0030086
PO:0004011	PO:0030087
PO:0004013	PO:0025164
PO:0004013	PO:0025165
PO:0004514	PO:0004515
PO:0004514	PO:0004516
PO:0004515	PO:0025461
PO:0004516	PO:0025462
PO:0004518	PO:0005048
PO:0004519	PO:0025421
PO:0004520	PO:0025420
PO:0004521	PO:0025419
PO:0004521	PO:0025420
PO:0004521	PO:0025421
PO:0004525	PO:0004526
PO:0004525	PO:0004527
PO:0004527	PO:0004528
PO:0004527	PO:0004529
PO:0004528	PO:0004530
PO:0004528	PO:0004531
PO:0004532	PO:0004525
PO:0004532	PO:0004533
PO:0004532	PO:0004534
PO:0004533	PO:0004526
PO:0004534	PO:0004527
PO:0004535	PO:0025267
PO:0004542	PO:0025204
PO:0004543	PO:0004547
PO:0004543	PO:0004548
PO:0004543	PO:0025040
PO:0004543	PO:0025043
PO:0004543	PO:0025046
PO:0004543	PO:0025068
PO:0004545	PO:0004546
PO:0004545	PO:0006343
PO:0004547	PO:0025038
PO:0004547	PO:0025042
PO:0004547	PO:0025045
PO:0004547	PO:0025048
PO:0004547	PO:0025070
PO:0004547	PO:0025081
PO:0004548	PO:0025039
PO:0004548	PO:0025041
PO:0004548	PO:0025047
PO:0004548	PO:0025069
PO:0004548	PO:0025079
PO:0004709	PO:0004712
PO:0004709	PO:0025072
PO:0004712	PO:0025040
PO:0004712	PO:0025353
PO:0004713	PO:0004716
PO:0004713	PO:0025071
PO:0004718	PO:0000041
PO:0004718	PO:0004009
PO:0004724	PO:0025300
PO:0004724	PO:0025301
PO:0005003	PO:0025153
PO:0005003	PO:0025176
PO:0005003	PO:0025177
PO:0005004	PO:0006325
PO:0005004	PO:0020141
