from	to
PO:0001002	PO:0025501
PO:0001002	PO:0025502
PO:0001004	PO:0001005
PO:0001004	PO:0001018
PO:0001004	PO:0001025
PO:0001004	PO:0001026
PO:0001004	PO:0001032
PO:0001004	PO:0001034
PO:0001004	PO:0001035
PO:0001004	PO:0001036
PO:0001007	PO:0001006
PO:0001007	PO:0001008
PO:0001007	PO:0001009
PO:0001007	PO:0001010
PO:0001007	PO:0001011
PO:0001007	PO:0001012
PO:0001007	PO:0001013
PO:0001007	PO:0001014
PO:0001007	PO:0001015
PO:0001007	PO:0001016
PO:0001007	PO:0001017
PO:0001007	PO:0001029
PO:0001007	PO:0001059
PO:0001017	PO:0001074
PO:0001031	PO:0007510
PO:0001042	PO:0001099
PO:0001044	PO:0001378
PO:0001044	PO:0001380
PO:0001047	PO:0001055
PO:0001047	PO:0001056
PO:0001047	PO:0001057
PO:0001048	PO:0001058
PO:0001048	PO:0001070
PO:0001048	PO:0001071
PO:0001049	PO:0001072
PO:0001049	PO:0001077
PO:0001049	PO:0001079
PO:0001050	PO:0001051
PO:0001050	PO:0001052
PO:0001050	PO:0001053
PO:0001050	PO:0001054
PO:0001051	PO:0001003
PO:0001052	PO:0001019
PO:0001052	PO:0001020
PO:0001052	PO:0001021
PO:0001052	PO:0001023
PO:0001052	PO:0001024
PO:0001052	PO:0004500
PO:0001083	PO:0007037
PO:0001083	PO:0021004
PO:0001170	PO:0001040
PO:0001170	PO:0004505
PO:0001170	PO:0004506
PO:0001170	PO:0007632
PO:0001170	PO:0007633
PO:0001170	PO:0025374
PO:0004504	PO:0007622
PO:0007006	PO:0007014
PO:0007010	PO:0007001
PO:0007010	PO:0007031
PO:0007010	PO:0007036
PO:0007010	PO:0007038
PO:0007010	PO:0007050
PO:0007014	PO:0007013
PO:0007014	PO:0007018
PO:0007014	PO:0007019
PO:0007014	PO:0007028
PO:0007014	PO:0007044
PO:0007014	PO:0007051
PO:0007016	PO:0007024
PO:0007016	PO:0007026
PO:0007016	PO:0007034
PO:0007016	PO:0007052
PO:0007016	PO:0007053
PO:0007033	PO:0025337
PO:0007033	PO:0028002
PO:0007033	PO:0028003
PO:0007039	PO:0007056
PO:0007039	PO:0007058
PO:0007039	PO:0007059
PO:0007039	PO:0007135
PO:0007041	PO:0007002
PO:0007041	PO:0007008
PO:0007041	PO:0007023
PO:0007041	PO:0007025
PO:0007041	PO:0007048
PO:0007042	PO:0007007
PO:0007042	PO:0007009
PO:0007042	PO:0007027
PO:0007042	PO:0007029
PO:0007042	PO:0007032
PO:0007047	PO:0007003
PO:0007047	PO:0007005
PO:0007047	PO:0007006
PO:0007047	PO:0007041
PO:0007047	PO:0007046
PO:0007057	PO:0007015
PO:0007057	PO:0007022
PO:0007057	PO:0007045
PO:0007057	PO:0025475
PO:0007073	PO:0007071
PO:0007073	PO:0007077
PO:0007073	PO:0007080
PO:0007073	PO:0007087
PO:0007073	PO:0007088
PO:0007073	PO:0007093
PO:0007073	PO:0007110
PO:0007073	PO:0007118
PO:0007073	PO:0007122
PO:0007089	PO:0007062
PO:0007089	PO:0007066
PO:0007089	PO:0007070
PO:0007089	PO:0007074
PO:0007089	PO:0007079
PO:0007089	PO:0007084
PO:0007089	PO:0007086
PO:0007089	PO:0007090
PO:0007089	PO:0007091
PO:0007089	PO:0007092
PO:0007089	PO:0007096
PO:0007089	PO:0007097
PO:0007089	PO:0007099
PO:0007089	PO:0007100
PO:0007089	PO:0007108
PO:0007089	PO:0007109
PO:0007089	PO:0007111
PO:0007089	PO:0007114
PO:0007089	PO:0007117
PO:0007112	PO:0007089
PO:0007112	PO:0007113
PO:0007112	PO:0007133
PO:0007113	PO:0007068
PO:0007113	PO:0007076
PO:0007113	PO:0007078
PO:0007113	PO:0007081
PO:0007130	PO:0007016
PO:0007130	PO:0007047
PO:0007130	PO:0025500
PO:0007131	PO:0007030
PO:0007131	PO:0007043
PO:0007131	PO:0007049
PO:0007131	PO:0007054
PO:0007132	PO:0025377
PO:0007133	PO:0007063
PO:0007133	PO:0007064
PO:0007133	PO:0007065
PO:0007133	PO:0007067
PO:0007133	PO:0007072
PO:0007133	PO:0007082
PO:0007133	PO:0007083
PO:0007133	PO:0007085
PO:0007133	PO:0007094
PO:0007133	PO:0007095
PO:0007133	PO:0007098
PO:0007133	PO:0007101
PO:0007133	PO:0007103
PO:0007133	PO:0007104
PO:0007133	PO:0007106
PO:0007133	PO:0007115
PO:0007133	PO:0007116
PO:0007133	PO:0007119
PO:0007133	PO:0007120
PO:0007133	PO:0007123
PO:0007134	PO:0007045
PO:0007134	PO:0007057
PO:0007134	PO:0007073
PO:0007134	PO:0007112
PO:0007134	PO:0007131
PO:0007134	PO:0007631
PO:0007505	PO:0007504
PO:0007505	PO:0007506
PO:0007505	PO:0007511
PO:0007510	PO:0007517
PO:0007510	PO:0007518
PO:0007520	PO:0001031
PO:0007520	PO:0007015
PO:0007520	PO:0007505
PO:0007520	PO:0007519
PO:0007520	PO:0007525
PO:0007520	PO:0007527
PO:0007520	PO:0025475
PO:0007525	PO:0007501
PO:0007525	PO:0007509
PO:0007525	PO:0007513
PO:0007525	PO:0007516
PO:0007600	PO:0001047
PO:0007600	PO:0001048
PO:0007600	PO:0001049
PO:0007600	PO:0007603
PO:0007600	PO:0007604
PO:0007600	PO:0007605
PO:0007600	PO:0007606
PO:0007603	PO:0001044
PO:0007603	PO:0001045
PO:0007603	PO:0007607
PO:0007604	PO:0007608
PO:0007604	PO:0007611
PO:0007604	PO:0007612
PO:0007605	PO:0001004
PO:0007605	PO:0001007
PO:0007605	PO:0007613
PO:0007606	PO:0004501
PO:0007606	PO:0004502
PO:0007606	PO:0004503
PO:0007606	PO:0007618
PO:0007606	PO:0007619
PO:0007615	PO:0007616
PO:0007615	PO:0025585
PO:0007615	PO:0025588
PO:0007619	PO:0004504
PO:0007619	PO:0007620
PO:0007619	PO:0007621
PO:0007621	PO:0007623
PO:0007621	PO:0007624
PO:0007621	PO:0007625
PO:0007621	PO:0007626
PO:0007621	PO:0007627
PO:0007621	PO:0007628
PO:0007621	PO:0007629
PO:0007631	PO:0001078
PO:0007631	PO:0001081
PO:0007631	PO:0001094
PO:0007631	PO:0001095
PO:0007631	PO:0001180
PO:0007631	PO:0001185
PO:0007631	PO:0004507
PO:0007633	PO:0001041
PO:0007633	PO:0001042
PO:0007633	PO:0001096
PO:0009012	PO:0001002
PO:0009012	PO:0001170
PO:0009012	PO:0007033
PO:0009012	PO:0025338
PO:0009012	PO:0025339
PO:0009012	PO:0025368
PO:0009012	PO:0025423
PO:0025337	PO:0028002
PO:0025337	PO:0028003
PO:0025338	PO:0025527
PO:0025338	PO:0025578
PO:0025339	PO:0007520
PO:0025339	PO:0007600
PO:0025339	PO:0025579
PO:0025340	PO:0025345
PO:0025340	PO:0025347
PO:0025340	PO:0030006
PO:0025341	PO:0025344
PO:0025341	PO:0025346
PO:0025342	PO:0025376
PO:0025368	PO:0007039
PO:0025368	PO:0025369
PO:0025369	PO:0025370
PO:0025369	PO:0025371
PO:0025369	PO:0025372
PO:0025369	PO:0025373
PO:0025423	PO:0025424
PO:0025424	PO:0025425
PO:0025424	PO:0025426
PO:0025425	PO:0025427
PO:0025427	PO:0025463
PO:0025427	PO:0025469
PO:0025466	PO:0025467
PO:0025466	PO:0025468
PO:0025469	PO:0025464
PO:0025469	PO:0025465
PO:0025469	PO:0025466
PO:0025500	PO:0007010
PO:0025500	PO:0007042
PO:0025501	PO:0025503
PO:0025501	PO:0025504
PO:0025501	PO:0025505
PO:0025501	PO:0025506
PO:0025501	PO:0025507
PO:0025501	PO:0025508
PO:0025527	PO:0025339
PO:0025527	PO:0025528
PO:0025527	PO:0025530
PO:0025527	PO:0025532
PO:0025528	PO:0025529
PO:0025528	PO:0025531
PO:0025530	PO:0001083
PO:0025530	PO:0007615
PO:0025578	PO:0007603
PO:0025578	PO:0007604
PO:0025578	PO:0007605
PO:0025578	PO:0007606
PO:0025579	PO:0001047
PO:0025579	PO:0001048
PO:0025579	PO:0001049
PO:0025579	PO:0001050
PO:0025585	PO:0007600
PO:0025585	PO:0007601
PO:0025585	PO:0007602
PO:0028002	PO:0001097
PO:0028002	PO:0007017
PO:0028002	PO:0007130
PO:0028002	PO:0007132
PO:0028002	PO:0007134
PO:0028003	PO:0025340
PO:0028003	PO:0025341
PO:0028003	PO:0025342
PO:0028003	PO:0025343
PO:0028003	PO:0025375
