name	term_id	term_name	term_namespace	term_distance
WBPhenotype:0000886	WBPhenotype:0000886	Variant	root	0
WBPhenotype:0000517	WBPhenotype:0000517	behavior variant	Worm_phenotype	1
WBPhenotype:0000518	WBPhenotype:0000518	development variant	Worm_phenotype	1
WBPhenotype:0000519	WBPhenotype:0000519	physiology variant	Worm_phenotype	1
WBPhenotype:0000520	WBPhenotype:0000520	morphology variant	Worm_phenotype	1
WBPhenotype:0000521	WBPhenotype:0000521	pigmentation variant	Worm_phenotype	1
WBPhenotype:0000200	WBPhenotype:0000200	pericellular component development variant	Worm_phenotype	2
WBPhenotype:0000278	WBPhenotype:0000278	body region pigmentation variant	Worm_phenotype	2
WBPhenotype:0000292	WBPhenotype:0000292	organ system pigmentation variant	Worm_phenotype	2
WBPhenotype:0000525	WBPhenotype:0000525	organism behavior variant	Worm_phenotype	2
WBPhenotype:0000526	WBPhenotype:0000526	cell pigmentation variant	Worm_phenotype	2
WBPhenotype:0000527	WBPhenotype:0000527	organism pigmentation variant	Worm_phenotype	2
WBPhenotype:0000529	WBPhenotype:0000529	cell development variant	Worm_phenotype	2
WBPhenotype:0000530	WBPhenotype:0000530	organ system development variant	Worm_phenotype	2
WBPhenotype:0000531	WBPhenotype:0000531	organism development variant	Worm_phenotype	2
WBPhenotype:0000533	WBPhenotype:0000533	cell morphology variant	Worm_phenotype	2
WBPhenotype:0000534	WBPhenotype:0000534	organ system morphology variant	Worm_phenotype	2
WBPhenotype:0000535	WBPhenotype:0000535	organism morphology variant	Worm_phenotype	2
WBPhenotype:0000536	WBPhenotype:0000536	cell physiology variant	Worm_phenotype	2
WBPhenotype:0000575	WBPhenotype:0000575	organ system physiology variant	Worm_phenotype	2
WBPhenotype:0000576	WBPhenotype:0000576	organism physiology variant	Worm_phenotype	2
WBPhenotype:0000912	WBPhenotype:0000912	pericellular component morphology variant	Worm_phenotype	2
WBPhenotype:0001210	WBPhenotype:0001210	pericellular component physiology variant	Worm_phenotype	2
WBPhenotype:0001315	WBPhenotype:0001315	electrophysiology variant	Worm_phenotype	2
WBPhenotype:0000001	WBPhenotype:0000001	body posture variant	Worm_phenotype	3
WBPhenotype:0000033	WBPhenotype:0000033	developmental timing variant	Worm_phenotype	3
WBPhenotype:0000039	WBPhenotype:0000039	life span variant	Worm_phenotype	3
WBPhenotype:0000049	WBPhenotype:0000049	postembryonic development variant	Worm_phenotype	3
WBPhenotype:0000062	WBPhenotype:0000062	lethal	Worm_phenotype	3
WBPhenotype:0000069	WBPhenotype:0000069	progeny variant	Worm_phenotype	3
WBPhenotype:0000074	WBPhenotype:0000074	genetic pathway variant	Worm_phenotype	3
WBPhenotype:0000093	WBPhenotype:0000093	lineage variant	Worm_phenotype	3
