name	term_id	term_name	term_namespace	term_distance
XAO:0000000	XAO:0000000	Xenopus anatomical entity	Xenopus_anatomical_entity	0
XAO:0000113	XAO:0000113	embryo	Xenopus_anatomical_entity	1
XAO:0003000	XAO:0003000	anatomical structure	Xenopus_anatomical_entity	1
XAO:0003003	XAO:0003003	unspecified	Xenopus_anatomical_entity	1
XAO:0003007	XAO:0003007	anatomical entity in vitro	Xenopus_anatomical_entity	1
XAO:0003185	XAO:0003185	anatomical direction	Xenopus_anatomical_entity	1
XAO:0003186	XAO:0003186	anatomical region	Xenopus_anatomical_entity	1
XAO:0003190	XAO:0003190	anatomical space	Xenopus_anatomical_entity	1
XAO:0004001	XAO:0004001	portion of organism substance	Xenopus_anatomical_entity	1
XAO:0004003	XAO:0004003	anatomical line	Xenopus_anatomical_entity	1
XAO:0000016	XAO:0000016	midbrain-hindbrain boundary	Xenopus_anatomical_entity	2
XAO:0000124	XAO:0000124	blood	Xenopus_anatomical_entity	2
XAO:0000296	XAO:0000296	vegetal	Xenopus_anatomical_entity	2
XAO:0000297	XAO:0000297	animal	Xenopus_anatomical_entity	2
XAO:0000298	XAO:0000298	dorsal	Xenopus_anatomical_entity	2
XAO:0000299	XAO:0000299	ventral	Xenopus_anatomical_entity	2
XAO:0000300	XAO:0000300	superficial	Xenopus_anatomical_entity	2
XAO:0000301	XAO:0000301	deep	Xenopus_anatomical_entity	2
XAO:0000302	XAO:0000302	dorso-lateral	Xenopus_anatomical_entity	2
XAO:0000303	XAO:0000303	ventro-lateral	Xenopus_anatomical_entity	2
XAO:0000304	XAO:0000304	lateral	Xenopus_anatomical_entity	2
XAO:0003001	XAO:0003001	anatomical group	Xenopus_anatomical_entity	2
XAO:0003004	XAO:0003004	whole organism	Xenopus_anatomical_entity	2
XAO:0003008	XAO:0003008	activin-induced ectoderm	Xenopus_anatomical_entity	2
XAO:0003009	XAO:0003009	disaggregated/reaggregated ectoderm treated with activin	Xenopus_anatomical_entity	2
XAO:0003011	XAO:0003011	primary germ layer	Xenopus_anatomical_entity	2
XAO:0003012	XAO:0003012	cell	Xenopus_anatomical_entity	2
XAO:0003013	XAO:0003013	organism subdivision	Xenopus_anatomical_entity	2
XAO:0003016	XAO:0003016	blastoderm cell	Xenopus_anatomical_entity	2
XAO:0003037	XAO:0003037	multi-tissue structure	Xenopus_anatomical_entity	2
XAO:0003040	XAO:0003040	portion of tissue	Xenopus_anatomical_entity	2
XAO:0003041	XAO:0003041	compound organ	Xenopus_anatomical_entity	2
XAO:0003042	XAO:0003042	embryonic structure	Xenopus_anatomical_entity	2
XAO:0003053	XAO:0003053	Keller explant	Xenopus_anatomical_entity	2
XAO:0003056	XAO:0003056	anterior	Xenopus_anatomical_entity	2
XAO:0003057	XAO:0003057	posterior	Xenopus_anatomical_entity	2
