from	to
APO:0000017	APO:0000023
APO:0000017	APO:0000049
APO:0000017	APO:0000066
APO:0000017	APO:0000094
APO:0000017	APO:0000216
APO:0000017	APO:0000217
APO:0000017	APO:0000287
APO:0000023	APO:0000024
APO:0000023	APO:0000027
APO:0000023	APO:0000030
APO:0000023	APO:0000031
APO:0000023	APO:0000291
APO:0000023	APO:0000295
APO:0000023	APO:0000319
APO:0000023	APO:0000321
APO:0000024	APO:0000089
APO:0000024	APO:0000200
APO:0000027	APO:0000028
APO:0000027	APO:0000029
APO:0000027	APO:0000160
APO:0000027	APO:0000320
APO:0000030	APO:0000316
APO:0000030	APO:0000317
APO:0000031	APO:0000032
APO:0000031	APO:0000039
APO:0000031	APO:0000041
APO:0000031	APO:0000045
APO:0000031	APO:0000196
APO:0000032	APO:0000033
APO:0000032	APO:0000034
APO:0000032	APO:0000035
APO:0000032	APO:0000036
APO:0000032	APO:0000037
APO:0000032	APO:0000038
APO:0000037	APO:0000123
APO:0000037	APO:0000124
APO:0000039	APO:0000040
APO:0000041	APO:0000042
APO:0000041	APO:0000043
APO:0000041	APO:0000044
APO:0000049	APO:0000050
APO:0000049	APO:0000158
APO:0000050	APO:0000051
APO:0000050	APO:0000052
APO:0000050	APO:0000056
APO:0000050	APO:0000212
APO:0000050	APO:0000223
APO:0000050	APO:0000226
APO:0000052	APO:0000141
APO:0000052	APO:0000142
APO:0000053	APO:0000199
APO:0000053	APO:0000221
APO:0000054	APO:0000120
APO:0000054	APO:0000213
APO:0000057	APO:0000119
APO:0000057	APO:0000273
APO:0000060	APO:0000061
APO:0000060	APO:0000062
APO:0000060	APO:0000063
APO:0000060	APO:0000197
APO:0000064	APO:0000065
APO:0000066	APO:0000072
APO:0000066	APO:0000073
APO:0000066	APO:0000080
APO:0000066	APO:0000143
APO:0000066	APO:0000274
APO:0000066	APO:0000312
APO:0000072	APO:0000071
APO:0000072	APO:0000225
APO:0000072	APO:0000253
APO:0000072	APO:0000267
APO:0000072	APO:0000268
APO:0000073	APO:0000074
APO:0000073	APO:0000075
APO:0000073	APO:0000129
APO:0000073	APO:0000130
APO:0000073	APO:0000132
APO:0000073	APO:0000296
APO:0000074	APO:0000239
APO:0000074	APO:0000240
APO:0000077	APO:0000126
APO:0000077	APO:0000127
APO:0000080	APO:0000084
APO:0000080	APO:0000087
APO:0000080	APO:0000091
APO:0000080	APO:0000092
APO:0000080	APO:0000093
APO:0000080	APO:0000193
APO:0000080	APO:0000215
APO:0000080	APO:0000241
APO:0000080	APO:0000326
APO:0000080	APO:0000327
APO:0000082	APO:0000203
APO:0000082	APO:0000204
APO:0000084	APO:0000085
APO:0000084	APO:0000194
APO:0000087	APO:0000082
APO:0000087	APO:0000083
APO:0000087	APO:0000090
APO:0000087	APO:0000201
APO:0000087	APO:0000202
APO:0000087	APO:0000205
APO:0000092	APO:0000147
APO:0000092	APO:0000148
APO:0000094	APO:0000022
APO:0000094	APO:0000095
APO:0000094	APO:0000096
APO:0000094	APO:0000106
APO:0000094	APO:0000131
APO:0000094	APO:0000149
APO:0000094	APO:0000209
APO:0000094	APO:0000210
APO:0000094	APO:0000218
APO:0000094	APO:0000222
APO:0000094	APO:0000224
APO:0000094	APO:0000271
APO:0000094	APO:0000292
APO:0000096	APO:0000097
APO:0000096	APO:0000098
APO:0000096	APO:0000099
APO:0000096	APO:0000100
APO:0000096	APO:0000125
APO:0000096	APO:0000157
APO:0000096	APO:0000219
APO:0000096	APO:0000293
APO:0000096	APO:0000294
APO:0000098	APO:0000101
APO:0000098	APO:0000102
APO:0000101	APO:0000308
APO:0000102	APO:0000105
APO:0000102	APO:0000145
APO:0000102	APO:0000153
APO:0000102	APO:0000154
APO:0000102	APO:0000309
APO:0000105	APO:0000104
APO:0000106	APO:0000109
APO:0000106	APO:0000310
APO:0000106	APO:0000311
APO:0000129	APO:0000076
APO:0000129	APO:0000077
APO:0000129	APO:0000078
APO:0000129	APO:0000079
APO:0000129	APO:0000128
APO:0000143	APO:0000046
APO:0000143	APO:0000047
APO:0000143	APO:0000144
APO:0000143	APO:0000198
APO:0000143	APO:0000208
APO:0000143	APO:0000225
APO:0000158	APO:0000060
APO:0000158	APO:0000064
APO:0000158	APO:0000159
APO:0000194	APO:0000086
APO:0000194	APO:0000195
APO:0000200	APO:0000025
APO:0000200	APO:0000026
APO:0000210	APO:0000307
APO:0000213	APO:0000214
APO:0000215	APO:0000081
APO:0000216	APO:0000110
APO:0000216	APO:0000111
APO:0000216	APO:0000152
APO:0000216	APO:0000330
APO:0000217	APO:0000112
APO:0000217	APO:0000113
APO:0000226	APO:0000053
APO:0000226	APO:0000054
APO:0000226	APO:0000055
APO:0000226	APO:0000242
APO:0000226	APO:0000303
APO:0000226	APO:0000315
APO:0000253	APO:0000254
APO:0000253	APO:0000255
APO:0000253	APO:0000257
APO:0000253	APO:0000258
APO:0000253	APO:0000266
APO:0000253	APO:0000269
APO:0000255	APO:0000256
APO:0000258	APO:0000259
APO:0000258	APO:0000260
APO:0000258	APO:0000264
APO:0000258	APO:0000265
APO:0000260	APO:0000261
APO:0000260	APO:0000262
APO:0000260	APO:0000263
APO:0000274	APO:0000275
APO:0000274	APO:0000276
APO:0000274	APO:0000277
APO:0000287	APO:0000048
APO:0000287	APO:0000288
APO:0000287	APO:0000289
APO:0000287	APO:0000324
APO:0000287	APO:0000325
APO:0000287	APO:0000329
APO:0000291	APO:0000331
APO:0000291	APO:0000332
APO:0000295	APO:0000306
APO:0000296	APO:0000118
APO:0000296	APO:0000297
APO:0000296	APO:0000298
APO:0000296	APO:0000299
APO:0000296	APO:0000300
APO:0000296	APO:0000301
APO:0000296	APO:0000302
APO:0000303	APO:0000057
APO:0000303	APO:0000058
APO:0000303	APO:0000059
APO:0000303	APO:0000243
APO:0000303	APO:0000270
APO:0000312	APO:0000155
APO:0000312	APO:0000220
APO:0000312	APO:0000313
APO:0000312	APO:0000314
