Feature_id	Term_id	Score
100895	HP:0004370	2.9
100895	HP:0002027	4.3
100895	HP:0011122	1.9
100895	HP:0011123	0.83
100895	HP:0004295	4.8
100895	HP:0002024	2.4
100909	HP:0000707	1.3
100909	HP:0012638	0.54
103473	HP:0002904	3.7
103473	HP:0010932	5
103473	HP:0004305	2.5
103473	HP:0004352	1.3
103473	HP:0001635	2.7
103473	HP:0002514	2.6
103473	HP:0002908	3.2
103473	HP:0004369	2.2
103473	HP:0000572	2.6
103473	HP:0000618	2.5
103473	HP:0000737	2.4
103473	HP:0000952	1.8
103473	HP:0001289	4.3
103473	HP:0002540	7.6
103473	HP:0003537	2.4
103473	HP:0007369	2.7
103473	HP:0012444	2.6
103473	HP:0011282	2.9
103473	HP:0010551	3.2
103473	HP:0004295	3.4
103473	HP:0002061	2.2
103473	HP:0001258	1.7
103473	HP:0002059	0.36
103473,100895	HP:0000924	1.7
103473,100895	HP:0001438	1.9
103473,100895	HP:0001574	2
103473,100895	HP:0001939	1.8
103473,100895	HP:0000951	0.76
103473,100895	HP:0002012	0.87
103473,100895	HP:0011024	1.4
103473,100895	HP:0011354	0.8
103473,100895	HP:0001392	1.5
103473,100895	HP:0012718	0.58
103473,100895	HP:0011121	1.3
103473,100895	HP:0002577	2.7
103473,100895	HP:0004295	4.8
103657	HP:0004377	2.7
103657	HP:0001909	2.1
109604	HP:0000119	1.7
109604	HP:0000152	1.8
109604	HP:0000707	1.9
109604	HP:0000818	3.3
109604	HP:0001507	1.8
109604	HP:0001574	2.3
109604	HP:0000078	1.8
109604	HP:0000234	0.29
109604	HP:0000364	1.1
109604	HP:0000819	2.5
109604	HP:0000951	1.1
109604	HP:0003117	2
109604	HP:0004323	2
109604	HP:0012372	1.2
109604	HP:0012638	0.82
109604	HP:0011013	3.3
109604	HP:0011843	2.8
109604	HP:0011014	0.83
109604	HP:0011354	1.1
109604	HP:0004322	0.97
109604	HP:0004324	3.4
109604	HP:0000271	0.8
109604	HP:0000365	0.26
109604	HP:0012547	1.2
109604	HP:0007256	1.3
109604	HP:0010461	0.85
109604	HP:0000505	0.61
109604	HP:0000613	3.2
109604	HP:0000811	0.82
109604	HP:0001513	0.49
109604	HP:0000032	0.35
109604	HP:0000422	1.4
109604	HP:0000639	0.12
109604	HP:0001098	0.15
109604	HP:0005105	1.5
109604	HP:0005288	2.4
109604	HP:0010938	1.6
109604	HP:0000035	0.69
109604	HP:0000036	1.2
109604	HP:0000429	1.1
109604	HP:0000463	1.5
109604	HP:0000479	0.98
109604	HP:0008051	1.7
109604	HP:0000512	2.7
109604	HP:0007703	0.49
117892	HP:0001939	1.8
141072	HP:0000119	1.8
141072	HP:0000152	2.2
141072	HP:0000478	2.3
141072	HP:0000924	1.3
141072	HP:0001438	1.6
141072	HP:0001574	1.7
141072	HP:0002086	2.5
141072	HP:0003549	3
141072	HP:0000078	1.6
141072	HP:0000234	0.27
141072	HP:0000364	1.1
141072	HP:0002012	1
141072	HP:0004298	2.7
141072	HP:0012372	1.2
141072	HP:0012639	1.3
141072	HP:0100589	5.5
141072	HP:0100790	1.5
141072	HP:0011138	1.9
141072	HP:0011842	0.33
141072	HP:0012252	0.63
141072	HP:0010866	0.73
141072	HP:0010935	1.1
141072	HP:0010936	2.4
141072	HP:0011024	1.6
141072	HP:0012243	0.69
141072	HP:0004299	0.69
141072	HP:0000271	0.73
141072	HP:0000365	0.26
141072	HP:0000504	1.8
141072	HP:0000589	3.4
141072	HP:0000614	11
141072	HP:0002011	0.76
141072	HP:0002087	2.3
141072	HP:0012374	0.39
141072	HP:0012443	0.71
141072	HP:0012718	0.67
141072	HP:0100886	1.4
141072	HP:0100887	4.4
141072	HP:0008056	2.3
141072	HP:0011362	1.6
141072	HP:0011481	0.89
141072	HP:0000153	1.5
141072	HP:0000505	0.61
141072	HP:0000534	2
141072	HP:0000606	1.7
141072	HP:0000625	7.4
141072	HP:0000795	2.4
141072	HP:0001600	1.9
141072	HP:0002813	0.13
141072	HP:0002977	1.8
141072	HP:0000008	0.79
141072	HP:0000032	0.35
141072	HP:0000240	1.4
141072	HP:0000422	1.4
141072	HP:0000492	1.4
141072	HP:0000528	6.6
141072	HP:0000568	2.2
141072	HP:0001539	3.9
141072	HP:0002242	1.5
141072	HP:0002683	1.8
141072	HP:0002814	1
141072	HP:0002817	1.1
141072	HP:0005105	1.5
141072	HP:0012732	3.6
141072	HP:0100547	1.3
141072	HP:0010938	1.6
141072	HP:0011297	1.3
141072	HP:0004378	1.1
141072	HP:0000142	3.2
141072	HP:0000164	1.8
141072	HP:0000252	1.2
141072	HP:0000316	1
141072	HP:0000431	1.9
141072	HP:0001155	0.37
141072	HP:0001167	1.1
141072	HP:0001760	0.81
141072	HP:0002244	2.8
141072	HP:0002648	0.88
141072	HP:0004122	11
141072	HP:0004397	2.2
141072	HP:0005918	1.2
141072,141072	HP:0000152	1.7
141072,141072	HP:0000478	1.8
141072,141072	HP:0000598	2.4
141072,141072	HP:0000707	1.3
141072,141072	HP:0000234	0.21
141072,141072	HP:0000364	1.1
141072,141072	HP:0012372	0.89
141072,141072	HP:0012373	0.98
141072,141072	HP:0012638	0.54
141072,141072	HP:0012639	1.1
141072,141072	HP:0000271	0.56
141072,141072	HP:0000365	0.26
141072,141072	HP:0000504	1.8
141072,141072	HP:0002011	0.66
141072,141072	HP:0012374	0.3
141072,141072	HP:0012443	0.62
141072,141072	HP:0004328	1.4
141072,141072	HP:0000153	1.2
141072,141072	HP:0000505	0.61
141072,141072	HP:0002977	1.5
141072,141072	HP:0000163	0.73
141072,141072	HP:0100547	1.1
141072,141072	HP:0000164	1.6
141072,141072,141072	HP:0000152	1.7
141072,141072,141072	HP:0000478	1.8
141072,141072,141072	HP:0000598	2.4
141072,141072,141072	HP:0000707	1.3
141072,141072,141072	HP:0000234	0.21
141072,141072,141072	HP:0000364	1.1
141072,141072,141072	HP:0012372	0.89
141072,141072,141072	HP:0012373	0.98
141072,141072,141072	HP:0012638	0.54
141072,141072,141072	HP:0012639	1.1
141072,141072,141072	HP:0000271	0.56
141072,141072,141072	HP:0000365	0.26
141072,141072,141072	HP:0000504	1.8
141072,141072,141072	HP:0002011	0.66
141072,141072,141072	HP:0012374	0.3
141072,141072,141072	HP:0012443	0.62
141072,141072,141072	HP:0004328	1.4
141072,141072,141072	HP:0000153	1.2
141072,141072,141072	HP:0000505	0.61
141072,141072,141072	HP:0002977	1.5
141072,141072,141072	HP:0000163	0.73
141072,141072,141072	HP:0100547	1.1
141072,141072,141072	HP:0000164	1.6
160481	HP:0000119	2.1
160481	HP:0000152	1.7
160481	HP:0000707	1.3
160481	HP:0000924	1.7
160481	HP:0001507	2.2
160481	HP:0001574	2
160481	HP:0001626	2.2
160481	HP:0003549	3.2
160481	HP:0000078	1.4
160481	HP:0000234	0.21
160481	HP:0000951	0.76
160481	HP:0001510	1.2
160481	HP:0001627	1.4
160481	HP:0012638	0.54
160481	HP:0012639	1.1
160481	HP:0100790	2.2
160481	HP:0011138	1.7
160481	HP:0011842	0.28
160481	HP:0011844	1.3
160481	HP:0012243	0.59
160481	HP:0009115	2.2
160481	HP:0009121	0.89
160481	HP:0000271	0.56
160481	HP:0000929	1.4
160481	HP:0001511	2.9
160481	HP:0001595	0.85
160481	HP:0002011	0.66
160481	HP:0002564	0.26
160481	HP:0012443	0.62
160481	HP:0009815	2.5
160481	HP:0010461	0.85
160481	HP:0000153	1.2
160481	HP:0000284	1.6
160481	HP:0000366	1.5
160481	HP:0000534	2.7
160481	HP:0000606	2
160481	HP:0000811	0.82
160481	HP:0000925	1.6
160481	HP:0001999	2.3
160481	HP:0002813	0.13
160481	HP:0002977	1.5
160481	HP:0000032	0.35
160481	HP:0000159	2.5
160481	HP:0000163	0.73
160481	HP:0000240	1.4
160481	HP:0000422	1.4
160481	HP:0000492	1.2
160481	HP:0002814	1
160481	HP:0002817	1.1
160481	HP:0007364	1.3
160481	HP:0100547	1.1
160481	HP:0010674	1
160481	HP:0011297	1.3
160481	HP:0011337	3.9
160481	HP:0011927	2.1
160481	HP:0006496	2.4
160481	HP:0000035	0.69
160481	HP:0000164	1.6
160481	HP:0000174	1.8
160481	HP:0000252	1.2
160481	HP:0001155	0.37
160481	HP:0001167	1.1
160481	HP:0002650	0.57
160481	HP:0005927	2.5
160481	HP:0000028	1
160481	HP:0005918	1.2
161070	HP:0000707	1.6
161070	HP:0011804	0.78
161070	HP:0003808	1.3
161070	HP:0012759	1.8
161070	HP:0007256	1.1
161070	HP:0001252	0.13
161070	HP:0001276	1.3
46458	HP:0001871	1.9
46458	HP:0001939	2.7
46458	HP:0002664	1.8
46458	HP:0002715	1.7
46458	HP:0000951	0.76
46458	HP:0001877	2.5
46458	HP:0002012	1
46458	HP:0002795	1.6
46458	HP:0012638	0.54
46458	HP:0100763	2.5
46458	HP:0010472	12
46458	HP:0011793	0.5
46458	HP:0011354	0.8
46458	HP:0011902	9.2
46458	HP:0000961	6
46458	HP:0001392	1.7
46458	HP:0001743	3.3
46458	HP:0001903	0.65
46458	HP:0003271	2.7
46458	HP:0004297	3.4
46458	HP:0005560	1.2
46458	HP:0010972	3
46458	HP:0011895	2.5
46458	HP:0001005	4.4
46458	HP:0001744	1.8
46458	HP:0001971	11
46458	HP:0002240	2
46458	HP:0000952	1.8
46458	HP:0001080	1.3
46458	HP:0001931	2.6
46458	HP:0001935	3.3
46458	HP:0004840	2.4
46458	HP:0001930	4
46579	HP:0000478	1.8
46579	HP:0002664	2.4
46579	HP:0000951	0.88
46579	HP:0011354	0.92
46579	HP:0011356	3
46579	HP:0011844	1.5
46579	HP:0001595	0.85
46579	HP:0001597	2.2
46579	HP:0002088	0.64
46579	HP:0100872	3
46579	HP:0011121	1.5
46579	HP:0002813	0.15
46579	HP:0000972	4.5
46579	HP:0002817	1.2
46579	HP:0008066	4.5
46579	HP:0011368	0.52
46579	HP:0001155	0.43
46579	HP:0100871	2.2
46579	HP:0008064	2.4
46579	HP:0000962	0.98
46579	HP:0000982	1.3
46579	HP:0007556	3.9
46579	HP:0010765	4.3
46579,64593	HP:0000478	1.8
46579,64593	HP:0000924	1.7
46579,64593	HP:0001574	2
46579,64593	HP:0002664	3.8
46579,64593	HP:0000951	0.76
46579,64593	HP:0011138	1.7
46579,64593	HP:0011842	0.28
46579,64593	HP:0011354	0.8
46579,64593	HP:0011356	3.8
46579,64593	HP:0011844	1.3
46579,64593	HP:0001595	0.85
46579,64593	HP:0001597	2.2
