SeqID	Architecture
ENSP00000484596	_gap_
ENSP00000478910	_gap_
ENSP00000334840	_gap_
ENSP00000363592	_gap_
ENSP00000477790	48726,48726,_gap_
ENSP00000478169	48726,48726,_gap_
ENSP00000480495	48726,48726,_gap_
ENSP00000481124	48726,48726,_gap_
ENSP00000481696	48726,48726,_gap_
ENSP00000482387	48726,48726,_gap_
ENSP00000482672	48726,48726,_gap_
ENSP00000483233	48726,48726,_gap_
ENSP00000483945	48726,48726,_gap_
ENSP00000484145	48726,48726,_gap_
ENSP00000484319	48726,48726,_gap_
ENSP00000484349	48726,48726,_gap_
ENSP00000484717	48726,48726,_gap_
ENSP00000478881	48726,48726,_gap_
ENSP00000479331	48726,48726,_gap_
ENSP00000479925	48726,48726,_gap_
ENSP00000480253	48726,48726,_gap_
ENSP00000481229	48726,48726,_gap_
ENSP00000482186	48726,48726,_gap_
ENSP00000482217	48726,48726,_gap_
ENSP00000483788	48726,48726,_gap_
ENSP00000478497	48726,48726,_gap_
ENSP00000478694	48726,48726,_gap_
ENSP00000479278	48726,48726,_gap_
ENSP00000482918	48726,48726,_gap_
ENSP00000483336	48726,48726,_gap_
ENSP00000484171	48726,48726,_gap_
ENSP00000477819	48726,48726,48726,_gap_
ENSP00000478122	48726,48726,48726,_gap_
ENSP00000480225	48726,48726,48726,_gap_
ENSP00000482441	48726,48726,48726,_gap_
ENSP00000482507	48726,48726,48726,_gap_
ENSP00000484872	48726,48726,48726,_gap_
ENSP00000479384	48726,48726,_gap_
ENSP00000483324	48726,48726,_gap_
ENSP00000484296	48726,48726,_gap_
ENSP00000479139	_gap_,48403,_gap_
ENSP00000368039	_gap_
ENSP00000482196	_gap_
ENSP00000342913	54928,_gap_
ENSP00000388991	54928,_gap_
ENSP00000363576	54928,_gap_
ENSP00000363577	54928,_gap_
ENSP00000420195	54928,_gap_
ENSP00000344149	54928,_gap_
ENSP00000312299	_gap_
ENSP00000484347	_gap_
ENSP00000482352	50044,_gap_,51045,51045,50998,50729,48350
ENSP00000366121	_gap_,50729,48350
ENSP00000478738	_gap_,50729,48350
ENSP00000480582	_gap_,50729,48350
ENSP00000482605	50044,_gap_
ENSP00000331465	109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667
ENSP00000376133	109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667
ENSP00000445549	109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667
ENSP00000333725	109640,_gap_,57667,57667,57667,57667,57667,57667,57667
ENSP00000389913	140741,_gap_,50729,50729,_gap_
ENSP00000479066	140741,_gap_,50729,50729,_gap_
ENSP00000483820	140741,_gap_,50729,50729,_gap_
ENSP00000391751	52540
ENSP00000416535	52540
ENSP00000459151	52540
ENSP00000479224	52540
ENSP00000482789	52540
ENSP00000482856	52540
ENSP00000337478	52540
ENSP00000404247	52540
ENSP00000481838	52540
ENSP00000483271	52540
ENSP00000479863	_gap_
ENSP00000303214	_gap_
ENSP00000460965	_gap_
ENSP00000477703	_gap_
ENSP00000484491	_gap_
ENSP00000340438	_gap_
ENSP00000413056	_gap_
ENSP00000478602	_gap_
ENSP00000483784	_gap_
ENSP00000389250	_gap_
ENSP00000443028	_gap_
ENSP00000481769	_gap_
ENSP00000484321	_gap_
ENSP00000408975	_gap_
ENSP00000479142	_gap_
ENSP00000482244	_gap_
ENSP00000381333	111418,81321
ENSP00000480396	111418,81321
ENSP00000484387	111418,81321
ENSP00000326060	111418,81321
ENSP00000477786	111418,81321
ENSP00000483802	111418,81321
ENSP00000462016	111418,_gap_
ENSP00000344068	_gap_,81321
ENSP00000478177	_gap_,81321
ENSP00000480752	_gap_,81321
ENSP00000482014	52540
ENSP00000372547	_gap_,47095,_gap_
ENSP00000250784	_gap_
ENSP00000415317	_gap_
ENSP00000155093	_gap_,57667,57667,57667,57667,57667,57667,57667
ENSP00000372525	_gap_,57667,57667,57667,57667,57667,57667,57667
ENSP00000388814	_gap_
ENSP00000402502	_gap_,57667,57667,57667,57667,57667,57667,57667
ENSP00000393908	_gap_,57667,57667,57667,57667,57667,57667,57667
ENSP00000318502	_gap_,46689,_gap_
ENSP00000453750	_gap_,46689,_gap_
ENSP00000330552	_gap_,49313,49313,49313,49313,49313,49313,_gap_
ENSP00000482115	_gap_,49313,49313,49313,49313,49313,49313,_gap_
ENSP00000355419	_gap_,49313,49313,49313,49313,49313,49313,_gap_
ENSP00000314077	_gap_,143113
ENSP00000372512	_gap_,143113
ENSP00000215479	_gap_
ENSP00000372505	_gap_
ENSP00000328879	_gap_,50978
ENSP00000347289	_gap_,50978
ENSP00000372499	_gap_,50978
ENSP00000399668	_gap_,143113
ENSP00000372471	_gap_,143113
ENSP00000287721	_gap_,143113
ENSP00000372462	_gap_,143113
ENSP00000372467	_gap_,143113
ENSP00000398163	_gap_,143113
ENSP00000406407	_gap_,143113
ENSP00000397151	_gap_,143113
ENSP00000412988	_gap_,143113
ENSP00000403304	_gap_,143113
ENSP00000406010	143113
ENSP00000342812	_gap_,48371,_gap_,54001,_gap_
ENSP00000406876	_gap_
ENSP00000336725	_gap_,52540,_gap_
ENSP00000353284	_gap_,52540,_gap_
ENSP00000398953	_gap_,52540
ENSP00000400377	_gap_,52540
ENSP00000328939	48452,48452,48452,_gap_,51197,_gap_
ENSP00000355420	48452,48452,48452,_gap_,51197
ENSP00000330446	48452,48452,_gap_
ENSP00000372349	48452
ENSP00000284856	_gap_
ENSP00000250823	_gap_
ENSP00000250825	_gap_
ENSP00000372325	53474,_gap_
ENSP00000342535	_gap_,53474,_gap_
ENSP00000348169	_gap_,53474,_gap_
ENSP00000372320	_gap_,53474,_gap_
ENSP00000412638	_gap_,53474
ENSP00000250838	54160,_gap_,52096
ENSP00000372319	54160,_gap_,52096
ENSP00000402280	54160,_gap_,52096
ENSP00000441273	54160,_gap_,52096
ENSP00000303599	_gap_,46785,_gap_
ENSP00000306549	_gap_,46785,_gap_
ENSP00000311166	_gap_,46785
ENSP00000340971	_gap_,46785
ENSP00000342302	_gap_,46785
ENSP00000372303	_gap_,46785
ENSP00000372307	_gap_,46785
ENSP00000322408	_gap_,46774,_gap_,57903,51197,_gap_,57903,_gap_
ENSP00000372256	_gap_,46774,_gap_,57903,51197,_gap_,57903,_gap_
ENSP00000416377	_gap_,46774,_gap_,57903,_gap_
ENSP00000398543	46774,_gap_,57903,51197,_gap_,57903,_gap_
ENSP00000389433	_gap_,57903,_gap_
ENSP00000354722	50249
ENSP00000372222	50249
ENSP00000288666	_gap_
ENSP00000372213	_gap_
ENSP00000372484	54928,_gap_
ENSP00000351823	54928
ENSP00000354329	54928
ENSP00000372084	54928
ENSP00000372099	54928
ENSP00000372154	54928,_gap_
ENSP00000388006	54928,_gap_
ENSP00000372105	54928,_gap_
ENSP00000372119	54928,_gap_
ENSP00000372127	54928,_gap_
ENSP00000302319	_gap_
ENSP00000303300	_gap_
ENSP00000474545	_gap_
ENSP00000474674	_gap_
ENSP00000250831	54928,_gap_
ENSP00000307155	54928,_gap_
ENSP00000405745	54928,_gap_
ENSP00000329106	_gap_
ENSP00000371724	_gap_
ENSP00000371829	_gap_
ENSP00000372028	_gap_
ENSP00000480184	_gap_
ENSP00000480751	_gap_
ENSP00000384573	54928,_gap_,54928,_gap_,54928,_gap_
ENSP00000371743	54928,_gap_
ENSP00000371887	54928,_gap_
ENSP00000371861	54928,_gap_
ENSP00000371870	54928,_gap_
ENSP00000371877	54928,_gap_
ENSP00000371751	54928,_gap_
ENSP00000389300	54928,_gap_
ENSP00000414113	54928,_gap_
ENSP00000444407	54928,_gap_
ENSP00000371731	54928,_gap_
ENSP00000397895	54928,_gap_
ENSP00000383340	54928,_gap_
ENSP00000302968	54160,_gap_,52096
ENSP00000303178	54160,_gap_,52096
ENSP00000354799	54160,_gap_,52096
ENSP00000371844	54160,_gap_,52096
ENSP00000371802	54928,_gap_
ENSP00000401049	54928,_gap_
ENSP00000324965	54928,_gap_
ENSP00000396844	57850,57845,_gap_
ENSP00000403398	57850,57845,_gap_
ENSP00000407959	57850,57845,_gap_
ENSP00000416983	57850,57845,_gap_
ENSP00000366391	_gap_
ENSP00000373152	_gap_
ENSP00000410635	_gap_
ENSP00000366384	_gap_,109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,_gap_
ENSP00000373151	_gap_,109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,_gap_
ENSP00000398983	_gap_,109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,_gap_
ENSP00000399157	_gap_,109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,_gap_
ENSP00000405154	_gap_,109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,_gap_
ENSP00000415772	_gap_,109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,_gap_
ENSP00000366380	81321
ENSP00000373150	81321
ENSP00000388144	81321
ENSP00000389825	81321
ENSP00000392635	81321
ENSP00000401866	81321
ENSP00000405025	81321
ENSP00000412537	81321
ENSP00000366378	81321
ENSP00000373149	81321
ENSP00000388604	81321
ENSP00000393235	81321
ENSP00000394571	81321
ENSP00000394593	81321
ENSP00000399881	81321
ENSP00000403571	81321
ENSP00000373147	81321
ENSP00000388205	81321
ENSP00000388392	81321
ENSP00000390144	81321
ENSP00000400546	81321
ENSP00000408783	81321
ENSP00000392497	81321
ENSP00000398238	81321
ENSP00000403186	81321
ENSP00000408988	81321
ENSP00000416299	81321
ENSP00000373048	81321
ENSP00000380023	81321
ENSP00000393734	81321
ENSP00000421215	81321
ENSP00000447204	81321
ENSP00000447580	81321
ENSP00000449350	81321
ENSP00000389802	81321
ENSP00000400501	81321
ENSP00000403553	81321
ENSP00000408647	81321
ENSP00000366359	81321
ENSP00000404109	81321
ENSP00000404163	81321
ENSP00000404990	81321
ENSP00000407363	81321
ENSP00000443309	81321
ENSP00000446579	81321
ENSP00000450230	81321
ENSP00000366345	81321
ENSP00000414137	81321
ENSP00000415065	81321
ENSP00000402486	81321
ENSP00000408961	81321
ENSP00000412512	81321
ENSP00000425554	81321
ENSP00000366352	81321
ENSP00000366353	81321
ENSP00000366354	81321
ENSP00000373043	81321
ENSP00000373141	81321
ENSP00000383532	81321
ENSP00000383550	81321
ENSP00000392324	81321
ENSP00000398659	81321
ENSP00000399062	81321
ENSP00000399592	81321
ENSP00000400331	81321
ENSP00000400657	81321
ENSP00000403427	81321
ENSP00000412097	81321
ENSP00000447215	81321
ENSP00000447222	81321
ENSP00000447627	81321
ENSP00000447745	81321
ENSP00000447956	81321
ENSP00000450263	81321
ENSP00000366336	81321
ENSP00000366337	81321
ENSP00000366340	81321
ENSP00000373042	81321
ENSP00000373140	81321
ENSP00000380010	81321
ENSP00000383527	81321
ENSP00000383529	81321
ENSP00000383530	81321
ENSP00000383547	81321
ENSP00000383548	81321
ENSP00000383549	81321
ENSP00000388844	81321
ENSP00000389230	81321
ENSP00000392619	81321
ENSP00000394698	81321
ENSP00000395567	81321
ENSP00000395850	81321
ENSP00000395934	81321
ENSP00000396414	81321
ENSP00000396944	81321
ENSP00000397171	81321
ENSP00000398695	81321
ENSP00000405714	81321
ENSP00000407739	81321
ENSP00000408584	81321
ENSP00000409651	81321
ENSP00000410401	81321
ENSP00000410659	81321
ENSP00000411617	81321
