Pfam	Promiscuity
PF00117	304.56
PF00364	222.74
PF00443	201.48
PF00769	195.98
PF00173	182.43
PF02786	135.55
PF00698	109.26
PF00550	102.42
PF00070	91.41
PF00009	86.28
PF05557	83.49
PF00258	77.42
PF00562	72.23
PF01753	61.59
PF00107	55.54
PF00587	43.78
PF00085	42.35
PF03144	39.72
PF04324	35.71
PF00890	35.71
PF00679	35.19
PF00106	33.58
PF01843	32.8
PF02494	32.51
PF00970	29.83
PF02785	29.68
PF05622	25.61
PF00078	25.49
PF00291	23.46
PF00561	22.49
PF01391	19.67
PF02801	19.44
PF00549	19.19
PF00122	19.18
PF00005	18.97
PF02141	18.56
PF02824	17.36
PF00310	17.36
PF05729	14.83
PF00702	14.65
PF01496	14.56
PF05955	13.07
PF00635	12.58
PF00149	12.52
PF03105	12.49
PF05109	12.24
PF02225	11.22
PF00139	11.08
PF00038	11.08
PF06247	10.88
PF01419	10.72
PF00175	10.6
PF01546	10.59
PF00520	9.18
PF00160	8.87
PF02008	8.82
PF00289	8.8
PF01565	8.64
PF00931	8.58
PF01421	8.38
PF01425	7.98
PF01360	7.29
PF00534	7
PF00668	6.51
PF00954	6.4
PF00665	6.28
PF02902	5.44
PF00607	5.38
PF03101	5.37
PF00083	5.25
PF00567	5.23
PF00583	5
PF00082	4.09
PF00332	3.96
PF00872	3.48
PF01094	2.58
