SeqID	Architecture
55629	_gap_
100288966	_gap_,48403,_gap_
10772	54928,_gap_
100288801	_gap_
7637	109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667
9842	140741,_gap_,50729,50729,_gap_
1394	111418,81321
6736	_gap_,47095,_gap_
7544	_gap_,57667,57667,57667,57667,57667,57667,57667
90655	_gap_,46689,_gap_
64591	_gap_,143113
266	_gap_
90665	_gap_,50978
728395	_gap_,143113
728403	_gap_,143113
100289087	_gap_,143113
728137	_gap_,143113
7258	_gap_,143113
8287	_gap_,48371,_gap_,54001,_gap_
8653	_gap_,52540,_gap_
9087	_gap_
353513	_gap_
9084	_gap_
22829	_gap_,53474,_gap_
203611	54160,_gap_,52096
9426	54160,_gap_,52096
159119	_gap_,46785,_gap_
86614	_gap_,46785,_gap_
9086	50249
100533178	_gap_
378948	54928,_gap_
5940	54928,_gap_
378950	54928,_gap_
378949	54928,_gap_
442862	_gap_
9081	_gap_
159163	54928,_gap_
378951	54928,_gap_
442867	_gap_
442868	_gap_
9083	_gap_
1617	54928,_gap_,54928,_gap_,54928,_gap_
57055	54928,_gap_
9085	54160,_gap_,52096
253175	54160,_gap_,52096
57054	54928,_gap_
282890	_gap_,109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,_gap_
26692	81321
442184	81321
81797	81321
81696	81321
26531	81321
26716	81321
116511	_gap_,81321
5987	57850,57845,_gap_,49899
3135	54452,48726
2550	_gap_,57535,57535,53822,_gap_
30834	_gap_,57783
6992	_gap_
11074	57850,57845,_gap_
10107	57850,57845,_gap_,49899
7726	57850,57845,_gap_,49899,49899
9984	_gap_,47986
56658	57850,57845,_gap_,49899
202658	57845,_gap_,49899
81035	_gap_,56436
135644	57850,57845,_gap_
89870	57850,57845,_gap_,49899
79897	_gap_
7298	55831
55556	54826,51604
2794	_gap_,52540,_gap_
116	_gap_
23	_gap_,52540,52540
64863	_gap_,53335
10403	_gap_
23347	_gap_,55874,_gap_,75553,_gap_
5514	_gap_,47676,_gap_,90229
28973	_gap_,46911,_gap_
79969	_gap_
9663	_gap_,56784
8736	_gap_,48726,48726,49265,_gap_,49265,_gap_,49265,48726,48726,48726,48726,48726
8449	_gap_,52540,_gap_
103910	47473
203068	52490,55307
7050	_gap_,46689,_gap_
170954	_gap_
11270	_gap_
10211	117892,_gap_
9229	_gap_
9656	49879,_gap_,52113,_gap_
5460	_gap_,47413,46689,_gap_
7541	54695,_gap_,57667,57667,57667,_gap_
23136	_gap_,54236,47031,50729,_gap_
645369	_gap_
91133	_gap_,63748,63748,63748,_gap_,47769
284217	_gap_,57196,57196,57196,57196,_gap_,57196,57196,57196,57196,57196,57196,57196,57196,_gap_,57196,57196,57196,_gap_,49899,49899,49899,49899,49899
339291	52058
2968	_gap_
201475	52540
100507436	54452,48726
4729	_gap_,52833
389376	_gap_
23253	_gap_,48403,_gap_
29113	_gap_
170679	_gap_
57045	_gap_
10928	_gap_,48350,_gap_
780	49785,_gap_,56112
7919	_gap_,52540
9989	_gap_,48371
11031	52540
84203	_gap_,52833
9218	49354,_gap_
8774	48452
4049	_gap_,49842
2774	_gap_,47895,52540
7124	_gap_,49842
4050	_gap_,49842
7940	_gap_
65258	56300
3613	56655
2880	_gap_,52833
259197	48726,_gap_
84617	52490,55307
199	47473
54535	_gap_
10939	_gap_,52540,140990,_gap_
442191	81321
7917	54236,_gap_,101447
440073	_gap_,48425,50729,_gap_
6539	161070
441308	81321
169270	109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667
55937	50814
6540	161070
56907	_gap_,57903,_gap_
26260	_gap_,81383,_gap_
79959	_gap_,54001,_gap_
157695	_gap_
157697	_gap_
56984	159659
10537	54236,54236
80741	_gap_
5771	52799,_gap_
84318	_gap_
81929	50978,_gap_
2055	_gap_
9639	_gap_,48065,50729,_gap_,50978,_gap_
4815	_gap_
346171	109640,_gap_,57667,57667,_gap_,57667,57667,_gap_
55125	_gap_
80739	_gap_
80740	57302
23564	55909
9920	_gap_,54695,_gap_,117281
5893	_gap_,54768,_gap_
753	57424,_gap_
1192	52833,47616
125228	_gap_
144699	81383,52047
81029	_gap_
4161	81321
4158	81321
79602	_gap_
401251	_gap_
80737	_gap_,53300,_gap_
79648	52113,_gap_,52113,52113
4758	50939
57827	_gap_
7918	48403,_gap_
654429	52058,_gap_
196513	50729,_gap_
775	_gap_,81324,_gap_,81324,_gap_,81324,_gap_,81324,_gap_
80000	_gap_
114799	_gap_
717	57535,57535,57535,53300,50494
6632	50182
285	_gap_,56496
171586	_gap_,53474
259215	48726,_gap_
57534	159034,57850,159034,_gap_,48403,_gap_,57850
629	_gap_,57535,57535,57535,53300,50494
2627	_gap_,57716,57716,_gap_
64693	_gap_
1672	57392
5932	_gap_
1671	_gap_
1669	_gap_
728358	_gap_,57392
1667	_gap_,57392
80352	_gap_,57850,49899
1668	_gap_,57392
7936	_gap_,54928,_gap_
91768	_gap_,47954
1670	_gap_,57392
2288	54534,54534,48452
85019	_gap_
100507424	69318,50978,_gap_
83714	50630
8780	_gap_,56112
100289462	57392
1673	57392
414325	57392
10407	_gap_,57392
29919	50978,_gap_
1797	_gap_
2305	_gap_,46785,_gap_
503618	_gap_
140596	_gap_
245909	_gap_
503841	_gap_
4864	_gap_,82866,_gap_,82866
8859	_gap_
503614	_gap_
245910	_gap_
7004	_gap_
100507547	_gap_
10867	_gap_,48652,_gap_
100132396	109640,_gap_,57667,57667,57667,57667
80864	_gap_,57196,57196,_gap_
56341	_gap_,53335
84766	47473,_gap_,52540
125488	_gap_,48452,_gap_
9258	_gap_,52058,52540,82615,_gap_
26256	47391,_gap_
57097	117839,56399
90459	_gap_,68906,53098
79660	_gap_
8658	_gap_,48403,_gap_,48403,48403,47769,56399
100996331	_gap_,48403,_gap_
100287399	_gap_,48403,_gap_
894	47954,47954
10554	69593
4482	55068
114876	48403,50729,_gap_,144000
8074	50353,_gap_
203074	_gap_,50494,_gap_
6048	57850,_gap_
94137	89837,89837,_gap_
390538	81321
2251	_gap_,50353
203076	_gap_
83595	47095,_gap_
54984	_gap_
57102	_gap_
55364	54495,54211
10635	_gap_
59340	81321,_gap_
25925	_gap_,57667,57667,_gap_,57667,_gap_,57667,57667,57667,57667,57667,_gap_,57667,57667
7179	_gap_,81324,52799,49562
286046	_gap_
66036	50729,52799,_gap_
23191	_gap_
83650	_gap_,103481,103481
10566	_gap_
317754	_gap_,48403,_gap_
5089	_gap_,46689,_gap_
54033	54928,_gap_
63940	_gap_
81614	103481,_gap_
83656	_gap_
