Genome	Architecture
gx	140741,_gap_
gx	52540,52540,52540,52540,_gap_
gx	49562,_gap_,49562,49562,_gap_,49562,49562,_gap_,49562,_gap_,49562,_gap_
gx	47473,_gap_,54909
gx	_gap_,57850
gx	55315
gx	109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667
gx	_gap_,109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667
gx	50729,_gap_
gx	53300,53300,53300,53300,53300,53300,53300,_gap_,53300,53300,_gap_
gx	_gap_,81606,81601
gx	_gap_,47090,55486,50923,_gap_
gx	_gap_,50978,50978,_gap_
gx	52151,55048,_gap_
gx	_gap_,81321,_gap_
gx	47353,_gap_,57667,57667,57667,57667
gx	_gap_,81296,_gap_
gx	_gap_,52047
gx	50814
gx	63825,57196,63825,57196,63825,57196,63825,57196,57424,57424,57424,_gap_
gx	52141
gx	54160,54160
gx	_gap_,49562,49562
gx	55550,_gap_
gx	_gap_,56112,_gap_,47769
gx	_gap_,56496
gx	57667,57667,57667,57667,57667,57667
gx	_gap_,54197,_gap_
gx	69761
gx	46565,_gap_,54928
gx	_gap_,57903,_gap_,57845
gx	57440,57440
gx	_gap_,48264
gx	53720
gx	_gap_,48403,52058,52540,_gap_,56112,50978,_gap_
gx	_gap_,49562,48350
gx	47954,_gap_
gx	111126
gx	_gap_,53383,_gap_
gx	_gap_,48371,_gap_,50978,_gap_,48371,_gap_
gx	_gap_,160374
gx	52540
gx	_gap_,81321
gx	103473
gx	_gap_,90229,_gap_
gx	56112,_gap_
gx	_gap_,54427,_gap_
gx	_gap_,49265,_gap_,49265,49265,_gap_,49265,_gap_
gx	_gap_,55729
gx	_gap_,103657,_gap_,48350,50044,_gap_
gx	69500,_gap_
gx	_gap_,57716,57716,_gap_
gx	49785,57184,49265,_gap_,56112,47769
gx	48726,48726,_gap_
gx	56112,48403,_gap_,52540,_gap_,47986
gx	56112,48403,48403,52540,_gap_,47986
gx	_gap_,56112
gx	54001
gx	53383
gx	_gap_,57850,_gap_,54001,_gap_
gx	48403,48403,_gap_
gx	54001
gx	54695,_gap_,117281
gx	_gap_,49842
gx	_gap_,57667,57667
gx	_gap_,52833
gx	_gap_,81606
gx	_gap_,48726,48726,48726
gx	48726,48726
gx	46689,_gap_
gx	109640,57667,_gap_,57667,57667,57667,57667,57667,57667,57667,57667
gx	161070
gx	47266,_gap_
gx	56112,54427
gx	_gap_,53649
gx	_gap_,57603,_gap_,57603,57603,57603
gx	53850
gx	_gap_,52540,52540,52540,52540,_gap_
gx	53474
gx	_gap_,47954
gx	140741,_gap_,57903
gx	_gap_,57716,57716,_gap_
gx	48726
gx	_gap_,51735
gx	51735,55347
gx	54686,_gap_
gx	81653,_gap_,81660,56784,81665
gx	56219
gx	_gap_,48264
